city,year,n_ingested,n_sources_rows,has_5km_splits,corpus,timing_vendor,listed_hint_from_notes,missing_20km,incomplete,non_increasing,missing_age,sex_missing,notes
Amsterdam,2012,10145,1,yes-per-paper,smyth-2021-original,,,47,159,0,10145,1,
Amsterdam,2013,11308,1,yes-per-paper,smyth-2021-original,,,21,434,0,11308,0,
Amsterdam,2014,12215,1,yes-per-paper,smyth-2021-original,,,30,252,0,12215,0,
Amsterdam,2015,12358,1,yes-per-paper,smyth-2021-original,,,71,156,19,12358,0,
Amsterdam,2016,12190,1,yes-per-paper,smyth-2021-original,,,11,76,0,12190,9,
Amsterdam,2017,11435,1,yes-per-paper,smyth-2021-original,,,48,484,0,11435,0,
Amsterdam,2018,12123,1,yes-per-paper,smyth-2021-original,,,14,138,0,12123,0,
Amsterdam,2019,13487,1,yes-per-paper,smyth-2021-original,,,28,230,0,13487,0,
Amsterdam,2020,794,1,yes,,sporthive,,90,93,0,794,0,virtual edition; men+women 42.2km only
Amsterdam,2021,6608,1,yes,,sporthive,,9,116,0,6608,0,"TCS Marathon only. splitName 5 KM. 21,1 KM is half not 20km."
Amsterdam,2022,12656,1,yes,,sporthive,,28,194,0,12656,0,"TCS Marathon only. splitName 5 KM. 21,1 KM is half not 20km."
Amsterdam,2023,16030,1,yes,,sporthive,,39,16016,0,16030,7,"TCS Marathon only. splitName 5 KM. 21,1 KM is half not 20km."
Amsterdam,2024,16815,1,yes,,sporthive,,0,0,59,16815,11,"TCS Marathon only. splitName 5 KM. 21,1 KM is half not 20km. No 2016-2019 Sporthive."
Amsterdam,2025,23325,2,yes,,sporthive | mylaps,,23,100,0,23325,42,"Speedhive TCS Marathon event 7383449171605338624 race 7383449171605339136. HOLD listed=jsonl 23328 GET 23325 unique-key. Do not stamp last_ingested. 329 Cat HTML unused. | M_Tus_Cat_NL.html category top-10s (~155), NOT full mass. 21K1 half not 20km. Printed 20K only."
Athens,2013,8500,1,yes-per-paper,smyth-2021-original,,,8500,8500,0,8500,0,
Athens,2014,10480,1,yes-per-paper,smyth-2021-original,,,10480,10480,0,10480,0,
Athens,2015,11885,1,yes-per-paper,smyth-2021-original,,,11885,11885,0,11885,0,
Athens,2016,13707,1,yes-per-paper,smyth-2021-original,,,13707,13707,0,13707,0,
Athens,2017,14743,1,yes-per-paper,smyth-2021-original,,,14743,14743,0,14743,0,
Athens,2018,15291,2,yes-per-paper | yes,smyth-2021-original,myrace,,15291,15291,0,15291,0,Scout-locked 2018 race 1785; FLAG no 20km (21.1 ignored); was CF-unconfirmed
Athens,2019,16439,1,yes-per-paper,smyth-2021-original,,,16439,16439,0,16439,0,
Athens,2021,4024,1,yes,not-htw,myrace,,4024,4024,0,4024,0,Scout-locked 2021; FLAG no 20km (21.1 ignored)
Athens,2022,12533,1,yes,not-htw,myrace,,12533,12533,0,12533,0,Scout-locked 2022; FLAG no 20km (21.1 ignored)
Auckland,2016,1909,1,yes,post-2019-additive,timingsports,,304,366,6,1909,0,Scout backup after GC 2019. Hub M05K live. Lead: AKL2016 after GC2019 stamp.
Auckland,2017,1836,1,yes-per-paper,smyth-2021-original,timingsports,,275,316,1,1836,0,paper spelled Aukland
Auckland,2018,1917,1,yes-per-paper,smyth-2021-original,timingsports,,268,971,34,1917,0,paper spelled Aukland
Auckland,2019,1905,1,yes,post-2019-additive,timingsports,,304,333,11,254,0,Scout backup after AKL2016. Hub M05K live. Lead: AKL2019 after AKL2016.
Austin,2017,2643,1,yes-per-paper,smyth-2021-original,,,6,73,0,5,0,
Austin,2018,2523,1,yes-per-paper,smyth-2021-original,,,9,82,0,3,0,
Austin,2019,2643,1,yes-per-paper,smyth-2021-original,,,2,29,1,0,0,
Barcelona,2019,13445,1,yes-per-paper,smyth-2021-original,,,58,746,4571,13445,0,
Barcelona,2025,21705,1,yes,post-2019-additive,timingsense,21706,37,972,1,21705,54,Zurich Marató Barcelona 2025. timingsense 67b462ec-1c98-4e51-a472-e4f4ac1f25e0. Marato Individual; skip Cadires/Media. listed=21706.
Barcelona,2026,26719,1,yes,post-2019-additive,timingsense,26720,1735,2750,2,26719,212,Zurich Marató Barcelona 2026. timingsense competition 69959e57-d4f4-43b6-8a5c-4672ac1f2995. Event Marato Individual only; skipped Cadires; skipped Media (HALF). Sex from Meta Individual gender female/male. listed=26720 Meta Individual amount. 5km-yes. race_date=2026-03-15 from rankings HTML.
Berlin,2005,30373,0,,,,,0,0,84,30373,0,
Berlin,2006,30178,0,,,,,0,0,116,30178,0,
Berlin,2007,32484,0,,,,,0,0,128,32484,0,
Berlin,2008,35729,0,,,,,0,0,176,35729,0,
Berlin,2009,35000,0,,,,,0,0,272,35000,0,
Berlin,2010,33996,1,yes-per-paper,smyth-2021-original,,,0,0,161,33996,0,
Berlin,2011,32907,1,yes-per-paper,smyth-2021-original,,,0,0,5687,32907,0,
Berlin,2012,34265,1,yes-per-paper,smyth-2021-original,,,0,0,161,34265,0,
Berlin,2013,36470,1,yes-per-paper,smyth-2021-original,,,0,0,162,36470,0,
Berlin,2014,28932,1,yes-per-paper,smyth-2021-original,,,0,0,103,28932,0,
Berlin,2015,36755,1,yes-per-paper,smyth-2021-original,,,0,0,132,36755,1,
Berlin,2016,35985,1,yes-per-paper,smyth-2021-original,,,0,0,136,35985,2,
Berlin,2017,39216,1,yes-per-paper,smyth-2021-original,,,0,0,249,39216,0,
Berlin,2018,40638,1,yes-per-paper,smyth-2021-original,,,0,0,250,40638,0,
Berlin,2019,43973,1,yes-per-paper,smyth-2021-original,,,0,0,250,43973,0,
Berlin,2021,23027,0,,,,,17,27,1,23027,0,
Berlin,2022,34701,0,,,,,13,23,0,34701,7,
Berlin,2023,42873,1,yes,majors-current,mikatiming,,24,682,0,4751,37,splits: html-detail
Berlin,2024,53560,1,yes,majors-current,mikatiming,,76,128,2,6752,3279,splits: html-detail
Berlin,2025,48081,1,yes,majors-current,mikatiming,,41,184,2,7473,2046,BMW BERLIN-MARATHON. Official timekeeper mika:timing GmbH. 51st edition in 2025. | splits: html-detail; organizer requires all split times for an official result
Boston,2012,1200,1,yes-per-paper,smyth-2021-original,,,1200,1200,0,1200,0,
Boston,2016,1200,1,yes-per-paper,smyth-2021-original,,,1200,1200,0,1200,0,
Boston,2017,1600,1,yes-per-paper,smyth-2021-original,,,1600,1600,0,1600,0,
Boston,2018,25652,1,yes-per-paper,smyth-2021-original,,,13,454,4,25652,0,
Boston,2019,26555,1,yes-per-paper,smyth-2021-original,,,4,1536,1,26555,0,
Boston,2022,24827,0,,,,,4,54,0,24827,0,
Boston,2023,26580,1,yes,smyth-2021-original,mikatiming,,8,149,0,26580,23,HOLE-LOCK 2026-09-06 mass athlete-detail 5km idp proven. Majors Ingester start OPTIMIZE.
Boston,2024,25550,1,yes,majors-current,mikatiming,,9,57,0,25550,48,splits: html-detail
Boston,2025,28404,1,yes,majors-current,mikatiming,,7,57,0,28404,71,splits: html-detail
Boston,2026,28788,1,yes,majors-current,mikatiming,,13,79,0,28788,103,results.baa.org/{year}/ and boston.r.mikatiming.com/{year}/ are the same mika:timing app. Older years also on boston.r.mikatiming.de/{year}/ and boston-iframe.r.mikatiming.de/{year}/. | splits: html-detail (individual athlete page); list page is finish-oriented
Chicago,2015,22085,1,yes-per-paper,smyth-2021-original,,,3,28,0,22085,0,
Chicago,2016,6512,1,yes-per-paper,smyth-2021-original,,,0,6,0,6512,0,
Chicago,2017,44188,1,yes-per-paper,smyth-2021-original,,,41,128,10,44188,0,
Chicago,2018,51967,1,yes-per-paper,smyth-2021-original,,,36,247,1,51967,200,
Chicago,2019,51807,1,yes-per-paper,smyth-2021-original,,,36,247,1,51807,200,
Chicago,2024,51821,1,yes,majors-current,mikatiming,,35,246,1,51821,3166,splits: html-detail
