label,gender,opening,retention,n_opening,n_retention
18–29,Men,5.469166666666666,12.951286569383136,98260,98260
30–39,Men,5.484166666666667,11.768457981183222,228477,228477
40–49,Men,5.579166666666667,11.726794233766647,233006,233006
50–59,Men,5.805000000000001,12.734208459553464,138767,138767
60–69,Men,6.323333333333333,14.238653001464119,40449,40449
70–79,Men,7.145,15.150548512788987,5240,5240
80–89,Men,8.2525,13.755860967988465,318,318
18–29,Women,6.160833333333333,10.697735771497285,102086,102086
30–39,Women,6.259166666666667,10.365205053001114,155758,155758
40–49,Women,6.3625,10.458333333333325,135943,135943
50–59,Women,6.576666666666667,11.500679945149628,66874,66874
60–69,Women,6.9625,12.215132178669098,14389,14389
70–79,Women,7.8100000000000005,12.772212543554007,1311,1311
