target,label,value,n_value,hits
Under 3 hours,20,19.42632503609386,57489,11168
Under 3 hours,30,23.046585184895935,51218,11804
Under 3 hours,40,52.72568142035509,39990,21085
Under 3:30,20,15.640670855843549,113467,17747
Under 3:30,30,17.76630608161016,103443,18378
Under 3:30,40,43.42322769565012,84692,36776
Under 4 hours,20,15.543115769414007,142732,22185
Under 4 hours,30,17.833891265952808,135321,24133
Under 4 hours,40,47.31440551257882,123064,58227
Under 4:30,20,10.436140521862402,90292,9423
Under 4:30,30,11.334363169574866,91924,10419
Under 4:30,40,38.5752202336077,96829,37352
Under 5 hours,20,8.851574212893553,50025,4428
Under 5 hours,30,10.024593855000173,57738,5788
Under 5 hours,40,44.208259876882174,69202,30593
