ability_band,label,p10,median,p90,n_p10,n_median,n_p90
3:30–4 hours,Amsterdam,-7.633797729963279,0.5677785663591228,11.860823625531165,4029,4029,4029
3:30–4 hours,Auckland,-7.073123419650864,2.0851829762891794,11.203699295745329,192,192,192
3:30–4 hours,Austin,-7.185438715486245,0.3608828593879232,14.024014887609042,210,210,210
3:30–4 hours,Berlin,-7.324149143222914,0.7171428463887075,12.986030868551904,33268,33268,33268
3:30–4 hours,Boston,-7.951127331219402,1.051980424613319,14.426092105016384,8162,8162,8162
3:30–4 hours,Chicago,-0.26248576524422623,0.0,0.5259227650949545,13785,13785,13785
3:30–4 hours,Copenhagen,-9.887366232156943,-0.5922541686983585,12.342552681709623,8382,8382,8382
3:30–4 hours,Eindhoven,-8.91045434494927,-0.7658084749471272,9.042553191489366,1231,1231,1231
3:30–4 hours,Gold Coast,-8.663474096647805,0.5091577681917814,15.477521807201967,1481,1481,1481
3:30–4 hours,Hamburg,-10.571163905711472,-2.0159544332160886,8.385526240248208,334,334,334
3:30–4 hours,Helsinki,-5.568390138590848,2.5462044895692815,12.880014284864004,477,477,477
3:30–4 hours,London,-8.661591063911368,1.3060213666955311,19.91543389930393,7164,7164,7164
3:30–4 hours,Madrid,-5.623754920209773,2.047808144514529,12.893797921680305,1923,1923,1923
3:30–4 hours,New York,-7.248081214457052,1.4792186150854203,15.908177926409733,25852,25852,25852
3:30–4 hours,Oslo,-7.859144265045501,0.14312693023450507,10.348404991338114,498,498,498
3:30–4 hours,Paris,-12.167384705566988,-3.523646546359671,10.11055149012526,215,215,215
3:30–4 hours,Prague,-6.530891168043553,1.8062446400807342,15.232773918500737,864,864,864
3:30–4 hours,Rotterdam,-6.521402187506877,0.7084428863569858,11.624623452585437,8427,8427,8427
3:30–4 hours,Sydney,-7.879421568458898,0.5847041397053054,15.059767579406177,527,527,527
3:30–4 hours,Valencia,-8.706432085387949,-0.4322503294867497,10.71911598365212,3094,3094,3094
3:30–4 hours,Warsaw,-8.53477059823416,-0.2343250727827928,12.710567723821756,1863,1863,1863
3:30–4 hours,Washington,-6.126288467830712,2.9372868378923833,19.61011632354963,8123,8123,8123
3–3:30,Amsterdam,-5.9679733579280025,0.9341637010676251,12.90446023310349,2623,2623,2623
3–3:30,Berlin,-5.880838172178743,1.3013586511704034,14.447666441225346,19407,19407,19407
3–3:30,Boston,-5.709584071343968,1.5832014108759673,14.523276912355085,10400,10400,10400
3–3:30,Chicago,-0.847176241955486,0.0,1.6982864137086913,10555,10555,10555
3–3:30,Copenhagen,-8.325418412562167,-0.04610548136871895,15.546510828724028,5332,5332,5332
3–3:30,Eindhoven,-7.0708170507912955,0.25665075890722866,11.540419862690966,1000,1000,1000
3–3:30,Gold Coast,-7.423874354350275,0.30492830064281495,15.136893442200831,999,999,999
3–3:30,Hamburg,-9.371776810159492,-2.8821418486810026,12.216485417508123,170,170,170
3–3:30,Helsinki,-3.638568207950347,4.659480722398612,17.95580102021467,218,218,218
3–3:30,London,-6.189072606395675,1.431141642132805,21.04171478575935,6483,6483,6483
3–3:30,Madrid,-3.790630394854761,3.3953822800990574,16.100650588488712,1479,1479,1479
3–3:30,New York,-5.671590919675904,1.5613564283971648,15.707832146062506,12475,12475,12475
3–3:30,Oslo,-5.517966908164466,1.350298623734103,14.213449636554154,297,297,297
3–3:30,Prague,-4.426225317422991,2.6299519695829665,16.883094937309416,438,438,438
3–3:30,Rotterdam,-5.4767953802334866,0.9363144725159422,12.766289480816095,4825,4825,4825
3–3:30,Sydney,-5.9429257673984175,2.2969647251845693,27.9596899911644,329,329,329
3–3:30,Valencia,-6.789632842657477,-0.5069606501971524,10.257957414278684,3275,3275,3275
3–3:30,Warsaw,-6.182893628689502,0.11987629719489856,14.625494362786874,1104,1104,1104
3–3:30,Washington,-4.542840639931232,2.7448252199319234,19.86611320681592,2502,2502,2502
4 hours or longer,Amsterdam,-12.24050483604624,-1.3196841411864224,9.825247842694784,4526,4526,4526
4 hours or longer,Auckland,-12.955020150305073,-0.24515834934858982,11.42328430485978,222,222,222
4 hours or longer,Austin,-14.56171268193982,-2.642831384266653,9.902783072817378,781,781,781
4 hours or longer,Berlin,-11.875559039948397,-0.6788208630287007,10.766904734569984,57788,57788,57788
4 hours or longer,Boston,-17.66933402325305,-1.5826595561672097,12.315043196716147,6955,6955,6955
4 hours or longer,Chicago,0.0,0.0,0.0,34208,34208,34208
4 hours or longer,Copenhagen,-14.566929133858263,-2.0486896368231977,9.573559366581241,9601,9601,9601
4 hours or longer,Eindhoven,-12.5011588391988,-2.1079494928686273,7.488133516056792,1112,1112,1112
4 hours or longer,Gold Coast,-14.620275114357472,-1.2728719172633296,12.146118634010445,2503,2503,2503
4 hours or longer,Hamburg,-15.788484717028085,-4.048546803448433,6.3305044685567715,640,640,640
4 hours or longer,Helsinki,-7.283582089552243,2.308093994778071,13.988266421258476,821,821,821
4 hours or longer,London,-18.582587804100363,-0.9568783397539415,14.789308017303782,14445,14445,14445
4 hours or longer,Madrid,-10.827850626569978,0.6132618527142419,11.539230700396644,1874,1874,1874
4 hours or longer,New York,-11.698267283302688,0.15535991714137332,13.591085034859322,83353,83353,83353
4 hours or longer,Oslo,-11.319576498334898,-2.005961335558543,8.677146842926904,432,432,432
4 hours or longer,Paris,-16.401835788613443,-3.8852361028093196,8.296303824068527,633,633,633
4 hours or longer,Prague,-10.237873914283746,0.6518047590509113,13.338770417869517,1606,1606,1606
4 hours or longer,Rotterdam,-10.02286437041143,-0.520833333333337,9.71459124828748,12045,12045,12045
4 hours or longer,Sydney,-15.51000701169917,-1.0769744056382091,12.229298865513673,944,944,944
4 hours or longer,Valencia,-14.327287306733083,-1.6500277315585121,9.722977424027047,2077,2077,2077
4 hours or longer,Warsaw,-13.671982987078005,-2.277965374926305,9.943415394422221,1777,1777,1777
4 hours or longer,Washington,-10.803780687948949,1.193156467035994,14.900784385877085,37330,37330,37330
Under 3 hours,Amsterdam,-3.2895211651730074,1.6494646474389807,15.548424015742473,827,827,827
Under 3 hours,Berlin,-4.16517902220427,0.8850798563703521,15.184053286738287,5812,5812,5812
Under 3 hours,Boston,-4.159200226351034,1.6039995833767362,14.471942152968742,5791,5791,5791
