city,outcome,label,value,n_value
Amsterdam,More than 2% faster,5,-1.1634830665957718,5448
Amsterdam,More than 2% slower,5,-6.465688502426037,5400
Amsterdam,Within 2%,5,-2.300069449267317,3297
Auckland,More than 2% slower,5,-5.134861698396559,106
Austin,More than 2% faster,5,-1.8483314415437158,501
Austin,More than 2% slower,5,-9.496834049690738,313
Austin,Within 2%,5,-2.4743265565438377,223
Berlin,More than 2% faster,5,-2.648520960619438,41593
Berlin,More than 2% slower,5,-8.142399683731972,46317
Berlin,Within 2%,5,-3.8467238684464053,26502
Boston,More than 2% faster,5,-2.2219251336898282,7021
Boston,More than 2% slower,5,-8.146534862449872,10069
Boston,Within 2%,5,-2.9151282746295806,5582
Chicago,More than 2% faster,5,-2.395907473309611,4395
Chicago,More than 2% slower,5,-8.569407364787107,4359
Chicago,Within 2%,5,-3.3973822376691554,2311
Copenhagen,More than 2% faster,5,-2.116311637125973,8078
Copenhagen,More than 2% slower,5,-7.891464710610313,7674
Copenhagen,Within 2%,5,-3.725796866558617,4065
Eindhoven,More than 2% faster,5,-2.3154832519190482,1501
Eindhoven,More than 2% slower,5,-6.960932698217581,1299
Eindhoven,Within 2%,5,-3.3636740763932416,1005
Gold Coast,More than 2% faster,5,-2.7455326660714263,1644
Gold Coast,More than 2% slower,5,-9.257350743333614,1567
Gold Coast,Within 2%,5,-3.8996030681757166,909
Helsinki,More than 2% faster,5,0.7658746718718357,367
Helsinki,More than 2% slower,5,-4.727069635385539,839
Helsinki,Within 2%,5,-1.4690189968723788,350
London,More than 2% faster,5,-4.425197870197151,11447
London,More than 2% slower,5,-10.056025155835696,13720
London,Within 2%,5,-4.553444297515863,6896
Madrid,More than 2% faster,5,-1.4920387305002558,1447
Madrid,More than 2% slower,5,-4.840753094253891,2978
Madrid,Within 2%,5,-1.8890659747961558,1329
New York,More than 2% faster,5,-4.919477551056145,21390
New York,More than 2% slower,5,-11.168421052631572,22741
New York,Within 2%,5,-5.992766697012342,10595
Oslo,More than 2% faster,5,-0.7963416864825157,475
Oslo,More than 2% slower,5,-4.694717223933958,510
Oslo,Within 2%,5,-2.4542960765042365,322
Paris,More than 2% faster,5,-2.9966743445387967,440
Paris,More than 2% slower,5,-9.660590115632544,196
Paris,Within 2%,5,-5.750622050622067,125
Prague,More than 2% faster,5,5.538958151674955,344
Prague,More than 2% slower,5,3.582555687964062,639
Prague,Within 2%,5,4.658029447464251,201
Rotterdam,More than 2% faster,5,-2.6526555091650694,9242
Rotterdam,More than 2% slower,5,-7.991652837703278,10573
Rotterdam,Within 2%,5,-3.768760032102725,6919
Sydney,More than 2% faster,5,-4.282922226001967,408
Sydney,More than 2% slower,5,-9.72241164577608,340
Sydney,Within 2%,5,-5.762439840970912,195
Valencia,More than 2% faster,5,-0.30061350727001446,4024
Valencia,More than 2% slower,5,-5.3701026260187135,3655
Valencia,Within 2%,5,-1.0322621941628585,2956
Warsaw,More than 2% faster,5,-0.7297203080664838,2061
Warsaw,More than 2% slower,5,-6.8875235109560675,1818
Warsaw,Within 2%,5,-2.2310975609756145,1123
Washington,More than 2% faster,5,-3.3018100224383007,13903
Washington,More than 2% slower,5,-9.322108541025608,19978
Washington,Within 2%,5,-4.766357897802576,7928
Amsterdam,More than 2% faster,10,-2.9210501578272763,5448
Amsterdam,More than 2% slower,10,-7.487505563265822,5400
Amsterdam,Within 2%,10,-3.8707086614173325,3297
Auckland,More than 2% slower,10,-7.008667168835281,106
Austin,More than 2% faster,10,-7.159248006076712,501
Austin,More than 2% slower,10,-13.28565691878868,313
Austin,Within 2%,10,-7.351039620724686,223
Berlin,More than 2% faster,10,-2.3041393965151036,41593
Berlin,More than 2% slower,10,-6.58526966162375,46317
Berlin,Within 2%,10,-3.227362245352733,26502
Boston,More than 2% faster,10,-2.5456918126564365,7021
Boston,More than 2% slower,10,-7.167236509588227,10069
Boston,Within 2%,10,-2.921726519784257,5582
Chicago,More than 2% faster,10,-2.1484837104497223,4395
Chicago,More than 2% slower,10,-6.896926805622883,4359
Chicago,Within 2%,10,-3.065002359603586,2311
Copenhagen,More than 2% faster,10,-2.384461230016549,8078
Copenhagen,More than 2% slower,10,-7.627680296055944,7674
Copenhagen,Within 2%,10,-3.82567710165318,4065
Eindhoven,More than 2% faster,10,-1.638478325562942,1501
Eindhoven,More than 2% slower,10,-5.994974579585444,1299
Eindhoven,Within 2%,10,-2.4498767092580143,1005
Gold Coast,More than 2% faster,10,-3.134186013808976,1644
Gold Coast,More than 2% slower,10,-8.864337840131231,1567
Gold Coast,Within 2%,10,-3.8711101042138596,909
Helsinki,More than 2% faster,10,-3.932361800141737,367
Helsinki,More than 2% slower,10,-7.501352313167253,839
Helsinki,Within 2%,10,-4.869217663724562,350
London,More than 2% faster,10,-3.247548188126459,11447
London,More than 2% slower,10,-7.942972549319471,13720
London,Within 2%,10,-3.465886829941839,6896
Madrid,More than 2% faster,10,-5.622326301213631,1447
Madrid,More than 2% slower,10,-8.724015959055954,2978
Madrid,Within 2%,10,-5.999977375565613,1329
New York,More than 2% faster,10,-5.5856140320162835,21390
New York,More than 2% slower,10,-10.317877026613642,22741
New York,Within 2%,10,-6.2273176364919465,10595
Oslo,More than 2% faster,10,-5.473157307549281,475
Oslo,More than 2% slower,10,-8.417015659349492,510
Oslo,Within 2%,10,-6.543246329711461,322
Paris,More than 2% faster,10,-3.142012185032317,440
Paris,More than 2% slower,10,-8.073112065738824,196
Paris,Within 2%,10,-5.313238960830047,125
Prague,More than 2% faster,10,-6.332511969829795,344
Prague,More than 2% slower,10,-9.888543784617532,639
Prague,Within 2%,10,-7.5241421820423255,201
Rotterdam,More than 2% faster,10,-3.4473987405477855,9242
Rotterdam,More than 2% slower,10,-8.440906415538551,10573
Rotterdam,Within 2%,10,-4.455698794267072,6919
Sydney,More than 2% faster,10,-1.3499714099464377,408
Sydney,More than 2% slower,10,-5.44463068648186,340
Sydney,Within 2%,10,-2.443953949980149,195
Valencia,More than 2% faster,10,-1.5071477222525442,4024
Valencia,More than 2% slower,10,-6.051298701298702,3655
Valencia,Within 2%,10,-2.217351956123509,2956
Warsaw,More than 2% faster,10,-2.6396382867589607,2061
Warsaw,More than 2% slower,10,-7.871005704011564,1818
Warsaw,Within 2%,10,-3.7083212032993695,1123
Washington,More than 2% faster,10,-6.572503557874764,13903
Washington,More than 2% slower,10,-11.406537970556608,19978
Washington,Within 2%,10,-7.491366540050026,7928
Amsterdam,More than 2% faster,15,-2.5237574345046143,5448
Amsterdam,More than 2% slower,15,-6.496674988168232,5400
Amsterdam,Within 2%,15,-3.256390864844627,3297
Auckland,More than 2% slower,15,-5.854949804703402,106
Austin,More than 2% faster,15,-2.9182213761218434,501
Austin,More than 2% slower,15,-6.923780261694123,313
Austin,Within 2%,15,-3.188570818201253,223
Berlin,More than 2% faster,15,-2.9486695982708477,41593
Berlin,More than 2% slower,15,-6.399449541284397,46317
Berlin,Within 2%,15,-3.5399792856539882,26502
Boston,More than 2% faster,15,-2.324472780774889,7021
Boston,More than 2% slower,15,-5.763306855864892,10069
Boston,Within 2%,15,-2.641361027810374,5582
Chicago,More than 2% faster,15,-3.386722750548654,4395
Chicago,More than 2% slower,15,-7.598602213162497,4359
Chicago,Within 2%,15,-4.184328309089724,2311
Copenhagen,More than 2% faster,15,-2.3043421396861055,8078
Copenhagen,More than 2% slower,15,-7.27070487236573,7674
Copenhagen,Within 2%,15,-3.6461090752317293,4065
Eindhoven,More than 2% faster,15,-1.9951431779898998,1501
Eindhoven,More than 2% slower,15,-5.870227790432791,1299
Eindhoven,Within 2%,15,-2.6337319068596488,1005
Gold Coast,More than 2% faster,15,-3.053189161839459,1644
Gold Coast,More than 2% slower,15,-7.952770986145074,1567
Gold Coast,Within 2%,15,-3.829598119332811,909
Helsinki,More than 2% faster,15,-5.079582898852964,367
Helsinki,More than 2% slower,15,-7.885463835785389,839
Helsinki,Within 2%,15,-5.512993572305569,350
London,More than 2% faster,15,-1.7767736339982632,11447
London,More than 2% slower,15,-5.091750222451075,13720
London,Within 2%,15,-1.7538391556767063,6896
Madrid,More than 2% faster,15,-3.4018960674157217,1447
Madrid,More than 2% slower,15,-5.932822267115107,2978
Madrid,Within 2%,15,-3.6723004411142623,1329
New York,More than 2% faster,15,-4.3079551070450695,21390
New York,More than 2% slower,15,-8.017477096546877,22741
New York,Within 2%,15,-4.6716051040967095,10595
Oslo,More than 2% faster,15,-2.7890055014811788,475
Oslo,More than 2% slower,15,-5.654509575203898,510
Oslo,Within 2%,15,-3.5690029898689413,322
Paris,More than 2% faster,15,-2.614101860771223,440
Paris,More than 2% slower,15,-6.2840154333482,196
Paris,Within 2%,15,-3.7627418690819314,125
Prague,More than 2% faster,15,-4.930876202008383,344
Prague,More than 2% slower,15,-7.930638240815235,639
Prague,Within 2%,15,-5.814732142857149,201
Rotterdam,More than 2% faster,15,-2.809275466840555,9242
Rotterdam,More than 2% slower,15,-6.978081564075145,10573
