pace,label,value,n_value
5–6 min/km,25,20.160809245087464,900197
4–5 min/km,25,10.241972203551528,461210
6 min/km or slower,25,44.18928301325366,967884
Under 4 min/km,25,5.420397265633991,43447
5–6 min/km,30,27.438993909111005,900197
4–5 min/km,30,23.470002818672622,461210
6 min/km or slower,30,26.22246054279232,967884
Under 4 min/km,30,18.233710037516975,43447
5–6 min/km,35,30.902458017522832,900197
6 min/km or slower,35,19.52857987114158,967884
4–5 min/km,35,35.58530821101017,461210
Under 4 min/km,35,36.53877137661979,43447
5–6 min/km,40,21.4977388282787,900197
4–5 min/km,40,30.702716766765683,461210
6 min/km or slower,40,10.059676572812444,967884
Under 4 min/km,40,39.80712132022924,43447
