pace,label,lower,upper,n_lower,n_upper
5–6 min/km,25,111.7,144.5,123573,123573
4–5 min/km,25,93.13333333333334,120.36666666666666,32318,32318
6 min/km or slower,25,137.15,178.3,304061,304061
Under 4 min/km,25,76.08333333333333,98.41666666666667,1740,1740
5–6 min/km,30,140.2,172.51666666666668,200657,200657
6 min/km or slower,30,167.76666666666668,206.76666666666668,205086,205086
Under 4 min/km,30,96.2,118.35,6680,6680
4–5 min/km,30,117.81666666666666,144.81666666666666,88066,88066
5–6 min/km,35,167.75,199.86666666666667,210312,210312
6 min/km or slower,35,199.86666666666667,238.16666666666666,142895,142895
4–5 min/km,35,141.66666666666666,168.56666666666666,125065,125065
Under 4 min/km,35,116.03333333333333,138.01666666666668,12654,12654
5–6 min/km,40,194.81666666666666,226.4,155133,155133
6 min/km or slower,40,232.16666666666666,269.95,76997,76997
Under 4 min/km,40,135.78333333333333,157.75,14465,14465
4–5 min/km,40,165.05,191.86666666666667,115076,115076
