target,label,value,n_value,successes
Under 3 hours,25,2.590203587986293,9922,257
Under 3 hours,30,2.1236046828205826,7346,156
Under 3 hours,35,4.039823856021443,5223,211
Under 3 hours,40,8.028776978417266,3475,279
Under 3:30,25,2.082771030139451,22230,463
Under 3:30,30,2.616257088846881,13225,346
Under 3:30,35,4.201153749686481,7974,335
Under 3:30,40,8.360624157195145,5191,434
Under 4 hours,25,2.622142536978933,35696,936
Under 4 hours,30,4.035053299326401,15291,617
Under 4 hours,35,4.892512972572276,8094,396
Under 4 hours,40,10.902791929896066,4907,535
Under 4:30,25,1.698622646023446,29259,497
Under 4:30,30,4.186223518964861,7883,330
Under 4:30,35,5.440097799511003,3272,178
Under 4:30,40,8.252947481243302,1866,154
Under 5 hours,25,1.9194756554307115,19224,369
Under 5 hours,30,6.913429183236463,3269,226
Under 5 hours,35,8.737864077669903,1236,108
Under 5 hours,40,14.24,625,89
