target,label,value,n_value,successes
Under 3 hours,2–5 minutes ahead,99.26571250777847,32140,31904
Under 3 hours,Up to 2 minutes ahead,84.87170715018816,29230,24808
Under 3 hours,Up to 2 minutes behind,7.77740368428647,20791,1617
Under 3 hours,2–5 minutes behind,0.10301844030081385,29121,30
Under 3:30,2–5 minutes ahead,97.6146643389938,63010,61507
Under 3:30,Up to 2 minutes ahead,73.78096558375023,49773,36723
Under 3:30,Up to 2 minutes behind,8.858535728402654,45538,4034
Under 3:30,2–5 minutes behind,0.27984204471254004,64322,180
Under 4 hours,2–5 minutes ahead,96.93578694324016,95261,92342
Under 4 hours,Up to 2 minutes ahead,73.96788645999338,66514,49199
Under 4 hours,Up to 2 minutes behind,13.139199549834704,56868,7472
Under 4 hours,2–5 minutes behind,0.2467380955573733,74573,184
Under 4:30,2–5 minutes ahead,92.8885191833399,68523,63650
Under 4:30,Up to 2 minutes ahead,60.580201072677134,46053,27899
Under 4:30,Up to 2 minutes behind,10.897970530998053,43164,4704
Under 4:30,2–5 minutes behind,0.33576737514669447,61352,206
Under 5 hours,2–5 minutes ahead,93.4603523298551,47342,44246
Under 5 hours,Up to 2 minutes ahead,66.49312992190846,30349,20180
Under 5 hours,Up to 2 minutes behind,18.115608980024746,28285,5124
Under 5 hours,2–5 minutes behind,0.8780361085855306,38495,338
