target,label,value,n_value
Under 3 hours,2–5 minutes ahead,-0.9111617312072773,28306
Under 3 hours,Up to 2 minutes ahead,-1.5542924484237775,25836
Under 3 hours,Up to 2 minutes behind,-0.7538298450450343,18138
Under 3 hours,2–5 minutes behind,-0.4507536177980609,25178
Under 3:30,2–5 minutes ahead,-1.8593249540372003,53648
Under 3:30,Up to 2 minutes ahead,-2.3311641224633584,42503
Under 3:30,Up to 2 minutes behind,-2.0166153021572986,38793
Under 3:30,2–5 minutes behind,-1.5446822358080925,54554
Under 4 hours,2–5 minutes ahead,-3.1163400742943215,79449
Under 4 hours,Up to 2 minutes ahead,-3.8706284716075956,55764
Under 4 hours,Up to 2 minutes behind,-3.8598115599698946,47316
Under 4 hours,2–5 minutes behind,-2.695300670204215,61844
Under 4:30,2–5 minutes ahead,-4.758332905650542,55595
Under 4:30,Up to 2 minutes ahead,-5.032137408697013,37316
Under 4:30,Up to 2 minutes behind,-5.136117959138254,34915
Under 4:30,2–5 minutes behind,-4.801762546405291,49514
Under 5 hours,2–5 minutes ahead,-6.557977408656845,37647
Under 5 hours,Up to 2 minutes ahead,-7.038795336327958,23972
Under 5 hours,Up to 2 minutes behind,-7.001657328042943,22382
Under 5 hours,2–5 minutes behind,-6.244774447090223,30490
