target,label,value,n_value,successes
Under 3 hours,Finished at or just over,28.26414577339362,7299,2063
Under 3 hours,Finished just under,27.29485669414998,12735,3476
Under 3:30,Finished at or just over,24.827800507535347,19309,4794
Under 3:30,Finished just under,25.021803231031186,24079,6025
Under 4 hours,Finished at or just over,21.83267245102273,25471,5561
Under 4 hours,Finished just under,22.47263002479316,35897,8067
Under 4:30,Finished at or just over,20.433946717934635,21846,4464
Under 4:30,Finished just under,20.790712778048384,24636,5122
Under 5 hours,Finished at or just over,18.996006845407873,14024,2664
Under 5 hours,Finished just under,20.10406811731315,16912,3400
