previous,label,value,n_value,count
Faster second 20 km,Faster second 20 km,23.348603517068124,20301,4740
Faster second 20 km,Moderate slowing,30.65366238116349,20301,6223
Faster second 20 km,Pronounced slowing,19.141914191419144,20301,3886
Faster second 20 km,Similar 20 km blocks,26.855819910349243,20301,5452
Moderate slowing,Faster second 20 km,2.128694689948917,209659,4463
Moderate slowing,Moderate slowing,50.143327975426764,209659,105130
Moderate slowing,Pronounced slowing,34.03192803552435,209659,71351
Moderate slowing,Similar 20 km blocks,13.696049299099966,209659,28715
Pronounced slowing,Faster second 20 km,1.4360790160268357,268300,3853
Pronounced slowing,Moderate slowing,23.84308609765188,268300,63971
Pronounced slowing,Pronounced slowing,68.67759970182631,268300,184262
Pronounced slowing,Similar 20 km blocks,6.043235184494968,268300,16214
Similar 20 km blocks,Faster second 20 km,4.2465753424657535,85410,3627
Similar 20 km blocks,Moderate slowing,39.01885025172697,85410,33326
Similar 20 km blocks,Pronounced slowing,20.819576162041916,85410,17782
Similar 20 km blocks,Similar 20 km blocks,35.91499824376537,85410,30675
