city,label,opening,retention,n_opening,n_retention
Amsterdam,2012,5.339166666666667,5.708859356053031,9986,9986
Amsterdam,2013,5.367500000000001,8.71905274488698,10871,10871
Amsterdam,2014,5.456666666666666,9.677928639090627,11959,11959
Amsterdam,2015,5.431666666666667,5.398288347597102,12201,12201
Amsterdam,2016,5.4399999999999995,7.820710973724876,12113,12113
Amsterdam,2017,5.4783333333333335,10.215698577621602,10942,10942
Amsterdam,2018,5.439166666666667,6.204009134737376,11985,11985
Amsterdam,2019,5.465833333333333,5.253899378444937,13253,13253
Amsterdam,2020,5.6866666666666665,7.224479431183339,665,665
Amsterdam,2021,5.3275,5.0703717069650045,6491,6491
Amsterdam,2022,5.364166666666667,7.357660763104712,12458,12458
Amsterdam,2024,5.474166666666666,5.4941534518660795,16735,16735
Auckland,2016,5.679166666666666,10.110478741211914,1541,1541
Auckland,2017,5.671250000000001,12.370750811802779,1520,1520
Auckland,2018,5.191666666666666,7.046533713200387,915,915
Auckland,2019,5.630416666666667,10.900757196945255,1560,1560
Austin,2017,6.221666666666667,15.992569317208138,2568,2568
Austin,2018,6.045,8.645066273932244,2439,2439
Austin,2019,5.9625,11.518740912936686,2614,2614
Barcelona,2019,5.1,4.8216776250249005,5535,5535
Barcelona,2025,5.338333333333334,4.012567723598892,20716,20716
Barcelona,2026,5.305833333333334,4.011259676284307,23955,23955
Berlin,2005,5.5600000000000005,9.17684700407213,30211,30211
Berlin,2006,5.628333333333333,10.824858916597835,30026,30026
Berlin,2007,5.5175,7.232616124070845,32344,32344
Berlin,2008,5.541666666666667,6.586525615260674,35500,35500
Berlin,2009,5.5875,9.901530991971107,34704,34704
Berlin,2010,5.575833333333334,4.711929330601549,33816,33816
Berlin,2011,5.6033333333333335,7.678618853086072,27208,27208
Berlin,2012,5.545833333333333,5.6442527382406515,34074,34074
Berlin,2013,5.536666666666666,5.090032610236772,36283,36283
Berlin,2014,5.515833333333333,7.36928104575163,28819,28819
Berlin,2015,5.529166666666667,6.430916144434495,36545,36545
Berlin,2016,5.590833333333333,7.843775427176558,35821,35821
Berlin,2017,5.626666666666667,6.833312397939961,38815,38815
Berlin,2018,5.645,9.842309199506637,40362,40362
Berlin,2019,5.594166666666666,6.4385297845373834,43691,43691
Berlin,2021,5.589166666666667,12.718697702723269,22985,22985
Berlin,2022,5.575,7.273141463652955,34666,34666
Berlin,2023,5.572500000000001,7.261947151449921,42182,42182
Berlin,2024,5.5616666666666665,5.116408755053681,53417,53417
Berlin,2025,5.714166666666667,11.499157776530033,47851,47851
Boston,2018,5.091666666666667,10.312899106002549,25121,25121
