origin,label,value,n_value
Amsterdam,Berlin,-0.8268001716909872,6836
Amsterdam,Boston,0.5441322989751443,514
Amsterdam,Copenhagen,3.642358661471152,1114
Amsterdam,Eindhoven,-2.2766974377240627,1112
Amsterdam,Helsinki,7.865354277165782,100
Amsterdam,Madrid,8.744588530838529,213
Amsterdam,Oslo,4.344755244755246,131
Amsterdam,Prague,12.699119455423805,179
Amsterdam,Rotterdam,1.392798465918141,5370
Amsterdam,Valencia,-2.2810059433193413,939
Berlin,Amsterdam,0.8268001716909872,6836
Berlin,Boston,-1.9989191278387888,724
Berlin,Chicago,-6.893969229894661,2091
Berlin,Copenhagen,2.344368191812697,3697
Berlin,Eindhoven,-3.551654942279944,439
Berlin,Gold Coast,5.288599453650338,699
Berlin,Helsinki,10.800509294626943,324
Berlin,London,1.5130262000385666,5993
Berlin,Oslo,5.026586192168055,371
Berlin,Prague,15.302818934974297,506
Berlin,Rotterdam,1.7898015280884014,2688
Berlin,Sydney,3.5936662946428557,240
Boston,Amsterdam,-0.5441322989751443,514
Boston,Berlin,1.9989191278387888,724
Boston,Copenhagen,4.1412368603042875,582
Boston,Gold Coast,4.271656378600824,455
Boston,London,-1.835315507811383,3002
Boston,Madrid,7.813414614517946,204
Boston,Rotterdam,-4.257817945537245,236
Boston,Valencia,-7.019652950955949,892
Chicago,Berlin,6.893969229894661,2091
Chicago,London,4.834157906648342,6671
Copenhagen,Amsterdam,-3.642358661471152,1114
Copenhagen,Berlin,-2.344368191812697,3697
Copenhagen,Boston,-4.1412368603042875,582
Copenhagen,Helsinki,8.546369533375184,113
Copenhagen,Madrid,2.2435137701804373,157
Copenhagen,Oslo,0.1008011250630807,311
Copenhagen,Prague,14.119923629829291,102
Copenhagen,Rotterdam,-3.4549300476557994,330
Copenhagen,Valencia,-5.792104685854685,379
Eindhoven,Amsterdam,2.2766974377240627,1112
Eindhoven,Berlin,3.551654942279944,439
Eindhoven,Rotterdam,2.8941635891335533,1741
Gold Coast,Berlin,-5.288599453650338,699
Gold Coast,Boston,-4.271656378600824,455
Gold Coast,Sydney,-6.4564474723538705,303
Helsinki,Amsterdam,-7.865354277165782,100
Helsinki,Berlin,-10.800509294626943,324
Helsinki,Copenhagen,-8.546369533375184,113
London,Berlin,-1.5130262000385666,5993
London,Boston,1.835315507811383,3002
London,Chicago,-4.834157906648342,6671
Madrid,Amsterdam,-8.744588530838529,213
Madrid,Boston,-7.813414614517946,204
Madrid,Copenhagen,-2.2435137701804373,157
Madrid,Valencia,-10.219443373210318,1542
New York,Paris,-12.05466910047656,1103
New York,Washington,6.487265126191055,2742
Oslo,Amsterdam,-4.344755244755246,131
Oslo,Berlin,-5.026586192168055,371
Oslo,Copenhagen,-0.1008011250630807,311
Paris,New York,12.05466910047656,1103
Prague,Amsterdam,-12.699119455423805,179
Prague,Berlin,-15.302818934974297,506
Prague,Copenhagen,-14.119923629829291,102
Rotterdam,Amsterdam,-1.392798465918141,5370
Rotterdam,Berlin,-1.7898015280884014,2688
Rotterdam,Boston,4.257817945537245,236
Rotterdam,Copenhagen,3.4549300476557994,330
Rotterdam,Eindhoven,-2.8941635891335533,1741
Rotterdam,Valencia,-1.2609537037037029,525
Sydney,Berlin,-3.5936662946428557,240
Sydney,Gold Coast,6.4564474723538705,303
Valencia,Amsterdam,2.2810059433193413,939
Valencia,Boston,7.019652950955949,892
Valencia,Copenhagen,5.792104685854685,379
Valencia,Madrid,10.219443373210318,1542
Valencia,Rotterdam,1.2609537037037029,525
Washington,New York,-6.487265126191055,2742
