outcome,label,value,n_value
More than 2% faster,5,-10.124261691625547,135855
More than 2% slower,5,-0.9821553890828894,155188
Within 2%,5,-3.9098987938641083,82912
More than 2% faster,10,-10.508888421937378,135855
More than 2% slower,10,-0.740914430139189,155188
Within 2%,10,-4.133058831796232,82912
More than 2% faster,15,-10.085182914367463,135855
More than 2% slower,15,0.46614668457978237,155188
Within 2%,15,-3.6364398642468876,82912
More than 2% faster,20,-9.286949069539663,135855
More than 2% slower,20,2.3485266589921228,155188
Within 2%,20,-2.823141361666859,82912
More than 2% faster,25,-7.380918699833117,135855
More than 2% slower,25,6.320253793823638,155188
Within 2%,25,-1.110815427292633,82912
More than 2% faster,30,-5.736294545919007,135855
More than 2% slower,30,10.92507270843084,155188
Within 2%,30,0.8175023050236874,82912
More than 2% faster,35,-3.500224215246639,135855
More than 2% slower,35,17.210544812914996,155188
Within 2%,35,3.736016580664836,82912
More than 2% faster,40,-1.1126026350964269,135855
More than 2% slower,40,21.978578811583173,155188
Within 2%,40,7.067523763763783,82912
More than 2% faster,42.195,-3.9935903049894472,135855
More than 2% slower,42.195,16.580186907329864,155188
Within 2%,42.195,4.11113174017882,82912
