city,label,p10,median,p90,n_p10,n_median,n_p90
Amsterdam,2012,-10.722238546003434,-1.1220460101548313,7.731938269315959,577,577,577
Amsterdam,2013,-7.983936836373539,0.7391304347825978,10.868253436138108,1131,1131,1131
Amsterdam,2014,-6.2020367215183025,3.0056179775280967,13.990499617333915,1475,1475,1475
Amsterdam,2015,-9.750145335927536,-1.379710984388044,8.85590396065566,1328,1328,1328
Amsterdam,2016,-6.743180183980542,1.3504914091776898,12.110123633217201,1357,1357,1357
Amsterdam,2017,-6.96186673976629,2.563875088715406,14.731700656934432,1273,1273,1273
Amsterdam,2018,-9.434021127320497,-1.3851845478792035,9.59607781145636,1313,1313,1313
Amsterdam,2019,-10.785704318385651,-1.5756241672942095,8.535630447147158,1383,1383,1383
Amsterdam,2021,-11.74149805375186,-1.4107814316751788,9.276466923085154,472,472,472
Amsterdam,2022,-7.774963542865909,0.2479982994402219,9.730668983492619,701,701,701
Amsterdam,2024,-9.028004083667565,0.11764705882353343,12.824063098806247,947,947,947
Amsterdam,2025,-10.561822923564346,-1.887843180932225,9.842416634981179,2187,2187,2187
Auckland,2018,-11.678747164279304,-0.1492731048805762,7.30886510910592,215,215,215
Austin,2018,-14.188046025046589,-4.449902890437563,5.289979519526012,437,437,437
Austin,2019,-11.31116744597038,0.3153727941566764,11.807049044564394,582,582,582
Berlin,2006,-7.745033962862669,1.5754378251630285,12.498447767255858,6525,6525,6525
Berlin,2007,-11.53932223229553,-2.0965119666704055,8.677031818676033,7630,7630,7630
Berlin,2008,-9.762200701519925,-0.6806028196402525,9.78817390383486,7947,7947,7947
Berlin,2009,-6.711321866563935,2.8229394159993593,15.086387144725897,7717,7717,7717
Berlin,2010,-11.030149994766436,-1.4607107923051865,9.237424075271681,7057,7057,7057
Berlin,2011,-8.467640221957753,1.0458605951302213,12.367958085485082,5970,5970,5970
Berlin,2012,-9.662061174696278,-0.39471686655533356,10.66813940578996,6743,6743,6743
Berlin,2013,-9.265940553240009,-0.79155672823219,9.844748833825829,8237,8237,8237
Berlin,2014,-7.089329541801952,1.459259690011372,13.054713292285417,6512,6512,6512
Berlin,2015,-8.384032910227273,0.38117019249095385,11.742405141946566,8335,8335,8335
Berlin,2016,-6.99744175995807,1.6372533521841093,13.390849081279594,8444,8444,8444
Berlin,2017,-8.539793139379496,0.7576284145409007,12.373216869132037,9283,9283,9283
Berlin,2018,-7.185136108508045,2.5801555682033683,15.411487483901672,8675,8675,8675
Berlin,2019,-10.548854276180613,-0.782719495176265,11.123101908787737,8635,8635,8635
Berlin,2021,-11.166815003812488,1.9440324552732036,21.220792929369978,390,390,390
Berlin,2022,-12.04585741442397,-2.796416004568453,7.340425548644603,4792,4792,4792
Berlin,2024,-17.130126248040266,-4.352108892271877,13.472387173396672,491,491,491
Berlin,2025,-7.835151408241192,3.8911717096252074,19.822579138393536,1029,1029,1029
Boston,2022,-8.082356669549947,0.27783951989330813,10.022980487769395,1637,1637,1637
Boston,2023,-9.342391788412971,0.9440920489747651,12.63103794739494,505,505,505
Boston,2024,-3.2394801341510404,5.162491536899116,18.698952536012133,6217,6217,6217
Boston,2025,-8.45372267382902,0.4539106145251326,12.909657608206455,6945,6945,6945
Boston,2026,-9.331662538405388,-1.1134453781512565,9.45501816734144,7367,7367,7367
Chicago,2024,-11.527828361121774,-0.25679094508416767,14.077115075332634,3830,3830,3830
Chicago,2025,-10.571479960485998,-0.08406893652794789,13.407117019286336,7235,7235,7235
Copenhagen,2014,-10.019248100745203,0.14664223006606303,13.299448578895756,946,946,946
Copenhagen,2015,-9.447752731248777,-0.5140508778961939,10.753470491607587,2104,2104,2104
Copenhagen,2016,-4.311611845631896,5.024718215174174,18.22911162164472,2130,2130,2130
Copenhagen,2017,-10.325234282357924,-0.4248915641320683,11.813748257960214,2117,2117,2117
Copenhagen,2018,-8.101292278827579,1.4542524931339784,14.493155716724637,1950,1950,1950
Copenhagen,2019,-9.050843017221139,1.20280091141306,13.508325587022386,2756,2756,2756
Copenhagen,2022,-5.678004535147396,0.6732140028512523,10.673841458517398,111,111,111
Copenhagen,2023,-10.081386022622114,-0.18645548975192439,11.43733862266677,1512,1512,1512
Copenhagen,2024,-12.857933530067141,-2.6800787844682095,8.920889064443633,2357,2357,2357
Copenhagen,2025,-13.09900356017502,-3.4380127568193197,8.026475513275104,3834,3834,3834
Eindhoven,2012,-9.312996552773974,-0.7460404785646524,8.082158567987547,184,184,184
Eindhoven,2013,-7.283684447811741,-0.16719745222929516,8.731748489812103,249,249,249
Eindhoven,2014,-9.354904202847981,-0.12586238741838507,8.491665850838697,232,232,232
Eindhoven,2015,-10.216634022531395,-2.4082047883368096,5.733371640324189,372,372,372
Eindhoven,2016,-8.289690627807765,-0.2275898572615065,9.158617840311457,442,442,442
Eindhoven,2018,-6.199000369490393,2.655188323486013,15.233001248235622,358,358,358
Eindhoven,2019,-8.484369620456123,0.6306551950868378,11.583669465141249,380,380,380
Eindhoven,2021,-12.140898420896736,-3.6296674957671082,5.112590093759177,150,150,150
Eindhoven,2022,-7.937743986415808,-1.187506175476588,6.630470165266045,312,312,312
Eindhoven,2023,-8.458277886063037,0.018628912071538828,8.865852164869453,474,474,474
Eindhoven,2024,-9.759993592469804,-1.3535623977391054,7.69391319273487,619,619,619
Gold Coast,2017,-10.920858141525013,-0.8318870190547334,13.90136226689523,888,888,888
Gold Coast,2018,-8.91266365588061,1.3117017604418413,15.764053243959534,1323,1323,1323
Gold Coast,2023,-10.087445629884643,-1.030823313098933,9.154350369860072,740,740,740
Gold Coast,2024,-12.100621623512689,-1.0800332317917438,10.56542276110913,1077,1077,1077
Helsinki,2015,-4.652426011372988,3.6498539711657507,18.7192414221981,170,170,170
Helsinki,2016,-7.343066770346953,-0.017276130146848256,9.934420164778148,815,815,815
Helsinki,2017,-1.5185973149438814,6.872406639004147,17.394996407342077,571,571,571
London,2019,-15.081989250211794,-4.742388758782202,7.619480069096177,637,637,637
London,2021,-14.288752821574972,0.9276706769096865,17.66739230532819,2153,2153,2153
London,2022,-9.268439684083395,0.26924842457133336,13.317700039591294,3120,3120,3120
