sample,label,p10,median,p90,n_p10,n_median,n_p90
After beating an earlier-year best,1–89 days,-4.96982046726326,2.717889211767388,23.366788693498787,1338,1338,1338
After beating an earlier-year best,90–179 days,-4.42670779076369,2.2537404373077274,15.384040388062148,3810,3810,3810
After beating an earlier-year best,180–364 days,-5.452352903982842,1.7388712241653392,14.436327201151041,47375,47375,47375
After beating an earlier-year best,365–729 days,-6.660855669354248,1.2131413977246375,15.37404280384842,24321,24321,24321
After beating an earlier-year best,730–1095 days,-6.984840195330789,3.013382046802582,19.983837943868174,9948,9948,9948
All dated pairs,1–89 days,-11.114905781766815,-0.3884418127148459,13.269095138166481,7290,7290,7290
All dated pairs,90–179 days,-9.96415653507558,-0.718180541196467,10.382558113905802,19814,19814,19814
All dated pairs,180–364 days,-9.586814957591185,0.0,11.978464701660377,267052,267052,267052
All dated pairs,365–729 days,-9.683924281864059,0.0,9.810006645533313,199049,199049,199049
All dated pairs,730–1095 days,-12.46710497064236,0.05431830526887449,15.403143095465438,74269,74269,74269
