ability_band,label,p10,median,p90,n_p10,n_median,n_p90
3:30–4 hours,Faster opening,-9.387968676495365,-1.4929082136542815,6.203151074777546,79854,79854,79854
3:30–4 hours,Similar opening,-1.1477367134209946,2.3242900206251083,11.538245212248793,27989,27989,27989
3:30–4 hours,Slower opening,1.9301448673510646,10.888928849702062,31.153772539812337,22308,22308,22308
3–3:30,Faster opening,-7.813965994919239,-1.4032305623796815,5.292611102247953,46982,46982,46982
3–3:30,Similar opening,-1.0040278736269856,1.812523317362258,9.702945655154338,20888,20888,20888
3–3:30,Slower opening,2.8873318734068754,11.54560810810812,35.94794003381156,16359,16359,16359
4 hours or longer,Faster opening,-13.140318562844467,-1.1623572494318946,7.715530559496586,220646,220646,220646
4 hours or longer,Similar opening,-0.5622974066644645,4.399441340782118,15.114011812306021,30713,30713,30713
4 hours or longer,Slower opening,0.8344039383568584,12.144544394495904,29.461019089384493,24408,24408,24408
Under 3 hours,Faster opening,-5.709804320567544,-1.2562814070351758,4.050700985231803,15713,15713,15713
Under 3 hours,Similar opening,-1.045458788387943,1.0517339397384973,7.949831162566334,11931,11931,11931
Under 3 hours,Slower opening,2.9815060442813457,11.713407616487126,49.1364818553364,6532,6532,6532
