previous_pattern,label,p10,median,p90,n_p10,n_median,n_p90
Faster second 20 km,More than 5% faster finish section,-11.10055211888773,-0.47532590259401486,9.590886583477253,5526,5526,5526
Faster second 20 km,Similar or slower finish section,-10.097414810174994,0.0,13.891462911745174,4404,4404,4404
Faster second 20 km,Up to 5% faster finish section,-9.031076976587261,0.0,11.508983961342079,8166,8166,8166
Moderate slowing,More than 5% faster finish section,-8.611701468803066,0.0,11.705780998495394,53010,53010,53010
Moderate slowing,Similar or slower finish section,-6.444238051010931,0.6276150627614996,14.047619047619042,58881,58881,58881
Moderate slowing,Up to 5% faster finish section,-6.485878899523952,0.24106847795750674,12.777072516785072,82604,82604,82604
Pronounced slowing,More than 5% faster finish section,-13.756736357296521,-0.5286829933442427,10.816649981512539,136846,136846,136846
Pronounced slowing,Similar or slower finish section,-12.582056911105507,-0.43623899665030663,12.220281823759686,50763,50763,50763
Pronounced slowing,Up to 5% faster finish section,-11.358274278775172,0.0,11.93423441589413,68086,68086,68086
Similar 20 km blocks,More than 5% faster finish section,-8.76988635534646,0.0,10.414191603877736,16853,16853,16853
Similar 20 km blocks,Similar or slower finish section,-6.2186573244924155,0.14008872285780072,13.373637914812283,22233,22233,22233
Similar 20 km blocks,Up to 5% faster finish section,-6.320020679716609,0.0,11.998070379050795,39475,39475,39475
