terrain,label,value,n_value
Near level,5,-4.085280344260223,1505203
Net downhill,5,-7.142191607456278,884262
Net uphill,5,-3.5921483953282873,349961
Near level,10,-4.205204098227355,1396169
Net downhill,10,-7.146444037699035,1224486
Net uphill,10,-4.9574529097554105,118771
Near level,15,-4.6406362458615185,2526850
Net downhill,15,-6.278581555396534,126732
Net uphill,15,-4.552945278091275,85844
Near level,20,-3.3392555253974554,2469497
Net downhill,20,-3.7577692877915347,246777
Net uphill,20,-3.4032129077122053,23152
Near level,25,-1.5954976568301693,1377794
Net downhill,25,-0.30704135737009697,646248
Net uphill,25,-0.7616708052500865,715384
Near level,30,1.101527760019072,2119508
Net downhill,30,0.38738932503651347,130312
Net uphill,30,1.6490239495383863,489606
Near level,35,5.717989803350343,1657751
Net downhill,35,4.0498864309697735,1073469
Net uphill,35,7.670537826515522,8206
Near level,40,8.69038179218089,1935076
Net downhill,40,5.123349247153874,166181
Net uphill,40,9.85266450591693,638169
Near level,42.195,4.403345119416424,1182809
Net downhill,42.195,4.351739272550315,1115786
Net uphill,42.195,5.40722207700064,440831
