temperature,label,value,n_value,editions
10–14.9°C,5,-4.2345848470771745,185161,59
15–19.9°C,5,-5.78742141889632,15651,13
Below 10°C,5,-3.997952363917325,131697,45
10–14.9°C,10,-5.478503045733623,185161,59
15–19.9°C,10,-6.408280293322959,15651,13
Below 10°C,10,-4.55762991208708,131697,45
10–14.9°C,15,-4.416417875122786,185161,59
15–19.9°C,15,-5.952807833811671,15651,13
Below 10°C,15,-3.8206336419968294,131697,45
10–14.9°C,20,-3.4956454471235294,185161,59
15–19.9°C,20,-4.175481917768826,15651,13
Below 10°C,20,-2.8211349817484184,131697,45
10–14.9°C,25,-1.8416584797735533,185161,59
15–19.9°C,25,-0.9347093781365723,15651,13
Below 10°C,25,-1.5222984947801008,131697,45
10–14.9°C,30,0.9964212486393327,185161,59
15–19.9°C,30,1.288500810141561,15651,13
Below 10°C,30,0.75221332263447,131697,45
10–14.9°C,35,4.944073220414503,185161,59
15–19.9°C,35,7.013306544025791,15651,13
Below 10°C,35,4.287970577605467,131697,45
10–14.9°C,40,9.065092181866005,185161,59
15–19.9°C,40,10.125272332584371,15651,13
Below 10°C,40,7.558121539972803,131697,45
10–14.9°C,42.195,5.084962745420919,185161,59
15–19.9°C,42.195,5.229395972672828,15651,13
Below 10°C,42.195,5.057758883693509,131697,45
