cohort_key_nosex,n
a210|Berlin|null,1415
a210|Amsterdam|null,1225
a240|Berlin|null,1214
a210|Copenhagen|null,932
a240|Amsterdam|null,914
a180|Berlin|null,900
a210|Madrid|null,898
a270|Berlin|null,810
a240|Madrid|null,749
a240|Copenhagen|null,703
a180|Amsterdam|null,654
a180|Copenhagen|null,535
a180|Madrid|null,529
a270|Amsterdam|null,498
a270|Madrid|null,472
a180|Boston|null,431
a270|Copenhagen|null,417
a210|Oslo|null,404
a210|London|null,386
a210|Boston|null,382
a300|Berlin|null,368
a240|London|null,365
a210|Rotterdam|null,360
a270|London|null,312
a150|Berlin|null,308
a240|Rotterdam|null,305
a240|Washington|null,295
a270|Washington|null,281
a240|Oslo|null,248
a180|London|null,241
a210|Washington|null,224
a180|Oslo|null,222
a150|Amsterdam|null,220
a300|London|null,214
a150|Boston|null,214
a180|Rotterdam|null,210
a300|Amsterdam|null,208
a240|Boston|null,199
a300|Washington|null,187
a150|London|null,172
a330|London|null,170
a300|Madrid|null,163
a330|Berlin|null,157
a270|Rotterdam|null,148
a150|Copenhagen|null,141
a300|Copenhagen|null,138
a270|Oslo|null,136
a210|Hamburg|null,136
a180|Hamburg|null,127
a210|Chicago|null,124
a330|Washington|null,108
a270|Boston|null,103
a240|Chicago|null,102
a180|Chicago|null,98
a150|Madrid|null,98
a210|Auckland|null,93
a210|Eindhoven|null,91
a360|London|null,85
a210|Barcelona|null,82
a210|Helsinki|null,80
a330|Amsterdam|null,78
a210|Gold Coast|null,78
a150|Rotterdam|null,76
a240|Dubai|null,74
a270|Chicago|null,74
a240|Helsinki|null,72
a180|Washington|null,70
a240|Auckland|null,68
a150|Oslo|null,68
a180|Barcelona|null,68
a300|Rotterdam|null,66
a240|Gold Coast|null,64
a180|Eindhoven|null,63
a240|Barcelona|null,63
a300|Chicago|null,63
a240|Eindhoven|null,62
a300|Boston|null,61
a240|Austin|null,58
a390|London|null,56
a360|Washington|null,56
a360|Berlin|null,56
a210|Dubai|null,55
a330|Copenhagen|null,55
a210|Austin|null,55
a270|Helsinki|null,55
a270|Dubai|null,53
a300|Oslo|null,51
a330|Madrid|null,50
a180|Gold Coast|null,50
a270|Austin|null,49
a300|Dubai|null,48
a330|Boston|null,44
a300|Austin|null,43
a270|Gold Coast|null,40
a150|Chicago|null,40
a180|Auckland|null,37
a330|Austin|null,34
a270|Eindhoven|null,33
a150|Eindhoven|null,33
a330|Chicago|null,32
a150|Hamburg|null,31
a180|Dubai|null,29
a270|Barcelona|null,28
a180|Helsinki|null,28
a330|Dubai|null,26
a270|Auckland|null,26
a120|Berlin|null,25
a300|Helsinki|null,24
a150|Gold Coast|null,24
a360|Austin|null,22
a150|Barcelona|null,22
a180|Austin|null,22
a360|Amsterdam|null,21
a420|London|null,19
a360|Chicago|null,19
a330|Gold Coast|null,19
a120|London|null,15
a390|Washington|null,15
a330|Auckland|null,14
a300|Auckland|null,14
a330|Rotterdam|null,14
a120|Amsterdam|null,13
a360|Copenhagen|null,13
a300|Gold Coast|null,13
a150|Auckland|null,13
a360|Auckland|null,12
a390|Chicago|null,11
a120|Boston|null,11
a330|Helsinki|null,10
a300|Barcelona|null,10
a150|Washington|null,10
a390|Berlin|null,9
a300|Eindhoven|null,9
a360|Boston|null,8
a330|Barcelona|null,8
a330|Oslo|null,8
a390|Amsterdam|null,7
a360|Dubai|null,7
a150|Helsinki|null,7
a120|Rotterdam|null,7
a390|Austin|null,6
a420|Chicago|null,6
a360|Gold Coast|null,6
a120|Copenhagen|null,6
a390|Auckland|null,6
a450|London|null,5
a420|Amsterdam|null,5
a360|Madrid|null,4
a120|Dubai|null,4
a150|Dubai|null,4
a120|Hamburg|null,4
a420|Washington|null,4
a480|Amsterdam|null,4
a450|Chicago|null,3
a120|Chicago|null,3
a120|Eindhoven|null,3
a450|Amsterdam|null,3
a150|Austin|null,3
a120|Madrid|null,2
a1050|Amsterdam|null,2
a120|Barcelona|null,2
a120|Gold Coast|null,2
a420|Austin|null,2
a360|Helsinki|null,2
a120|Oslo|null,1
a120|Auckland|null,1
a120|Helsinki|null,1
a360|Barcelona|null,1
a30|Boston|null,1
a330|Eindhoven|null,1
a390|Copenhagen|null,1
a360|Rotterdam|null,1
a450|Berlin|null,1
a510|Amsterdam|null,1
a510|Chicago|null,1
a540|Amsterdam|null,1
a750|Amsterdam|null,1
a870|Amsterdam|null,1
