cohort_key,n
a210|Berlin|null|M,1099
a210|Amsterdam|null|M,999
a210|Madrid|null|M,826
a180|Berlin|null|M,805
a240|Berlin|null|M,801
a210|Copenhagen|null|M,724
a240|Madrid|null|M,649
a240|Amsterdam|null|M,633
a180|Amsterdam|null|M,598
a180|Madrid|null|M,508
a270|Berlin|null|M,494
a180|Copenhagen|null|M,485
a240|Copenhagen|null|M,474
a240|Berlin|null|F,413
a270|Madrid|null|M,366
a210|Berlin|null|F,316
a270|Berlin|null|F,316
a210|Oslo|null|M,312
a210|Rotterdam|null|M,296
a270|Amsterdam|null|M,296
a150|Berlin|null|M,290
a240|Amsterdam|null|F,281
a180|Boston|null|M,265
a210|London|null|M,264
a270|Copenhagen|null|M,252
a240|Copenhagen|null|F,229
a210|Amsterdam|null|F,226
a300|Berlin|null|M,215
a150|Amsterdam|null|M,213
a210|Boston|null|F,212
a240|London|null|M,211
a210|Copenhagen|null|F,208
a240|Rotterdam|null|M,204
a270|Amsterdam|null|F,202
a150|Boston|null|M,197
a240|Washington|null|M,192
a180|Oslo|null|M,192
a180|Rotterdam|null|M,190
a210|Boston|null|M,170
a180|London|null|M,170
a180|Boston|null|F,166
a270|Copenhagen|null|F,165
a240|Oslo|null|M,165
a270|London|null|F,162
a150|London|null|M,158
a270|Washington|null|M,157
a240|London|null|F,154
a300|Berlin|null|F,153
a210|Washington|null|M,150
a270|London|null|M,150
a210|Hamburg|null|M,136
a150|Copenhagen|null|M,133
a300|Amsterdam|null|M,128
a300|Madrid|null|M,125
a270|Washington|null|F,124
a180|Hamburg|null|M,123
a210|London|null|F,122
a240|Boston|null|F,116
a300|London|null|F,112
a270|Madrid|null|F,106
a240|Washington|null|F,103
a300|London|null|M,102
a240|Rotterdam|null|F,101
a240|Madrid|null|F,100
a300|Washington|null|M,99
a150|Madrid|null|M,97
a270|Oslo|null|M,96
a330|London|null|F,96
a180|Berlin|null|F,95
a210|Oslo|null|F,92
a270|Rotterdam|null|M,91
a300|Washington|null|F,88
a240|Boston|null|M,83
a240|Oslo|null|F,83
a210|Eindhoven|null|M,80
a300|Amsterdam|null|F,80
a330|Berlin|null|M,79
a330|Berlin|null|F,78
a330|London|null|M,74
a210|Washington|null|F,74
a180|Chicago|null|M,73
a150|Rotterdam|null|M,72
a210|Madrid|null|F,72
a180|London|null|F,71
a210|Auckland|null|M,70
a300|Copenhagen|null|F,70
a300|Copenhagen|null|M,68
a210|Helsinki|null|M,66
a210|Chicago|null|M,66
a210|Rotterdam|null|F,64
a210|Barcelona|null|M,63
a150|Oslo|null|M,63
a330|Washington|null|F,59
a210|Chicago|null|F,58
a180|Washington|null|M,58
a180|Barcelona|null|M,57
a240|Chicago|null|F,57
a270|Rotterdam|null|F,57
a180|Amsterdam|null|F,56
a240|Dubai|null|M,54
a270|Boston|null|F,53
a240|Helsinki|null|M,53
a360|London|null|F,53
a240|Auckland|null|M,52
a180|Eindhoven|null|M,52
a330|Amsterdam|null|M,51
a210|Gold Coast|null|M,51
a180|Copenhagen|null|F,50
a270|Boston|null|M,50
a330|Washington|null|M,49
a240|Eindhoven|null|M,45
a240|Chicago|null|M,45
a210|Dubai|null|M,44
a210|Austin|null|M,42
a240|Barcelona|null|M,42
a270|Chicago|null|M,42
a240|Gold Coast|null|M,41
a390|London|null|F,40
a270|Oslo|null|F,40
a300|Rotterdam|null|M,38
a300|Chicago|null|F,38
a300|Madrid|null|F,38
a180|Gold Coast|null|M,37
a240|Austin|null|M,36
a330|Copenhagen|null|M,36
a330|Madrid|null|M,36
a300|Dubai|null|M,35
a270|Dubai|null|M,35
a150|Chicago|null|M,35
a180|Auckland|null|M,33
a270|Helsinki|null|M,33
a360|London|null|M,32
a360|Berlin|null|M,32
a300|Boston|null|F,32
a270|Chicago|null|F,32
a300|Oslo|null|M,31
a150|Hamburg|null|M,31
a360|Washington|null|F,30
a180|Oslo|null|F,30
a300|Boston|null|M,29
a150|Eindhoven|null|M,29
a270|Austin|null|M,29
a300|Rotterdam|null|F,28
a330|Boston|null|F,28
a210|Gold Coast|null|F,27
a180|Helsinki|null|M,27
a330|Amsterdam|null|F,27
a360|Washington|null|M,26
a180|Dubai|null|M,25
a300|Chicago|null|M,25
a180|Chicago|null|F,25
a120|Berlin|null|M,24
a330|Chicago|null|F,24
a360|Berlin|null|F,24
a300|Austin|null|M,24
a210|Auckland|null|F,23
a240|Gold Coast|null|F,23
a270|Helsinki|null|F,22
a240|Austin|null|F,22
a270|Gold Coast|null|M,22
a150|Barcelona|null|M,22
a150|Gold Coast|null|M,22
a240|Barcelona|null|F,21
a180|Madrid|null|F,21
a270|Austin|null|F,20
a240|Dubai|null|F,20
a270|Eindhoven|null|M,20
a300|Oslo|null|F,20
a180|Rotterdam|null|F,20
a180|Austin|null|M,20
a270|Barcelona|null|M,19
a240|Helsinki|null|F,19
a300|Austin|null|F,19
a330|Copenhagen|null|F,19
a210|Barcelona|null|F,19
a270|Gold Coast|null|F,18
a330|Dubai|null|M,18
a150|Berlin|null|F,18
a270|Dubai|null|F,18
a150|Boston|null|F,17
a330|Austin|null|M,17
a300|Helsinki|null|M,17
a240|Eindhoven|null|F,17
a330|Austin|null|F,17
a330|Boston|null|M,16
a240|Auckland|null|F,16
a390|London|null|M,16
a270|Auckland|null|M,15
a120|London|null|M,15
a420|London|null|F,15
a150|London|null|F,14
a330|Madrid|null|F,14
a210|Helsinki|null|F,14
a120|Amsterdam|null|M,13
a180|Gold Coast|null|F,13
a300|Dubai|null|F,13
a150|Auckland|null|M,13
a360|Amsterdam|null|M,13
a270|Eindhoven|null|F,13
a210|Austin|null|F,13
a360|Austin|null|M,12
a180|Washington|null|F,12
a330|Gold Coast|null|M,11
a120|Boston|null|M,11
a270|Auckland|null|F,11
a210|Dubai|null|F,11
a210|Eindhoven|null|F,11
a180|Eindhoven|null|F,11
a180|Barcelona|null|F,11
a360|Chicago|null|F,11
