row_index,query_ability_band,query_course,query_weather_band,query_sex,stage,n,cohort_key,weather_matched,sex_matched,ability_widen
10214,a180,Boston,,M,exact,263,a180|Boston|null|M,True,True,0
11372,a180,Boston,,M,exact,263,a180|Boston|null|M,True,True,0
1890,a210,Amsterdam,,M,exact,998,a210|Amsterdam|null|M,True,True,0
19180,a270,Madrid,,F,exact,105,a270|Madrid|null|F,True,True,0
3851,a240,Amsterdam,,M,exact,400,a240|Amsterdam|null|M,True,True,0
13804,a240,Copenhagen,,M,exact,451,a240|Copenhagen|null|M,True,True,0
5747,a270,Berlin,,F,exact,315,a270|Berlin|null|F,True,True,0
14595,a150,Copenhagen,,M,exact,129,a150|Copenhagen|null|M,True,True,0
16580,a300,London,,F,exact,108,a300|London|null|F,True,True,0
23400,a270,Rotterdam,,F,exact,41,a270|Rotterdam|null|F,True,True,0
12728,a270,Copenhagen,,F,exact,157,a270|Copenhagen|null|F,True,True,0
1160,a240,Amsterdam,,M,exact,400,a240|Amsterdam|null|M,True,True,0
24394,a210,Washington,,M,exact,149,a210|Washington|null|M,True,True,0
1554,a180,Amsterdam,,M,exact,597,a180|Amsterdam|null|M,True,True,0
1162,a300,Amsterdam,,F,exact,79,a300|Amsterdam|null|F,True,True,0
21196,a300,Madrid,,M,widen_ability_pm1,68,a300±1|Madrid|*,False,False,1
13549,a180,Copenhagen,,M,exact,470,a180|Copenhagen|null|M,True,True,0
14655,a240,Copenhagen,,M,exact,451,a240|Copenhagen|null|M,True,True,0
8423,a210,Berlin,,M,exact,1087,a210|Berlin|null|M,True,True,0
10379,a210,Boston,,F,exact,211,a210|Boston|null|F,True,True,0
16218,a180,Helsinki,,M,widen_ability_pm1,106,a180±1|Helsinki|*,False,False,1
7079,a180,Berlin,,M,exact,795,a180|Berlin|null|M,True,True,0
20864,a210,Madrid,,M,exact,134,a210|Madrid|null|M,True,True,0
7842,a270,Berlin,,F,exact,315,a270|Berlin|null|F,True,True,0
11354,a330,Boston,,M,drop_sex,43,a330|Boston|*,False,False,0
22911,a210,Rotterdam,,M,exact,210,a210|Rotterdam|null|M,True,True,0
18234,a210,London,,F,exact,120,a210|London|null|F,True,True,0
9038,a270,Berlin,,F,exact,315,a270|Berlin|null|F,True,True,0
24355,a270,Washington,,M,exact,156,a270|Washington|null|M,True,True,0
7884,a240,Berlin,,F,exact,407,a240|Berlin|null|F,True,True,0
20896,a120,Madrid,,F,widen_ability_pm1,99,a120±1|Madrid|*,False,False,1
1366,a210,Amsterdam,,M,exact,623,a210|Amsterdam|null|M,True,True,0
6278,a180,Berlin,,M,exact,795,a180|Berlin|null|M,True,True,0
11648,a390,Chicago,,F,widen_ability_pm1,35,a390±1|Chicago|*,False,False,1
5503,a210,Berlin,,M,exact,1087,a210|Berlin|null|M,True,True,0
17308,a300,London,,F,exact,108,a300|London|null|F,True,True,0
8765,a180,Berlin,,M,exact,795,a180|Berlin|null|M,True,True,0
22485,a210,Oslo,,M,exact,306,a210|Oslo|null|M,True,True,0
16430,a210,London,,M,exact,257,a210|London|null|M,True,True,0
23653,a240,Rotterdam,,M,exact,134,a240|Rotterdam|null|M,True,True,0
