ability_band,sex,ability_lo_min,n,finish_p10_min,finish_p50_min,finish_p90_min,mean_positive_split,mean_split_ratio,htw_rate,mean_severity,severity_none_rate,severity_mild_rate,severity_moderate_rate,severity_severe_rate,pace_first_half_p10,pace_first_half_p25,pace_first_half_p50,pace_first_half_p75,pace_first_half_p90,base_pace_p10,base_pace_p25,base_pace_p50,base_pace_p75,base_pace_p90,recommended_first_half_lo,recommended_first_half_hi,recommended_base_pace_lo,recommended_base_pace_hi
a90,M,90,32,93.21833038330078,101.11666870117188,222.19667053222656,0.0395626425743103,1.039562702178955,0.0625,0.047505732625722885,0.875,0.09375,0.03125,0.0,2.18233323097229,2.196666717529297,2.392916679382324,3.163749933242798,4.921833515167236,2.18233323097229,2.184166669845581,2.3516666889190674,3.169722080230713,4.932333469390869,2.196666717529297,3.163749933242798,2.184166669845581,3.169722080230713
a120,F,120,746,139.70834350585938,145.10833740234375,149.35000610351562,0.02885441854596138,1.0288543701171875,0.006702412868632708,0.034954946488142014,0.9638069705093834,0.03351206434316354,0.0013404825737265416,0.0013404825737265416,3.263333320617676,3.322499990463257,3.3916666507720947,3.450000047683716,3.505000114440918,3.258333206176758,3.3188889026641846,3.386666774749756,3.451111078262329,3.4977777004241943,3.322499990463257,3.450000047683716,3.3188889026641846,3.451111078262329
a120,M,120,10193,130.61666870117188,145.68333435058594,152.69667053222656,0.03947848826646805,1.0394785404205322,0.04012557637594428,0.04177066311240196,0.9101344059648778,0.08142843127636613,0.00657313842833317,0.0018640243304228392,3.0216667652130127,3.2041666507720947,3.3908333778381348,3.490000009536743,3.551666736602783,3.021111011505127,3.207777738571167,3.3933334350585938,3.4911110401153564,3.55222225189209,3.2041666507720947,3.490000009536743,3.207777738571167,3.4911110401153564
a150,F,150,8795,161.57333374023438,175.93333435058594,186.39999389648438,0.03613883629441261,1.036138892173767,0.030585559977259806,0.039466943591833115,0.9163160886867538,0.07663445139283684,0.0053439454235361,0.0017055144968732233,3.744999885559082,3.944166660308838,4.104166507720947,4.208333492279053,4.307499885559082,3.753333330154419,3.9488887786865234,4.1077775955200195,4.208889007568359,4.30222225189209,3.944166660308838,4.208333492279053,3.9488887786865234,4.208889007568359
a150,M,150,142608,159.26666259765625,173.96665954589844,184.5500030517578,0.045425545424222946,1.0454254150390625,0.06989790194098508,0.04983583092689514,0.8637664086166273,0.12016156176371592,0.012769269606193201,0.0033027600134634804,3.691666603088379,3.8533332347869873,4.025000095367432,4.178333282470703,4.260833263397217,3.693333387374878,3.8511111736297607,4.021111011505127,4.173333168029785,4.257777690887451,3.8533332347869873,4.178333282470703,3.8511111736297607,4.173333168029785
a180,F,180,61531,188.0,202.01666259765625,211.93333435058594,0.0459677018225193,1.045967698097229,0.04521298207407648,0.05025463178753853,0.864604833336042,0.12700914985942047,0.006484536250020315,0.0019014805545172352,4.331666469573975,4.499166488647461,4.679999828338623,4.839166641235352,4.964166641235352,4.334444522857666,4.501111030578613,4.6777777671813965,4.833333492279053,4.960000038146973,4.499166488647461,4.839166641235352,4.501111030578613,4.833333492279053
a180,M,180,326818,185.75,200.3333282470703,213.0,0.06925838440656662,1.0692583322525024,0.15792887784638546,0.07554707676172256,0.726462434749616,0.23920347104504647,0.02928541267616839,0.00504868152916914,4.231666564941406,4.369999885559082,4.590000152587891,4.800000190734863,4.955833435058594,4.22777795791626,4.363333225250244,4.577777862548828,4.7833333015441895,4.9422221183776855,4.369999885559082,4.800000190734863,4.363333225250244,4.7833333015441895
a210,F,210,153212,215.11666870117188,229.6999969482422,239.6999969482422,0.05727364495396614,1.0572736263275146,0.0783424274860977,0.06250777095556259,0.7931167271493095,0.19259588021825966,0.012211837192909171,0.0020755554395217083,4.93583345413208,5.083333492279053,5.291666507720947,5.486666679382324,5.640833377838135,4.936666488647461,5.082221984863281,5.2866668701171875,5.47777795791626,5.628889083862305,5.083333492279053,5.486666679382324,5.082221984863281,5.47777795791626
a210,M,210,476153,214.35000610351562,228.68333435058594,239.86666870117188,0.0880032405257225,1.0880032777786255,0.2420167467179667,0.09562713652849197,0.6260823726827301,0.31189974651005037,0.05216810562991307,0.009849775177306454,4.829166889190674,4.980833530426025,5.198333263397217,5.423333168029785,5.610000133514404,4.815555572509766,4.9666666984558105,5.1777777671813965,5.402222156524658,5.587777614593506,4.980833530426025,5.423333168029785,4.9666666984558105,5.402222156524658
a240,F,240,183032,243.63333129882812,257.1499938964844,269.26666259765625,0.08363199979066849,1.083631992340088,0.15600550723370776,0.08755684643983841,0.6438764806154115,0.32568621880326937,0.02707176887101709,0.0033655317103020235,5.505000114440918,5.65500020980835,5.8416666984558105,6.057499885559082,6.262499809265137,5.5088887214660645,5.6533331871032715,5.837777614593506,6.05222225189209,6.256666660308838,5.65500020980835,6.057499885559082,5.6533331871032715,6.05222225189209
