city,slug,is_major,n_finish,n_rows,n_cum20_bins,sparse_note,years_min,years_max,n_years,file
Berlin,berlin,True,641452,641456,29,,2005,2025,18,berlin.json
Boston,boston,True,134149,134149,24,,2022,2026,5,boston.json
Chicago,chicago,True,105560,105560,30,,2024,2025,2,chicago.json
London,london,True,326712,326712,30,,2016,2026,10,london.json
New York,new_york,True,288389,288389,29,,2019,2025,6,new_york.json
Tokyo,tokyo,True,353,353,3,thin_course,2026,2026,1,tokyo.json
Amsterdam,amsterdam,False,155471,171489,24,,2012,2025,14,amsterdam.json
Athens,athens,False,107602,107602,0,no_cum20_splits,2013,2022,9,athens.json
Barcelona,barcelona,False,60308,61869,24,,2019,2026,3,barcelona.json
Copenhagen,copenhagen,False,105384,105384,22,,2014,2025,10,copenhagen.json
Honolulu,honolulu,False,99416,99416,0,no_cum20_splits,2016,2025,6,honolulu.json
Madrid,madrid,False,118317,120066,22,,2013,2026,13,madrid.json
Mexico City,mexico_city,False,64968,64968,0,no_cum20_splits,2024,2026,3,mexico_city.json
Paris,paris,False,227445,227445,29,,2016,2024,5,paris.json
Rotterdam,rotterdam,False,149461,149461,21,,2012,2024,12,rotterdam.json
Valencia,valencia,False,99724,99753,20,,2014,2024,5,valencia.json
Washington,washington,False,246521,246521,28,,2008,2023,12,washington.json
