city,slug,is_major,cum20_lo,cum20_hi,cum20_label,edge,n,sparse,finish_p10,finish_p25,finish_p50,finish_p75,finish_p90
Berlin,berlin,True,,60.0,<60,below,130,False,123.53166666666667,125.60416666666666,127.35,129.55833333333334,134.115
Berlin,berlin,True,60.0,65.0,60-65,closed,460,False,130.62166666666667,132.95,135.58333333333334,139.1125,142.81833333333333
Berlin,berlin,True,65.0,70.0,65-70,closed,1419,False,140.61333333333334,143.96666666666667,146.95,150.30833333333334,155.55333333333334
Berlin,berlin,True,70.0,75.0,70-75,closed,4490,False,151.38333333333333,154.36666666666667,157.58333333333334,161.56666666666666,167.11833333333334
Berlin,berlin,True,75.0,80.0,75-80,closed,10343,False,161.51666666666668,164.56666666666666,168.18333333333334,172.46666666666667,177.73333333333332
Berlin,berlin,True,80.0,85.0,80-85,closed,24354,False,173.1,176.26666666666668,179.23333333333332,185.15,192.31666666666666
Berlin,berlin,True,85.0,90.0,85-90,closed,27636,False,182.65,186.71666666666667,191.18333333333334,197.16666666666666,204.74166666666667
Berlin,berlin,True,90.0,95.0,90-95,closed,38867,False,193.46666666666667,196.85,201.51666666666668,207.69166666666666,216.01666666666668
Berlin,berlin,True,95.0,100.0,95-100,closed,59704,False,204.28333333333333,207.71666666666667,212.26666666666668,219.46666666666667,228.23333333333332
Berlin,berlin,True,100.0,105.0,100-105,closed,58535,False,214.23333333333332,218.58333333333334,224.16666666666666,231.73333333333332,240.65
Berlin,berlin,True,105.0,110.0,105-110,closed,71513,False,225.0,229.28333333333333,235.01666666666668,242.8,254.75
Berlin,berlin,True,110.0,115.0,110-115,closed,83034,False,235.43333333333334,239.0,246.38333333333333,256.3666666666667,267.9
Berlin,berlin,True,115.0,120.0,115-120,closed,58264,False,246.2,252.11666666666667,259.8666666666667,269.96666666666664,282.0833333333333
Berlin,berlin,True,120.0,125.0,120-125,closed,47423,False,257.21666666666664,263.1166666666667,270.8833333333333,282.23333333333335,294.73333333333335
Berlin,berlin,True,125.0,130.0,125-130,closed,42196,False,267.3666666666667,273.25,282.3,293.73333333333335,305.98333333333335
Berlin,berlin,True,130.0,135.0,130-135,closed,33079,False,278.01666666666665,284.7,293.7,305.76666666666665,319.1333333333333
Berlin,berlin,True,135.0,140.0,135-140,closed,25840,False,288.85,295.55,305.4916666666667,318.40416666666664,331.1666666666667
Berlin,berlin,True,140.0,145.0,140-145,closed,18619,False,298.93333333333334,307.55833333333334,319.03333333333336,331.56666666666666,343.51666666666665
Berlin,berlin,True,145.0,150.0,145-150,closed,11921,False,311.6333333333333,320.7,331.81666666666666,343.7,354.55
Berlin,berlin,True,150.0,155.0,150-155,closed,8036,False,324.1333333333333,333.3,343.56666666666666,354.5833333333333,364.625
Berlin,berlin,True,155.0,160.0,155-160,closed,5489,False,335.28000000000003,344.3,354.23333333333335,363.96666666666664,373.8233333333333
Berlin,berlin,True,160.0,165.0,160-165,closed,3594,False,345.965,354.6333333333333,364.075,373.78333333333336,383.86833333333334
Berlin,berlin,True,165.0,170.0,165-170,closed,2385,False,355.68333333333334,363.4,372.76666666666665,382.51666666666665,392.67
Berlin,berlin,True,170.0,175.0,170-175,closed,1552,False,365.3433333333333,373.37916666666666,382.3666666666667,390.96666666666664,400.67833333333334
Berlin,berlin,True,175.0,180.0,175-180,closed,881,False,374.3666666666667,382.23333333333335,390.23333333333335,398.5,408.9166666666667
