city,year,race_date,timezone,local_time,is_race_morning_hour,temperature_2m,apparent_temperature,relative_humidity_2m,dewpoint_2m,precipitation,weathercode,cloudcover,pressure_msl,windspeed_10m,winddirection_10m
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T00:00,false,12.9,11.4,79,9.4,0.0,3,85,1021.3,2.65,238
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T01:00,false,12.7,11.1,80,9.4,0.0,3,84,1021.2,2.69,235
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T02:00,false,12.5,10.8,81,9.4,0.0,3,82,1021.1,2.75,233
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T03:00,false,12.3,10.6,82,9.3,0.0,3,80,1021.0,2.77,231
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T04:00,false,12.1,10.4,83,9.3,0.0,2,79,1021.0,2.8,230
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T05:00,false,11.9,10.2,84,9.3,0.0,2,77,1020.9,2.8,229
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T06:00,false,11.9,10.2,84,9.2,0.0,2,76,1020.8,2.83,228
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T07:00,false,12.1,10.3,83,9.2,0.0,2,76,1020.7,2.87,229
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T08:00,false,12.5,10.7,81,9.3,0.0,2,77,1020.6,2.98,229
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T09:00,false,13.4,11.5,77,9.4,0.0,2,79,1020.4,3.16,231
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T10:00,false,14.6,12.7,72,9.6,0.0,3,83,1020.1,3.36,233
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T11:00,false,16.1,14.1,66,9.8,0.0,3,88,1019.9,3.63,236
Berlin,2026,2026-09-27,Europe/Berlin,2026-09-21T12:00,false,19.0,16.6,53,8.6,0.0,3,70,1020.2,4.06,231
