city,is_major,n_features,n_valid_splits,n_live_gap_covered,live_gap_coverage_rate,course_segments_elev,mean_positive_split,mean_live_gap_positive_split,mean_split_ratio,mean_live_gap_split_ratio,n_positive_split,n_live_gap_positive_split,delta_mean_split_live_gap_minus_obs
Berlin,True,641456,627258,627258,1.0,True,0.099283,0.025381,1.099283,1.025381,627258,627258,-0.073902
London,True,326712,273400,273400,1.0,True,0.137386,0.05811,1.137386,1.05811,273400,273400,-0.079277
New York,True,288389,284604,284604,1.0,True,0.14361,0.063547,1.14361,1.063547,284604,284604,-0.080063
Washington,False,246521,213998,213998,1.0,True,0.153428,0.074883,1.153428,1.074883,213998,213998,-0.078545
Paris,False,227445,100040,100040,1.0,True,0.119033,0.044475,1.119033,1.044475,100040,100040,-0.074558
Amsterdam,False,171489,152914,152914,1.0,True,0.094268,0.019797,1.094268,1.019797,152914,152914,-0.074471
Rotterdam,False,149461,139977,139977,1.0,True,0.114264,0.037793,1.114264,1.037793,139977,139977,-0.076471
Boston,True,134149,133508,133508,1.0,True,0.100023,0.021523,1.100023,1.021523,133508,133508,-0.0785
Madrid,False,120066,103812,103812,1.0,True,0.095437,0.020195,1.095437,1.020195,103812,103812,-0.075243
Athens,False,107602,0,0,0.0,True,,,,,0,0,
Chicago,True,105560,101853,101853,1.0,True,0.112854,0.037673,1.112854,1.037673,101853,101853,-0.075181
Copenhagen,False,105384,104194,104194,1.0,True,0.110927,0.035997,1.110927,1.035997,104194,104194,-0.07493
Valencia,False,99753,70677,70677,1.0,True,0.07337,0.000376,1.07337,1.000376,70677,70677,-0.072994
Honolulu,False,99416,0,0,0.0,True,,,,,0,0,
Mexico City,False,64968,0,0,0.0,True,,,,,0,0,
Barcelona,False,61869,52756,52756,1.0,True,0.06175,-0.009834,1.06175,0.990166,52756,52756,-0.071585
Gold Coast,False,40370,31632,31632,1.0,True,0.140532,0.063785,1.140532,1.063785,31632,31632,-0.076746
Cologne,False,30057,0,0,0.0,True,,,,,0,0,
Eindhoven,False,28497,24747,24747,1.0,True,0.093577,0.020224,1.093577,1.020224,24747,24747,-0.073353
Warsaw,False,23919,23153,23153,1.0,True,0.095352,0.020399,1.095352,1.020399,23153,23153,-0.074953
Prague,False,12724,12670,12670,1.0,True,0.091457,0.016163,1.091457,1.016163,12670,12670,-0.075294
Frankfurt,False,12513,0,0,0.0,True,,,,,0,0,
Helsinki,False,12188,7851,7851,1.0,True,0.111357,0.035709,1.111357,1.035709,7851,7851,-0.075648
Stockholm,False,9931,9924,9924,1.0,True,0.075779,0.001395,1.075779,1.001395,9924,9924,-0.074383
Singapore,False,8933,8882,8882,1.0,True,0.165052,0.084976,1.165052,1.084976,8882,8882,-0.080076
Oslo,False,8691,8432,8432,1.0,True,0.104,0.030676,1.104,1.030676,8432,8432,-0.073324
Sydney,False,8432,7073,7073,1.0,True,0.139576,0.058669,1.139576,1.058669,7073,7073,-0.080907
Austin,False,7809,7625,7625,1.0,True,0.146683,0.071407,1.146683,1.071407,7625,7625,-0.075276
Dubai,False,5703,5356,5356,1.0,True,0.174191,0.095604,1.174191,1.095604,5356,5356,-0.078588
Auckland,False,3753,2435,2435,1.0,True,0.128643,0.05225,1.128643,1.05225,2435,2435,-0.076392
Hamburg,False,3375,3341,3341,1.0,True,0.043988,-0.027968,1.043988,0.972032,3341,3341,-0.071957
Melbourne,False,502,395,0,0.0,False,0.117225,,1.117225,,395,0,
Tokyo,True,353,353,353,1.0,True,0.044645,-0.029356,1.044645,0.970644,353,353,-0.074001
