example_city,profile,target_base_pace_min_per_km,segment,seg_from_km,seg_to_km,avg_grade,mid_km,post20,gap_multiplier_full_model,gap_multiplier_grade_only_ols,recommended_observed_pace_even_effort,curve_version,note
Chicago,flat,5.0,05,0.0,5.0,-0.0006,2.5,0,0.980109,1.059663,4.900547,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,10,5.0,10.0,0.0001,7.5,0,0.994866,1.061739,4.974329,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,15,10.0,15.0,0.0002,12.5,0,1.008675,1.062035,5.043376,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,20,15.0,20.0,-0.0004,17.5,0,1.021379,1.060256,5.106897,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,25,20.0,25.0,0.0003,22.5,1,1.050213,1.062332,5.251065,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,30,25.0,30.0,0.0,27.5,1,1.063391,1.061442,5.316954,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,35,30.0,35.0,0.0,32.5,1,1.077042,1.061442,5.385212,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,40,35.0,40.0,-0.0004,37.5,1,1.090062,1.060256,5.450312,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Chicago,flat,5.0,42,40.0,42.195,0.0009,41.0975,1,1.101937,1.064111,5.509684,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,05,0.0,5.0,-0.0145,2.5,0,0.958166,1.018445,4.79083,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,10,5.0,10.0,-0.0038,7.5,0,0.988709,1.050174,4.943546,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,15,10.0,15.0,-0.0012,12.5,0,1.006465,1.057884,5.032326,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,20,15.0,20.0,0.0008,17.5,0,1.023274,1.063814,5.116369,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,25,20.0,25.0,-0.0013,22.5,1,1.047687,1.057587,5.238436,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,30,25.0,30.0,0.0001,27.5,1,1.063549,1.061739,5.317744,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,35,30.0,35.0,0.0002,32.5,1,1.077358,1.062035,5.38679,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,40,35.0,40.0,-0.0082,37.5,1,1.077749,1.037126,5.388744,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Boston,hilly,5.0,42,40.0,42.195,0.0006,41.0975,1,1.101463,1.063221,5.507316,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,05,0.0,5.0,-0.0001,2.5,0,0.980899,1.061146,4.414044,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,10,5.0,10.0,0.0013,7.5,0,0.99676,1.065297,4.485421,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,15,10.0,15.0,-0.0009,12.5,0,1.006939,1.058773,4.531224,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,20,15.0,20.0,-0.0004,17.5,0,1.021379,1.060256,4.596208,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
Berlin,flat,4.5,25,20.0,25.0,0.0023,22.5,1,1.05337,1.068263,4.740167,v2_27cities,"recommended_observed = base_pace * gap_multiplier(grade,mid_km,post20) from CURRENT gap_curve.json; stored features_v2 gap_pace_* NOT used"
