city,segment,avg_grade,mid_km,post20,gap_multiplier,curve_version
Amsterdam,05,-0.0006,2.5,0,0.980109,v2_27cities
Amsterdam,10,0.0005,7.5,0,0.995497,v2_27cities
Amsterdam,15,0.0001,12.5,0,1.008517,v2_27cities
Amsterdam,20,-0.0013,17.5,0,1.019959,v2_27cities
Amsterdam,25,0.0005,22.5,1,1.050529,v2_27cities
Amsterdam,30,-0.0004,27.5,1,1.062759,v2_27cities
Amsterdam,35,0.0009,32.5,1,1.078463,v2_27cities
Amsterdam,40,-0.0004,37.5,1,1.090062,v2_27cities
Amsterdam,42,0.0004,41.0975,1,1.101148,v2_27cities
Athens,05,-0.0051,2.5,0,0.973005,v2_27cities
Athens,10,0.0019,7.5,0,0.997707,v2_27cities
Athens,15,0.009,12.5,0,1.022567,v2_27cities
Athens,20,0.0005,17.5,0,1.0228,v2_27cities
Athens,25,0.0186,22.5,1,1.079102,v2_27cities
Athens,30,0.0106,27.5,1,1.080125,v2_27cities
Athens,35,-0.0033,32.5,1,1.071833,v2_27cities
Athens,40,-0.0137,37.5,1,1.069066,v2_27cities
Athens,42,-0.0146,41.0975,1,1.077468,v2_27cities
Auckland,05,0.004,2.5,0,0.987371,v2_27cities
Auckland,10,-0.002,7.5,0,0.991551,v2_27cities
Auckland,15,-0.0031,12.5,0,1.003466,v2_27cities
Auckland,20,-0.0003,17.5,0,1.021537,v2_27cities
Auckland,25,-0.0004,22.5,1,1.049108,v2_27cities
Auckland,30,0.0012,27.5,1,1.065285,v2_27cities
Auckland,35,0.0004,32.5,1,1.077674,v2_27cities
Auckland,40,-0.0011,37.5,1,1.088957,v2_27cities
Auckland,42,0.001,41.0975,1,1.102095,v2_27cities
Austin,05,0.0118,2.5,0,0.999685,v2_27cities
Austin,10,-0.0134,7.5,0,0.973554,v2_27cities
Austin,15,0.0045,12.5,0,1.015463,v2_27cities
Austin,20,0.0004,17.5,0,1.022642,v2_27cities
Austin,25,0.0047,22.5,1,1.057159,v2_27cities
Austin,30,0.0,27.5,1,1.063391,v2_27cities
Austin,35,-0.0087,32.5,1,1.063308,v2_27cities
Austin,40,0.0003,37.5,1,1.091167,v2_27cities
Austin,42,0.0087,41.0975,1,1.11425,v2_27cities
Barcelona,05,0.001,2.5,0,0.982635,v2_27cities
Barcelona,10,-0.0038,7.5,0,0.988709,v2_27cities
Barcelona,15,0.0051,12.5,0,1.016411,v2_27cities
Barcelona,20,-0.0033,17.5,0,1.016801,v2_27cities
Barcelona,25,-0.0037,22.5,1,1.043898,v2_27cities
Barcelona,30,-0.001,27.5,1,1.061812,v2_27cities
Barcelona,35,-0.0,32.5,1,1.077042,v2_27cities
Barcelona,40,0.0013,37.5,1,1.092746,v2_27cities
Barcelona,42,0.0045,41.0975,1,1.10762,v2_27cities
Berlin,05,-0.0001,2.5,0,0.980899,v2_27cities
Berlin,10,0.0013,7.5,0,0.99676,v2_27cities
Berlin,15,-0.0009,12.5,0,1.006939,v2_27cities
Berlin,20,-0.0004,17.5,0,1.021379,v2_27cities
Berlin,25,0.0023,22.5,1,1.05337,v2_27cities
Berlin,30,-0.0001,27.5,1,1.063233,v2_27cities
Berlin,35,-0.0016,32.5,1,1.074517,v2_27cities
Berlin,40,0.0006,37.5,1,1.091641,v2_27cities
Berlin,42,-0.0022,41.0975,1,1.097043,v2_27cities
Boston,05,-0.0145,2.5,0,0.958166,v2_27cities
Boston,10,-0.0038,7.5,0,0.988709,v2_27cities
Boston,15,-0.0012,12.5,0,1.006465,v2_27cities
Boston,20,0.0008,17.5,0,1.023274,v2_27cities
Boston,25,-0.0013,22.5,1,1.047687,v2_27cities
Boston,30,0.0001,27.5,1,1.063549,v2_27cities
Boston,35,0.0002,32.5,1,1.077358,v2_27cities
Boston,40,-0.0082,37.5,1,1.077749,v2_27cities
Boston,42,0.0006,41.0975,1,1.101463,v2_27cities
Chicago,05,-0.0006,2.5,0,0.980109,v2_27cities
Chicago,10,0.0001,7.5,0,0.994866,v2_27cities
Chicago,15,0.0002,12.5,0,1.008675,v2_27cities
Chicago,20,-0.0004,17.5,0,1.021379,v2_27cities
Chicago,25,0.0003,22.5,1,1.050213,v2_27cities
Chicago,30,0.0,27.5,1,1.063391,v2_27cities
Chicago,35,0.0,32.5,1,1.077042,v2_27cities
Chicago,40,-0.0004,37.5,1,1.090062,v2_27cities
Chicago,42,0.0009,41.0975,1,1.101937,v2_27cities
