scope,segment,seg_from_km,mid_km,dist_km,n_pace,n_live_gap_pace,mean_pace,mean_live_gap_pace,mean_pace_minus_live_gap,mean_live_gap_over_pace,gap_source
MAJORS,05,0.0,2.5,5.0,1420976,1420976,5.62667,5.762948,-0.136278,1.02422,live_v2_curve_x_course_segments
MAJORS,10,5.0,7.5,5.0,1420976,1420976,5.696175,5.730262,-0.034087,1.005984,live_v2_curve_x_course_segments
MAJORS,15,10.0,12.5,5.0,1420976,1420976,5.753932,5.712313,0.041618,0.992767,live_v2_curve_x_course_segments
MAJORS,20,15.0,17.5,5.0,1420976,1420976,5.889104,5.765537,0.123567,0.979018,live_v2_curve_x_course_segments
MAJORS,25,20.0,22.5,5.0,1420976,1420976,6.128042,5.832779,0.295263,0.951818,live_v2_curve_x_course_segments
MAJORS,30,25.0,27.5,5.0,1420976,1420976,6.31494,5.933174,0.381766,0.939546,live_v2_curve_x_course_segments
MAJORS,35,30.0,32.5,5.0,1420976,1420976,6.563692,6.101273,0.462418,0.929549,live_v2_curve_x_course_segments
MAJORS,40,35.0,37.5,5.0,1420976,1420976,6.734387,6.174351,0.560036,0.916839,live_v2_curve_x_course_segments
MAJORS,42,40.0,41.0975,2.195,1420976,1420976,6.439567,5.857456,0.58211,0.909604,live_v2_curve_x_course_segments
Berlin,05,0.0,2.5,5.0,627258,627258,5.559315,5.667573,-0.108258,1.019473,live_v2_curve_x_course_segments
Berlin,10,5.0,7.5,5.0,627258,627258,5.628909,5.647205,-0.018295,1.00325,live_v2_curve_x_course_segments
Berlin,15,10.0,12.5,5.0,627258,627258,5.617758,5.579047,0.038711,0.993109,live_v2_curve_x_course_segments
Berlin,20,15.0,17.5,5.0,627258,627258,5.717645,5.597963,0.119682,0.979068,live_v2_curve_x_course_segments
Berlin,25,20.0,22.5,5.0,627258,627258,5.898161,5.599323,0.298838,0.949334,live_v2_curve_x_course_segments
Berlin,30,25.0,27.5,5.0,627258,627258,6.117943,5.754094,0.363849,0.940528,live_v2_curve_x_course_segments
Berlin,35,30.0,32.5,5.0,627258,627258,6.240186,5.807436,0.43275,0.930651,live_v2_curve_x_course_segments
Berlin,40,35.0,37.5,5.0,627258,627258,6.54964,5.999811,0.549829,0.916052,live_v2_curve_x_course_segments
Berlin,42,40.0,41.0975,2.195,627258,627258,6.235802,5.684191,0.551611,0.911541,live_v2_curve_x_course_segments
