city,is_major,n_valid_splits,n_obs_positive_split,n_live_gap_positive_split,mean_positive_split,mean_live_gap_positive_split,mean_split_ratio,mean_live_gap_split_ratio,delta_live_gap_minus_obs,gap_source,interpretation
Berlin,True,627258,627258,627258,0.099283,0.025381,1.099283,1.025381,-0.073902,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
London,True,273400,273400,273400,0.137386,0.05811,1.137386,1.05811,-0.079277,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
New York,True,284604,284604,284604,0.14361,0.063547,1.14361,1.063547,-0.080063,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Washington,False,213998,213998,213998,0.153428,0.074883,1.153428,1.074883,-0.078545,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Paris,False,100040,100040,100040,0.119033,0.044475,1.119033,1.044475,-0.074558,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Amsterdam,False,152914,152914,152914,0.094268,0.019797,1.094268,1.019797,-0.074471,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Rotterdam,False,139977,139977,139977,0.114264,0.037793,1.114264,1.037793,-0.076471,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Boston,True,133508,133508,133508,0.100023,0.021523,1.100023,1.021523,-0.0785,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Madrid,False,103812,103812,103812,0.095437,0.020195,1.095437,1.020195,-0.075243,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Chicago,True,101853,101853,101853,0.112854,0.037673,1.112854,1.037673,-0.075181,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Copenhagen,False,104194,104194,104194,0.110927,0.035997,1.110927,1.035997,-0.07493,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Valencia,False,70677,70677,70677,0.07337,0.000376,1.07337,1.000376,-0.072994,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Barcelona,False,52756,52756,52756,0.06175,-0.009834,1.06175,0.990166,-0.071585,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Gold Coast,False,31632,31632,31632,0.140532,0.063785,1.140532,1.063785,-0.076746,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Eindhoven,False,24747,24747,24747,0.093577,0.020224,1.093577,1.020224,-0.073353,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Warsaw,False,23153,23153,23153,0.095352,0.020399,1.095352,1.020399,-0.074953,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Prague,False,12670,12670,12670,0.091457,0.016163,1.091457,1.016163,-0.075294,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Helsinki,False,7851,7851,7851,0.111357,0.035709,1.111357,1.035709,-0.075648,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Stockholm,False,9924,9924,9924,0.075779,0.001395,1.075779,1.001395,-0.074383,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Singapore,False,8882,8882,8882,0.165052,0.084976,1.165052,1.084976,-0.080076,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Oslo,False,8432,8432,8432,0.104,0.030676,1.104,1.030676,-0.073324,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Sydney,False,7073,7073,7073,0.139576,0.058669,1.139576,1.058669,-0.080907,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Austin,False,7625,7625,7625,0.146683,0.071407,1.146683,1.071407,-0.075276,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Dubai,False,5356,5356,5356,0.174191,0.095604,1.174191,1.095604,-0.078588,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Auckland,False,2435,2435,2435,0.128643,0.05225,1.128643,1.05225,-0.076392,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Hamburg,False,3341,3341,3341,0.043988,-0.027968,1.043988,0.972032,-0.071957,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
Tokyo,True,353,353,353,0.044645,-0.029356,1.044645,0.970644,-0.074001,live_v2_curve_x_course_segments,live_gap_positive_split uses DW(pace/mult) first/second half; lower than positive_split ⇒ hills explain some of the observed fade
