scope,segment,seg_from_km,mid_km,dist_km,n_pace,n_live_gap_pace,mean_pace,mean_live_gap_pace,mean_pace_minus_live_gap,mean_live_gap_over_pace,gap_source
ALL,05,0.0,2.5,5.0,2512860,2512465,5.654166,5.766679,-0.112513,1.019899,live_v2_curve_x_course_segments
ALL,10,5.0,7.5,5.0,2512860,2512465,5.616987,5.660917,-0.04393,1.007821,live_v2_curve_x_course_segments
ALL,15,10.0,12.5,5.0,2512860,2512465,5.680655,5.637334,0.043321,0.992374,live_v2_curve_x_course_segments
ALL,20,15.0,17.5,5.0,2512860,2512465,5.789526,5.670135,0.119391,0.979378,live_v2_curve_x_course_segments
ALL,25,20.0,22.5,5.0,2512860,2512465,5.987263,5.704462,0.282802,0.952766,live_v2_curve_x_course_segments
ALL,30,25.0,27.5,5.0,2512860,2512465,6.217504,5.842662,0.374842,0.939712,live_v2_curve_x_course_segments
ALL,35,30.0,32.5,5.0,2512860,2512465,6.498752,6.040095,0.458657,0.929424,live_v2_curve_x_course_segments
ALL,40,35.0,37.5,5.0,2512860,2512465,6.716517,6.15189,0.564627,0.915934,live_v2_curve_x_course_segments
ALL,42,40.0,41.0975,2.195,2512860,2512465,6.421753,5.837821,0.583932,0.90907,live_v2_curve_x_course_segments
ALL_LIVE_GAP,05,0.0,2.5,5.0,2512465,2512465,5.654166,5.766679,-0.112513,1.019899,live_v2_curve_x_course_segments
ALL_LIVE_GAP,10,5.0,7.5,5.0,2512465,2512465,5.617008,5.660917,-0.04391,1.007817,live_v2_curve_x_course_segments
ALL_LIVE_GAP,15,10.0,12.5,5.0,2512465,2512465,5.680688,5.637334,0.043354,0.992368,live_v2_curve_x_course_segments
ALL_LIVE_GAP,20,15.0,17.5,5.0,2512465,2512465,5.789558,5.670135,0.119423,0.979373,live_v2_curve_x_course_segments
ALL_LIVE_GAP,25,20.0,22.5,5.0,2512465,2512465,5.987296,5.704462,0.282835,0.952761,live_v2_curve_x_course_segments
ALL_LIVE_GAP,30,25.0,27.5,5.0,2512465,2512465,6.217537,5.842662,0.374875,0.939707,live_v2_curve_x_course_segments
ALL_LIVE_GAP,35,30.0,32.5,5.0,2512465,2512465,6.498774,6.040095,0.458679,0.929421,live_v2_curve_x_course_segments
ALL_LIVE_GAP,40,35.0,37.5,5.0,2512465,2512465,6.716516,6.15189,0.564626,0.915935,live_v2_curve_x_course_segments
ALL_LIVE_GAP,42,40.0,41.0975,2.195,2512465,2512465,6.421781,5.837821,0.583959,0.909066,live_v2_curve_x_course_segments
MAJORS,05,0.0,2.5,5.0,1420976,1420976,5.62667,5.762948,-0.136278,1.02422,live_v2_curve_x_course_segments
MAJORS,10,5.0,7.5,5.0,1420976,1420976,5.696175,5.730262,-0.034087,1.005984,live_v2_curve_x_course_segments
MAJORS,15,10.0,12.5,5.0,1420976,1420976,5.753932,5.712313,0.041618,0.992767,live_v2_curve_x_course_segments
MAJORS,20,15.0,17.5,5.0,1420976,1420976,5.889104,5.765537,0.123567,0.979018,live_v2_curve_x_course_segments
MAJORS,25,20.0,22.5,5.0,1420976,1420976,6.128042,5.832779,0.295263,0.951818,live_v2_curve_x_course_segments
MAJORS,30,25.0,27.5,5.0,1420976,1420976,6.31494,5.933174,0.381766,0.939546,live_v2_curve_x_course_segments
MAJORS,35,30.0,32.5,5.0,1420976,1420976,6.563692,6.101273,0.462418,0.929549,live_v2_curve_x_course_segments
MAJORS,40,35.0,37.5,5.0,1420976,1420976,6.734387,6.174351,0.560036,0.916839,live_v2_curve_x_course_segments
MAJORS,42,40.0,41.0975,2.195,1420976,1420976,6.439567,5.857456,0.58211,0.909604,live_v2_curve_x_course_segments
Berlin,05,0.0,2.5,5.0,627258,627258,5.559315,5.667573,-0.108258,1.019473,live_v2_curve_x_course_segments
Berlin,10,5.0,7.5,5.0,627258,627258,5.628909,5.647205,-0.018295,1.00325,live_v2_curve_x_course_segments
Berlin,15,10.0,12.5,5.0,627258,627258,5.617758,5.579047,0.038711,0.993109,live_v2_curve_x_course_segments
Berlin,20,15.0,17.5,5.0,627258,627258,5.717645,5.597963,0.119682,0.979068,live_v2_curve_x_course_segments
Berlin,25,20.0,22.5,5.0,627258,627258,5.898161,5.599323,0.298838,0.949334,live_v2_curve_x_course_segments
Berlin,30,25.0,27.5,5.0,627258,627258,6.117943,5.754094,0.363849,0.940528,live_v2_curve_x_course_segments
Berlin,35,30.0,32.5,5.0,627258,627258,6.240186,5.807436,0.43275,0.930651,live_v2_curve_x_course_segments
Berlin,40,35.0,37.5,5.0,627258,627258,6.54964,5.999811,0.549829,0.916052,live_v2_curve_x_course_segments
Berlin,42,40.0,41.0975,2.195,627258,627258,6.235802,5.684191,0.551611,0.911541,live_v2_curve_x_course_segments
Boston,05,0.0,2.5,5.0,133508,133508,4.976396,5.193667,-0.217272,1.04366,live_v2_curve_x_course_segments
Boston,10,5.0,7.5,5.0,133508,133508,4.987719,5.044678,-0.056959,1.01142,live_v2_curve_x_course_segments
Boston,15,10.0,12.5,5.0,133508,133508,5.040637,5.008258,0.032379,0.993576,live_v2_curve_x_course_segments
Boston,20,15.0,17.5,5.0,133508,133508,5.167369,5.04984,0.117529,0.977255,live_v2_curve_x_course_segments
Boston,25,20.0,22.5,5.0,133508,133508,5.250167,5.011197,0.23897,0.954483,live_v2_curve_x_course_segments
Boston,30,25.0,27.5,5.0,133508,133508,5.547897,5.216401,0.331496,0.940248,live_v2_curve_x_course_segments
Boston,35,30.0,32.5,5.0,133508,133508,5.757815,5.344384,0.413431,0.928196,live_v2_curve_x_course_segments
Boston,40,35.0,37.5,5.0,133508,133508,5.69563,5.284747,0.410883,0.92786,live_v2_curve_x_course_segments
Boston,42,40.0,41.0975,2.195,133508,133508,5.600286,5.084406,0.51588,0.907883,live_v2_curve_x_course_segments
Chicago,05,0.0,2.5,5.0,101853,101853,5.735898,5.852304,-0.116406,1.020294,live_v2_curve_x_course_segments
Chicago,10,5.0,7.5,5.0,101853,101853,5.820812,5.850851,-0.030039,1.005161,live_v2_curve_x_course_segments
Chicago,15,10.0,12.5,5.0,101853,101853,5.747963,5.698527,0.049436,0.991399,live_v2_curve_x_course_segments
Chicago,20,15.0,17.5,5.0,101853,101853,5.903006,5.779444,0.123562,0.979068,live_v2_curve_x_course_segments
Chicago,25,20.0,22.5,5.0,101853,101853,6.110809,5.818638,0.292171,0.952188,live_v2_curve_x_course_segments
Chicago,30,25.0,27.5,5.0,101853,101853,6.367928,5.988323,0.379605,0.940388,live_v2_curve_x_course_segments
Chicago,35,30.0,32.5,5.0,101853,101853,6.586337,6.115207,0.47113,0.928469,live_v2_curve_x_course_segments
Chicago,40,35.0,37.5,5.0,101853,101853,6.89793,6.328014,0.569916,0.917379,live_v2_curve_x_course_segments
Chicago,42,40.0,41.0975,2.195,101853,101853,6.458627,5.861159,0.597468,0.907493,live_v2_curve_x_course_segments
London,05,0.0,2.5,5.0,273400,273400,5.749135,5.905762,-0.156627,1.027244,live_v2_curve_x_course_segments
London,10,5.0,7.5,5.0,273400,273400,5.906126,5.95361,-0.047484,1.00804,live_v2_curve_x_course_segments
London,15,10.0,12.5,5.0,273400,273400,6.0983,6.052482,0.045818,0.992487,live_v2_curve_x_course_segments
London,20,15.0,17.5,5.0,273400,273400,6.201613,6.070863,0.13075,0.978917,live_v2_curve_x_course_segments
London,25,20.0,22.5,5.0,273400,273400,6.47127,6.163717,0.307553,0.952474,live_v2_curve_x_course_segments
London,30,25.0,27.5,5.0,273400,273400,6.750375,6.322628,0.427746,0.936634,live_v2_curve_x_course_segments
London,35,30.0,32.5,5.0,273400,273400,7.082406,6.590281,0.492125,0.930514,live_v2_curve_x_course_segments
London,40,35.0,37.5,5.0,273400,273400,7.076362,6.494526,0.581837,0.917777,live_v2_curve_x_course_segments
London,42,40.0,41.0975,2.195,273400,273400,6.854487,6.230217,0.62427,0.908925,live_v2_curve_x_course_segments
New York,05,0.0,2.5,5.0,284604,284604,5.926258,6.07392,-0.147662,1.024917,live_v2_curve_x_course_segments
New York,10,5.0,7.5,5.0,284604,284604,5.933396,5.980148,-0.046752,1.007879,live_v2_curve_x_course_segments
New York,15,10.0,12.5,5.0,284604,284604,6.062955,6.017402,0.045553,0.992487,live_v2_curve_x_course_segments
New York,20,15.0,17.5,5.0,284604,284604,6.303475,6.175349,0.128126,0.979674,live_v2_curve_x_course_segments
New York,25,20.0,22.5,5.0,284604,284604,6.726366,6.423108,0.303258,0.954915,live_v2_curve_x_course_segments
New York,30,25.0,27.5,5.0,284604,284604,6.675225,6.273576,0.401649,0.93983,live_v2_curve_x_course_segments
New York,35,30.0,32.5,5.0,284604,284604,7.152126,6.632746,0.519379,0.927381,live_v2_curve_x_course_segments
New York,40,35.0,37.5,5.0,284604,284604,7.245667,6.617312,0.628355,0.913279,live_v2_curve_x_course_segments
New York,42,40.0,41.0975,2.195,284604,284604,6.880395,6.2457,0.634695,0.907753,live_v2_curve_x_course_segments
Tokyo,05,0.0,2.5,5.0,353,353,3.345703,3.435181,-0.089477,1.026744,live_v2_curve_x_course_segments
Tokyo,10,5.0,7.5,5.0,353,353,3.340349,3.364528,-0.024179,1.007238,live_v2_curve_x_course_segments
Tokyo,15,10.0,12.5,5.0,353,353,3.359537,3.338481,0.021057,0.993732,live_v2_curve_x_course_segments
