sex,cum20_band,accel_tert,n,mean_finish,htw_rate,mean_first20_accel
F,fast20,accel,87017,221.54668608815902,0.0775135892986428,-0.03265421510303403
F,fast20,steady,87018,220.73580849172967,0.08837252062791606,0.007819238740885968
F,fast20,decel,87012,230.5722930936729,0.20832758699949433,0.060694889493343604
F,mid20,accel,86857,264.08737656915,0.14685057047791197,-0.043932705751428006
F,mid20,steady,86848,269.1958248894621,0.17680315033161387,0.017171383484924328
F,mid20,decel,86852,280.9711979382551,0.3513678441486667,0.09804426804290396
F,slow20,accel,86884,315.6475933428479,0.2170249988490401,-0.021223299419207274
F,slow20,steady,86882,331.5281882323151,0.2901521604014641,0.07053372796897026
F,slow20,decel,86883,357.1479834950451,0.3704637270812472,0.2138402380967778
M,fast20,accel,192387,196.12793457977932,0.15595648354618555,-0.03577963096928801
M,fast20,steady,192366,192.6520174216511,0.1665834918852604,0.0008843612652064468
M,fast20,decel,192372,201.2984075991655,0.32514087289210486,0.044536383588914895
M,mid20,accel,192285,234.91731596328364,0.25145487167485764,-0.05673340537736059
M,mid20,steady,192268,238.3441642221621,0.2767595231655814,0.0007555439528220315
M,mid20,decel,192272,248.3420086301351,0.4766320629108763,0.06067347321529658
M,slow20,accel,192220,278.9428926924011,0.3559775257517428,-0.06737894570889608
M,slow20,steady,192218,290.6100000173414,0.419050245034284,0.027306893606125565
M,slow20,decel,192219,323.93102953748934,0.5961845603192192,0.15939159691603033
