goal,checkpoint_km,sex,n_on_pace,hit_rate,mean_finish
sub3,20,F,11961,0.6640749101245715,175.08126689518713
sub3,20,M,189299,0.6981759016159621,174.69690797803122
sub3,30,F,10106,0.7939837720166237,172.27248664159907
sub3,30,M,168552,0.789465565522806,172.08864188301928
sub330,20,F,87338,0.7174082300945751,201.52323291885168
sub330,20,M,572694,0.753044383213374,196.50516351955264
sub330,30,F,76825,0.8211910185486495,198.54805662219331
sub330,30,M,525493,0.825455334324149,193.39420173056538
sub4,20,F,269933,0.7636820988912063,225.13353931037207
sub4,20,M,1119784,0.7966375658162645,217.41072766414476
sub4,30,F,242018,0.8565065408358056,221.3516252923336
sub4,30,M,1037863,0.8627795768805709,213.47099125799838
