exceptional,fade_type,n,pct_within_group
,collapse,64695,
,even,53128,
,modest_fade,125936,
,negative_split,29249,
,recover,2511,
False,collapse,661024,0.3939729688331612
False,even,162337,0.09675350644071756
False,modest_fade,744590,0.4437786417187326
False,negative_split,59631,0.035540316394700094
False,recover,50259,0.02995456661268857
True,collapse,45394,0.08113315460232351
True,even,150517,0.26902055406613046
True,modest_fade,328646,0.5873923145665773
True,negative_split,30836,0.05511349419124218
True,recover,4107,0.007340482573726542
