sex,finish_quantile,n,mean_abs_rank_delta_after_30,mean_rank_delta_after_30,corr_rank_delta_finish
F,Q1,64151,413.2422877273932,405.45989930008886,0.49432688414824205
F,Q2,117735,755.554652397333,749.0271457085828,0.19816978988540382
F,Q3,155169,1093.118683499926,1090.8067010807572,0.2581020636911858
F,Q4,196148,1571.4652201398944,1570.7222607418887,0.2544716656826995
F,Q5,249050,2477.931596065047,2477.838980124473,0.5103797752532879
M,Q1,438701,319.46693761810434,308.4186746781977,0.482839924402136
M,Q2,384568,759.773647313349,753.7326974683281,0.2530768282805394
M,Q3,347565,1184.084116640053,1182.2083351315582,0.302866265881001
M,Q4,306407,1732.9831465991313,1732.3838978874503,0.23002141396099382
M,Q5,253366,2482.037108372868,2481.9069330533694,0.3491871455439998
