sex,htw_elapsed_bin,n,mean_htw_elapsed_min
F,<90,60,85.96694444444445
F,90-120,2817,111.49844397112768
F,120-150,17803,137.9344539309854
F,150-180,35926,166.54677902725973
F,180-210,46672,195.078588161353
F,210-240,34861,223.5786270235124
F,>240,29280,269.05729109744993
M,<90,1221,84.07769587769587
M,90-120,24188,110.45830577145692
M,120-150,105103,137.6035658671335
M,150-180,189688,165.69744668437997
M,180-210,159698,194.03524277072978
M,210-240,70026,222.33400903473947
M,>240,31437,263.93264518454896
