delta_col,threshold,sex,n_above,htw_rate,collapse_rate
delta_pace_10,0.02,F,224398,0.24466795604238897,0.37648731272114727
delta_pace_10,0.02,M,343314,0.39907781214864524,0.46994588044763685
delta_pace_10,0.05,F,91068,0.2628036192735099,0.4390565291869812
delta_pace_10,0.05,M,108062,0.4364994170013511,0.5670911143602747
delta_pace_10,0.1,F,29185,0.24601678944663355,0.4298440979955457
delta_pace_10,0.1,M,26341,0.41441099426749173,0.6017235488402111
delta_pace_15,0.02,F,293840,0.30972638170432887,0.426858154097468
delta_pace_15,0.02,M,449621,0.4899682176766655,0.529261311193205
delta_pace_15,0.05,F,113998,0.37380480359304546,0.5362462499342093
delta_pace_15,0.05,M,133530,0.5875234029806036,0.6781547217853666
delta_pace_15,0.1,F,32840,0.38608404384896466,0.5537149817295981
delta_pace_15,0.1,M,32788,0.6007990728315237,0.7275222642430157
delta_pace_20,0.02,F,313407,0.32708905672177074,0.44632059909319194
delta_pace_20,0.02,M,556468,0.5284940014520152,0.5701262246885714
delta_pace_20,0.05,F,139786,0.40677893351265504,0.5673744151774855
delta_pace_20,0.05,M,208208,0.6543888803504189,0.7394144317221241
delta_pace_20,0.1,F,48486,0.4364558841727509,0.5882935280287093
delta_pace_20,0.1,M,66870,0.7011365335726035,0.800074771945566
delta_pace_25,0.02,F,416784,0.3298519137011018,0.431122595877001
delta_pace_25,0.02,M,800517,0.5329131049059546,0.5631835426355718
delta_pace_25,0.05,F,218596,0.4658319456897656,0.6198924042525938
delta_pace_25,0.05,M,389701,0.714350232614235,0.7895540427147993
delta_pace_25,0.1,F,84051,0.6242757373499424,0.7730187624180557
delta_pace_25,0.1,M,153574,0.8514201622670504,0.9145558492974071
