ability_band,sex,best_city,n,mean_finish,n_cities_qualified
120.0,M,Tokyo,226,139.9665191740413,9
150.0,F,Gold Coast,218,173.17354740061162,7
150.0,M,Valencia,10291,172.3459948822596,19
180.0,F,Chicago,4985,201.0853393513875,13
180.0,M,Stockholm,1643,196.83235950497058,25
210.0,F,Boston,18603,226.56376659678546,21
210.0,M,Hamburg,1576,221.07669204737732,24
240.0,F,Valencia,479,254.99544189283228,22
240.0,M,Paris,17323,255.129857222575,23
270.0,F,Valencia,273,283.6126984126984,22
270.0,M,Paris,10360,284.28675032175033,22
300.0,F,Madrid,371,312.9542677448338,17
300.0,M,Eindhoven,229,313.45109170305676,22
330.0,F,Rotterdam,356,340.2161048689139,13
330.0,M,Rotterdam,508,340.47145669291336,17
360.0,F,Boston,327,366.36972477064216,8
360.0,M,Boston,252,369.19682539682543,10
390.0,F,Berlin,783,399.7654533844189,5
390.0,M,Berlin,706,400.28847969782817,6
420.0,F,Washington,338,429.26696252465484,4
420.0,M,Washington,213,430.0839593114241,4
450.0,F,London,910,463.55554945054945,2
450.0,M,London,406,463.90172413793107,2
480.0,F,London,363,491.9156106519743,1
