city,n,p10_finish,median_finish,gap_median_minus_p10
Tokyo,353,130.79666666666665,147.23333333333332,16.436666666666667
Hamburg,3341,178.86666666666667,209.11666666666667,30.25
Boston,133508,174.33333333333334,215.19166666666666,40.85833333333332
Oslo,8432,194.05,236.20833333333331,42.1583333333333
Warsaw,23153,193.50333333333333,236.0,42.49666666666667
Valencia,70677,167.88333333333333,210.65,42.76666666666668
Madrid,103812,197.43333333333334,240.53333333333333,43.099999999999994
Stockholm,9924,194.95499999999998,238.6,43.64500000000001
Copenhagen,104194,195.55,239.31666666666666,43.76666666666665
Helsinki,7851,210.98333333333332,257.21666666666664,46.23333333333332
Auckland,2435,196.36666666666667,242.83333333333334,46.46666666666667
Amsterdam,152914,191.2,237.7,46.5
Paris,100040,198.86666666666667,246.75,47.883333333333326
Rotterdam,139977,193.14333333333335,241.71666666666667,48.57333333333332
Eindhoven,24747,179.0,227.8,48.80000000000001
Barcelona,52756,181.78333333333333,231.25,49.46666666666667
Sydney,7073,200.8,250.48333333333332,49.68333333333331
Berlin,627258,194.58333333333334,245.2,50.616666666666646
Gold Coast,31632,187.71833333333333,242.55,54.83166666666668
Prague,12670,203.315,258.35,55.035000000000025
Dubai,5356,201.20833333333331,260.6333333333333,59.42500000000001
Melbourne,395,188.07,247.56666666666666,59.49666666666667
Washington,213998,224.0,284.1,60.10000000000002
Chicago,101853,187.47,249.0,61.53
Austin,7625,214.94,277.23333333333335,62.29333333333335
New York,284604,205.8,269.0833333333333,63.2833333333333
London,273400,193.98333333333332,264.1666666666667,70.18333333333337
Singapore,8882,237.82166666666666,316.6333333333333,78.81166666666667
