city,delta_pace_05,delta_pace_10,delta_pace_15,delta_pace_20,delta_pace_25,delta_pace_30,delta_pace_35,delta_pace_40,delta_pace_42,n_pairs
Amsterdam,-0.05807090587938431,-0.03389856169568509,-0.02830305324249304,-0.03207040121120362,-0.027304441079989864,-0.03256686853393899,-0.031879888973000266,-0.03118533938935153,-0.04861167392917524,5284
Auckland,0.011365461847389567,0.03722891566265056,-0.049959839357429696,-0.21759036144578325,-0.06158634538152597,-0.6943975903614457,0.4117469879518069,-0.28638554216867446,-0.2105460566640136,166
Austin,-0.014286964129483822,-0.08017497812773397,-0.12953630796150484,-0.31085301837270335,-0.20493000874890643,-0.49031933508311476,-0.4562948381452316,-0.32740157480314963,-0.2824860445975003,762
Berlin,-0.06765991613881703,-0.06027686085585988,-0.03808928341313032,-0.04211412456260345,-0.03229096658439152,-0.024188003687512998,-0.01712621801925042,-0.029450491172767917,-0.02440413397602656,67254
Boston,-0.026287766952071655,0.022615884263359913,0.03105673654167896,0.05892333431748845,0.08788923334317489,0.13117040645605746,0.17082964275169768,0.1638997145950202,0.14622773797442057,13548
Chicago,0.012117867165575303,0.049771125662613054,-0.015918303710633012,0.03530526972248209,0.037739320236981615,0.052508886810102885,0.056740255690676665,0.053522918615528485,0.06469049409996502,5345
Copenhagen,-0.08882004120810091,-0.07367907935072114,-0.07113146389265793,-0.09370395497261168,-0.10038645158048146,-0.10829639680385944,-0.13126463641389016,-0.12863058445147996,-0.11792124259400633,13266
Dubai,-0.12490196078431366,-0.09803921568627431,0.02215686274509774,-0.20705882352941202,0.20509803921568664,-0.05509803921568603,-0.03254901960784379,-0.6023529411764682,-0.37518424226183344,17
Eindhoven,-0.04941728963005558,-0.04559325282729539,-0.03849147019359785,-0.043940962238834626,-0.038623730113091725,-0.01658807743914134,-0.05691776883266238,-0.04760207015526176,-0.05005102034133188,1739
Gold Coast,-0.0404828565631974,-0.05956786366402921,-0.0436883749239197,-0.04622844390342869,-0.07673666058023941,-0.06035301278149724,-0.1578727936701157,-0.13454554676404953,-0.11932308946493517,3286
Helsinki,-0.08190979563072587,-0.04274489076814658,0.11963002114164903,0.016240310077519325,0.06253699788583525,0.04290697674418595,0.11084214235377014,0.0671529245947853,0.30646562033964647,946
London,0.01863406408094435,0.030183218631785243,0.04848639533293833,0.03154262187989003,0.04725855703933276,0.05774622852194523,0.04929918113729241,0.01293316925694666,0.004253140116880684,21941
Madrid,-0.006652611852892955,-0.000394706020145218,0.032764113375497735,-0.0033052237057858234,0.14897399859451854,-0.04241508550011704,0.04540993206839998,0.013275942843757415,-0.0025052145280033064,2846
New York,0.0373115136108463,0.03255566147653851,0.03127232284715601,0.046589768033047346,0.03897129541362144,0.02456349962927658,0.002575045016417743,-0.006931469124033437,0.0068783493891687785,31470
Oslo,-0.06597033374536466,-0.05293366295838484,-0.05964565306963335,-0.14701277297074578,0.11542233209723939,-0.05939019365471756,-0.07529872270292562,-0.06682735887927482,0.1766290957930574,809
Paris,-0.10804901960784313,0.020325708061002156,-0.04545098039215683,0.15998148148148147,0.26885076252723317,0.07138017429193895,0.2523779956427016,0.5974694989106754,-0.05159775882005544,3060
Prague,0.044059620596206016,0.039913279132791336,0.08106233062330627,0.06218970189701886,0.03792953929539297,0.019940379403794055,-0.0008834688346882402,0.007550135501354709,0.05644758042113435,615
Rotterdam,-0.052629739812060254,-0.035699107522311944,-0.03514732965009206,-0.0362508853945318,-0.0401447324927988,-0.03764296170373516,-0.06355645275534784,-0.05758700476932519,-0.06403452923041644,14118
Sydney,-0.06876146788990828,0.19152905198776754,-0.2345718654434251,-0.06788990825688068,0.09451834862385329,-0.16437308868501524,-0.3545259938837921,-0.13113149847094818,0.34370580900433995,436
Valencia,-0.15867318040215236,-0.030979892381761544,-0.04529878221467008,-0.02720664589823469,-0.02499622392145756,-0.0022689511941848483,0.009079580855281752,0.025032568677428577,0.30751923466887365,7062
Warsaw,-0.09140161725067385,-0.13643306379155437,-0.13329649595687335,-0.09005031446540879,-0.08360017969451927,-0.10076999101527406,-0.056438454627133844,0.019800539083557896,-0.17917876739383615,3710
Washington,0.04030054059203163,0.017392536495915788,0.07080529161010693,0.05188076016289206,0.08342573408587556,0.08080505346383743,0.05922531018551599,0.05852777976233,0.07797174673887437,27994
