goal,sex,kick_bin,n,hit_rate,mean_milestone_kick
sub3,F,Q1_low,1711,0.9310344827586207,-0.04443318134657742
sub3,F,Q2,2269,0.9841339797267519,-0.0012035944034451997
sub3,F,Q3,2384,0.989513422818792,0.019792015993279
sub3,F,Q4_high,1878,0.9925452609158679,0.05389397225638514
sub3,M,Q1_low,34526,0.9417540404332967,-0.047789506752432
sub3,M,Q2,33969,0.9835143807589273,-0.001559873795203205
sub3,M,Q3,33849,0.9885668705131614,0.01993404242711211
sub3,M,Q4_high,34357,0.9863201094391245,0.06279703926877846
sub330,F,Q1_low,11754,0.946060915433044,-0.041242295553649444
sub330,F,Q2,18513,0.9819586236698536,0.0018130837298084156
sub330,F,Q3,19840,0.9888608870967742,0.026794061789252623
sub330,F,Q4_high,14575,0.9897770154373928,0.07510652073058079
sub330,M,Q1_low,115655,0.9562578358047642,-0.051291492785778305
sub330,M,Q2,108897,0.9840583303488618,0.0012656792391603797
sub330,M,Q3,107561,0.9875977352386088,0.026893955594382894
sub330,M,Q4_high,112827,0.9823357884194386,0.0914175006803096
sub4,F,Q1_low,38852,0.9683928755276434,-0.0392087206056938
sub4,F,Q2,59943,0.989506698029795,0.006335058087922153
sub4,F,Q3,64442,0.9921479780267527,0.034872038093408705
sub4,F,Q4_high,47395,0.9908429159194008,0.10227318419780662
sub4,M,Q1_low,241216,0.975262834969488,-0.04974383093630182
sub4,M,Q2,220110,0.9903230203080278,0.005760203134343144
sub4,M,Q3,215617,0.9907428449519287,0.035012132929590975
sub4,M,Q4_high,232661,0.9860612651024452,0.13303734956186913
