sex,age_group,n,mean_pace_first_half,mean_positive_split,mean_evenness,htw_rate
F,20-39,362043,6.139547157842207,0.10492860068183982,0.07060443137356297,0.22829884847932427
F,40-44,118544,6.179793424101318,0.09979491014446479,0.06646409176274808,0.19316034552571199
F,45-49,102716,6.237937508924284,0.10233638580648086,0.0670553851473703,0.19292028505782935
F,50-54,73868,6.379301941751954,0.1102081489098041,0.0705051277188996,0.20971191855742677
F,55-59,39716,6.518968509752576,0.11677895097259497,0.07327182054817151,0.21920636519286937
F,60+,30011,6.740269928803883,0.1195073071181426,0.0744817402225941,0.21582086568258305
F,nan,55355,5.934237452202451,0.0756170775346078,0.07101070065208812,0.20592539066028362
M,20-39,606481,5.3446717553119285,0.12685543159829174,0.08496670431119024,0.35949023959530474
M,40-44,272287,5.357994671063987,0.11560331969912871,0.07824853237743129,0.31466797900744437
M,45-49,239228,5.434272629040079,0.11691993861964209,0.07822324673011169,0.3106158142023509
M,50-54,188932,5.589936255725165,0.12277718954681191,0.0803389125844762,0.3204750915673364
M,55-59,108246,5.772424893298598,0.13048901809934096,0.08316372609522833,0.335227167747538
M,60+,95269,6.136090910999379,0.14116381346145349,0.08726474580439819,0.3468389507604782
M,nan,220164,5.284808744844752,0.09193143867832027,0.08816770614461546,0.333778456060028
