severity_band,ability_band,n,pct_within_ability
mild,0-29,3,60.0
mild,120-149,658,8.1963
mild,150-179,15987,12.1378
mild,180-209,75321,22.1644
mild,210-239,154678,28.3409
mild,240-269,189928,40.7628
mild,270-299,153920,44.9813
mild,30-59,6,26.087
mild,300-329,98853,50.8417
mild,330-359,58185,51.969
mild,360-389,26881,51.9299
mild,390-419,11458,52.7581
mild,420-449,4138,52.4727
mild,450-479,1283,49.5941
mild,480-509,362,41.7051
mild,510-539,122,46.0377
mild,540-569,36,42.8571
mild,570-599,12,54.5455
mild,60-89,1,14.2857
mild,600-629,8,57.1429
mild,630-659,1,50.0
mild,90-119,6,12.5
mild,unknown,93700,32.5682
moderate,120-149,64,0.7972
moderate,150-179,1766,1.3408
moderate,180-209,8983,2.6434
moderate,210-239,23590,4.3223
moderate,240-269,39133,8.3988
moderate,270-299,48750,14.2466
moderate,30-59,1,4.3478
moderate,300-329,34677,17.8349
moderate,330-359,22255,19.8775
moderate,360-389,9695,18.7292
moderate,390-419,3889,17.9068
moderate,420-449,1230,15.5973
moderate,450-479,453,17.5106
moderate,480-509,143,16.4747
moderate,510-539,36,13.5849
moderate,540-569,12,14.2857
moderate,570-599,6,27.2727
moderate,60-89,1,14.2857
moderate,600-629,2,14.2857
moderate,90-119,2,4.1667
moderate,unknown,24171,8.4013
none,0-29,2,40.0
none,120-149,7287,90.7698
none,150-179,113486,86.1622
none,180-209,253840,74.6964
none,210-239,362979,66.5068
none,240-269,229502,49.2562
none,270-299,128297,37.4932
none,30-59,15,65.2174
none,300-329,50956,26.2075
none,330-359,24709,22.0693
none,360-389,12068,23.3135
none,390-419,4986,22.9579
none,420-449,2027,25.7038
none,450-479,681,26.3239
none,480-509,306,35.2535
none,510-539,92,34.717
none,540-569,30,35.7143
none,570-599,3,13.6364
none,60-89,5,71.4286
none,600-629,2,14.2857
none,90-119,40,83.3333
none,unknown,163845,56.9492
severe,120-149,19,0.2367
severe,150-179,473,0.3591
severe,180-209,1685,0.4958
severe,210-239,4530,0.83
severe,240-269,7372,1.5822
severe,270-299,11220,3.2789
severe,30-59,1,4.3478
severe,300-329,9947,5.1159
severe,330-359,6812,6.0843
severe,360-389,3120,6.0274
severe,390-419,1385,6.3772
severe,420-449,491,6.2262
severe,450-479,170,6.5713
severe,480-509,57,6.5668
severe,510-539,15,5.6604
severe,540-569,6,7.1429
severe,570-599,1,4.5455
severe,600-629,2,14.2857
severe,630-659,1,50.0
severe,660-689,1,100.0
severe,unknown,5988,2.0813
