bin_lo,bin_hi,bin_label,n,pct
0.0,0.02,"[0.00,0.02)",403499,16.0574
0.02,0.04,"[0.02,0.04)",269049,10.7069
0.04,0.06,"[0.04,0.06)",250201,9.9568
0.06,0.08,"[0.06,0.08)",227364,9.048
0.08,0.1,"[0.08,0.10)",205045,8.1598
0.1,0.12,"[0.10,0.12)",181155,7.2091
0.12,0.14,"[0.12,0.14)",158506,6.3078
0.14,0.16,"[0.14,0.16)",138447,5.5095
0.16,0.18,"[0.16,0.18)",119142,4.7413
0.18,0.2,"[0.18,0.20)",100924,4.0163
0.2,0.22,"[0.20,0.22)",85779,3.4136
0.22,0.24,"[0.22,0.24)",70540,2.8072
0.24,0.26,"[0.24,0.26)",58975,2.3469
0.26,0.28,"[0.26,0.28)",47231,1.8796
0.28,0.3,"[0.28,0.30)",38537,1.5336
0.3,0.32,"[0.30,0.32)",31325,1.2466
0.32,0.34,"[0.32,0.34)",25014,0.9954
0.34,0.36,"[0.34,0.36)",20082,0.7992
0.36,0.38,"[0.36,0.38)",15957,0.635
0.38,0.4,"[0.38,0.40)",12792,0.5091
0.4,0.42,"[0.40,0.42)",10263,0.4084
0.42,0.44,"[0.42,0.44)",8097,0.3222
0.44,0.46,"[0.44,0.46)",6577,0.2617
0.46,0.48,"[0.46,0.48)",5189,0.2065
0.48,0.5,"[0.48,0.50)",4054,0.1613
0.5,0.52,"[0.50,0.52)",3298,0.1312
0.52,0.54,"[0.52,0.54)",2679,0.1066
0.54,0.56,"[0.54,0.56)",2172,0.0864
0.56,0.58,"[0.56,0.58)",1736,0.0691
0.58,0.6,"[0.58,0.60)",1434,0.0571
0.6,0.62,"[0.60,0.62)",1128,0.0449
0.62,0.64,"[0.62,0.64)",971,0.0386
0.64,0.66,"[0.64,0.66)",790,0.0314
0.66,0.68,"[0.66,0.68)",694,0.0276
0.68,0.7000000000000001,"[0.68,0.70)",554,0.022
0.7000000000000001,0.72,"[0.70,0.72)",428,0.017
0.72,0.74,"[0.72,0.74)",394,0.0157
0.74,0.76,"[0.74,0.76)",334,0.0133
0.76,0.78,"[0.76,0.78)",326,0.013
0.78,0.8,"[0.78,0.80)",244,0.0097
0.8,0.8200000000000001,"[0.80,0.82)",222,0.0088
0.8200000000000001,0.84,"[0.82,0.84)",181,0.0072
0.84,0.86,"[0.84,0.86)",158,0.0063
0.86,0.88,"[0.86,0.88)",137,0.0055
0.88,0.9,"[0.88,0.90)",130,0.0052
0.9,0.92,"[0.90,0.92)",98,0.0039
0.92,0.9400000000000001,"[0.92,0.94)",90,0.0036
0.9400000000000001,0.96,"[0.94,0.96)",86,0.0034
0.96,0.98,"[0.96,0.98)",83,0.0033
0.98,1.0,"[0.98,1.00)",749,0.0298
