city,weather_band,n,city_n_all_bands,htw_rate,severity_mean,positive_split_mean,positive_split_rate,split_ratio_mean,wx_temp_mean
Amsterdam,cool,69725,152213,0.199283,0.085791,0.078498,0.812736,1.078498,8.0328
Amsterdam,mild,70525,152213,0.274654,0.109628,0.104092,0.879064,1.104092,12.5667
Amsterdam,warm,11963,152213,0.32659,0.125189,0.124015,0.925353,1.124015,16.5423
Austin,mild,5055,7625,0.354105,0.138713,0.132563,0.889812,1.132563,11.743
Austin,warm,2570,7625,0.427237,0.16739,0.174455,0.944358,1.174455,20.1054
Barcelona,cool,44510,52756,0.22058,0.088764,0.071492,0.765985,1.071492,6.2203
Barcelona,mild,8246,52756,0.390614,0.11924,0.009167,0.478535,1.009167,10.0
Berlin,cool,86443,451520,0.168342,0.079894,0.077791,0.823699,1.077791,9.3537
Berlin,hot,45846,451520,0.279806,0.125714,0.136017,0.939886,1.136017,21.6
Berlin,mild,199341,451520,0.201825,0.090758,0.089393,0.862146,1.089393,13.0573
Berlin,warm,119890,451520,0.254934,0.104918,0.106619,0.880324,1.106619,16.0653
Boston,cool,108063,133508,0.150662,0.087058,0.086843,0.897606,1.086843,7.8005
Boston,mild,25445,133508,0.336176,0.147099,0.156,0.972647,1.156,12.1912
Chicago,mild,101851,101853,0.292565,0.113321,0.112861,0.889024,1.112861,12.6967
Chicago,warm,2,101853,0.5,0.091149,-0.253874,0.0,0.746126,15.0
Copenhagen,cool,25860,104194,0.224478,0.085774,0.082693,0.826373,1.082693,9.0766
Copenhagen,mild,63096,104194,0.290351,0.112386,0.110518,0.890405,1.110518,13.0065
Copenhagen,warm,15238,104194,0.457672,0.160449,0.160534,0.948287,1.160534,16.4766
Dubai,mild,3540,5356,0.502542,0.176627,0.177334,0.94548,1.177334,14.3662
Dubai,warm,1816,5356,0.463106,0.163286,0.168065,0.946035,1.168065,18.2
Eindhoven,cool,11341,24747,0.182083,0.077224,0.075354,0.863504,1.075354,7.7362
Eindhoven,mild,6144,24747,0.193197,0.079994,0.076952,0.846354,1.076952,10.402
Eindhoven,warm,7262,24747,0.3813,0.135118,0.136102,0.931562,1.136102,17.62
Gold Coast,mild,25916,31632,0.397669,0.133079,0.131404,0.905309,1.131404,13.0639
Gold Coast,warm,5716,31632,0.523443,0.177566,0.181917,0.96536,1.181917,16.3
Helsinki,hot,1781,7851,0.373386,0.149168,0.141879,0.946098,1.141879,22.3064
Helsinki,warm,6070,7851,0.271993,0.121517,0.102401,0.888303,1.102401,18.2693
London,cool,46147,273400,0.24422,0.106185,0.113751,0.910612,1.113751,8.3
London,mild,227213,273400,0.320725,0.130763,0.14223,0.945443,1.14223,12.9422
London,warm,40,273400,0.475,0.150296,-0.108308,0.2,0.891692,15.9875
Madrid,cool,49193,103812,0.351269,0.126003,0.092342,0.854491,1.092342,7.4907
Madrid,mild,43792,103812,0.417611,0.140866,0.088308,0.788934,1.088308,12.327
Madrid,warm,10827,103812,0.432807,0.144343,0.138337,0.940519,1.138337,15.7087
New York,cool,193218,263268,0.314893,0.130324,0.13226,0.931678,1.13226,6.8336
New York,hot,20709,263268,0.387851,0.157389,0.174016,0.975228,1.174016,21.4
New York,mild,23107,263268,0.362617,0.148466,0.156022,0.956204,1.156022,11.6001
New York,warm,26234,263268,0.50324,0.186867,0.201129,0.981894,1.201129,19.9
Oslo,mild,7879,8432,0.330245,0.119153,0.104878,0.87803,1.104878,12.7814
Oslo,warm,553,8432,0.330922,0.106185,0.091488,0.77396,1.091488,15.1
Paris,cool,46924,100040,0.271332,0.109407,0.105773,0.883301,1.105773,1.8015
Paris,mild,53083,100040,0.399412,0.128253,0.130865,0.930185,1.130865,14.5
Paris,warm,33,100040,0.424242,0.140286,-0.058182,0.636364,0.941818,16.2152
Prague,mild,4348,12670,0.354876,0.128501,0.111912,0.904554,1.111912,14.3288
Prague,warm,8322,12670,0.47813,0.154461,0.080769,0.728431,1.080769,16.083
Rotterdam,cool,60696,139977,0.246787,0.095994,0.093378,0.892299,1.093378,8.0637
Rotterdam,mild,75775,139977,0.363827,0.129712,0.128942,0.941656,1.128942,12.1065
Rotterdam,warm,3506,139977,0.455505,0.156347,0.158595,0.96777,1.158595,15.5
Singapore,hot,8882,8882,0.472754,0.16155,0.165052,0.894844,1.165052,23.5
Stockholm,hot,9924,9924,0.141173,0.079533,0.075779,0.854595,1.075779,21.6511
Sydney,cool,5283,7073,0.385766,0.133838,0.133566,0.934128,1.133566,8.4045
Sydney,mild,1790,7073,0.473743,0.154815,0.157315,0.935196,1.157315,10.4839
Valencia,cool,19593,70677,0.162048,0.070936,0.064331,0.795999,1.064331,5.5
Valencia,mild,51084,70677,0.220167,0.087343,0.076837,0.810175,1.076837,10.9671
Warsaw,cool,3430,23153,0.322449,0.115382,0.111997,0.902332,1.111997,8.7
Warsaw,mild,18662,23153,0.250884,0.097353,0.090865,0.849319,1.090865,12.4796
Warsaw,warm,1061,23153,0.381715,0.125779,0.120471,0.902922,1.120471,15.4
Washington,cool,107906,213998,0.425092,0.149195,0.142255,0.908003,1.142255,6.317
Washington,mild,100746,213998,0.486024,0.169222,0.16288,0.935184,1.16288,12.6293
Washington,warm,5346,213998,0.623831,0.198082,0.200797,0.968575,1.200797,15.5013
