weather_band,sex,n,htw_n,htw_rate,severity_mean,severity_n,positive_split_mean,positive_split_rate,split_ratio_mean,wx_temp_mean,finish_mean,finish_p10,finish_p25,finish_p50,finish_p75,finish_p90,finish_n,positive_split_n,split_ratio_n,late_wx_temp_mean,late_wx_feels_mean,gap_dos_35_mean,gap_dos_40_mean,gap_dos_42_mean
cool,F,283177,53569,0.189171,0.095659,283177,0.094556,0.882575,1.094556,7.3003,268.6397,208.3333,231.3833,261.75,298.5667,339.55,283177,283177,283177,,,,,
cool,M,598496,178381,0.298049,0.114057,598496,0.108282,0.875844,1.108282,7.1527,239.3418,180.8833,205.7333,233.8833,266.5833,302.75,598496,598496,598496,,,,,
mild,F,349296,81990,0.234729,0.107561,349296,0.109804,0.905682,1.109804,12.7928,282.3132,217.25,241.55,275.6,316.3333,356.9,349296,349296,349296,,,,,
mild,M,768090,270915,0.352713,0.127581,768090,0.123279,0.893481,1.123279,12.6697,246.2793,186.4333,210.3333,238.9333,275.4667,314.3167,768090,768090,768090,,,,,
warm,F,68049,16508,0.24259,0.10961,68049,0.110684,0.897133,1.110684,16.7515,278.0343,222.75,243.6833,272.65,305.6333,344.3833,68049,68049,68049,,,,,
warm,M,160835,62620,0.389343,0.139335,160835,0.137685,0.908098,1.137685,16.6823,251.8022,194.5333,218.5333,246.6333,281.0333,315.1767,160835,160835,160835,,,,,
hot,F,33188,6797,0.204803,0.106256,33188,0.117258,0.926751,1.117258,21.64,301.0952,229.9333,262.0833,298.2333,339.05,374.305,33188,33188,33188,,,,,
hot,M,53954,20328,0.376765,0.14802,53954,0.156035,0.938633,1.156035,21.8441,273.4456,196.505,226.6667,268.05,315.2,358.85,53954,53954,53954,,,,,
cool,ALL,881673,231950,0.263079,0.108148,881673,0.103874,0.878006,1.103874,7.2001,248.7517,188.4333,212.45,241.0167,278.15,317.8667,881673,881673,881673,11.7575,8.6365,0.048009,0.063797,0.022073
mild,ALL,1117386,352905,0.315831,0.121323,1117386,0.119067,0.897295,1.119067,12.7082,257.5436,193.5167,218.8667,250.3333,289.9667,331.8167,1117386,1117386,1117386,16.3279,14.4519,0.06251,0.084467,0.028728
warm,ALL,228884,79128,0.345712,0.130497,228884,0.129657,0.904838,1.129657,16.7029,259.6012,200.7167,225.6,255.0667,289.3333,325.695,228884,228884,228884,19.7639,18.4073,0.067781,0.096436,0.034584
hot,ALL,87142,27125,0.311274,0.132114,87142,0.141266,0.934108,1.141266,21.7664,283.9759,205.5667,237.3,282.0333,325.2167,365.7167,87142,87142,87142,24.2428,24.8596,0.067573,0.077625,0.014562
