metric,n,rate
n_features,3167990,1.0
valid_splits,2512860,0.793203
wx_mean_temp_c_nonnull,2794771,0.882191
wx_temp_c_05_nonnull,2794771,0.882191
wx_hourly_available_true,2863791,0.903977
weather_temp_resolvable,2794771,0.882191
wx_source_api,2848491,0.899148
wx_source_local_fallback,319499,0.100852
wx_source_other_or_null,0,0.0
wx_source_api_and_temp_resolvable,2779471,0.877361
wx_source_local_fallback_and_temp_resolvable,15300,0.00483
n_rows_used_valid_splits_and_weather_band,2315085,0.730774
n_valid_splits_and_hourly_and_temp,2315085,0.730774
