target_label,target_min,is_goal_reference,window_min,sex,n_before,n_after,spike_ratio_before_over_after,excess_before_vs_after
sub3,180.0,True,0.5,ALL,6061,3728,1.6258047210300428,0.4766574726734089
sub3,180.0,True,0.5,F,406,295,1.376271186440678,0.3166904422253923
sub3,180.0,True,0.5,M,5655,3433,1.647247305563647,0.48899647887323944
sub3,180.0,True,1.0,ALL,12704,7264,1.748898678414097,0.5448717948717948
sub3,180.0,True,1.0,F,859,632,1.3591772151898733,0.3044936284372904
sub3,180.0,True,1.0,M,11845,6632,1.786037394451146,0.5642690913027006
sub3,180.0,True,2.0,ALL,24903,13956,1.7843938091143594,0.5634216011734733
sub3,180.0,True,2.0,F,1705,1296,1.3155864197530864,0.2725758080639787
sub3,180.0,True,2.0,M,23198,12660,1.8323854660347552,0.5877628423224943
sub330,210.0,True,0.5,ALL,10536,8399,1.25443505179188,0.22571956693952996
sub330,210.0,True,0.5,F,1768,1621,1.0906847624922886,0.08675125405724403
sub330,210.0,True,0.5,M,8768,6778,1.293596931248156,0.2560144088511514
sub330,210.0,True,1.0,ALL,21175,16411,1.2902930960940833,0.25349864311179693
sub330,210.0,True,1.0,F,3614,3236,1.1168108776266996,0.11036496350364963
sub330,210.0,True,1.0,M,17561,13175,1.3329032258064517,0.2853982300884956
sub330,210.0,True,2.0,ALL,41093,32197,1.2762990340714973,0.24276163187337974
sub330,210.0,True,2.0,F,7130,6569,1.085401126503273,0.08190378859770786
sub330,210.0,True,2.0,M,33963,25628,1.3252302169502108,0.279740229229246
sub4,240.0,True,0.5,ALL,13273,10490,1.265300285986654,0.23422968480410722
sub4,240.0,True,0.5,F,3464,2995,1.1565943238731218,0.145223718841926
sub4,240.0,True,0.5,M,9809,7495,1.3087391594396265,0.2674526121128063
sub4,240.0,True,1.0,ALL,27678,20338,1.360900776870882,0.305731422859047
sub4,240.0,True,1.0,F,7165,5897,1.2150245887739528,0.19415097228602052
sub4,240.0,True,1.0,M,20513,14441,1.4204694965722595,0.347428048292041
sub4,240.0,True,2.0,ALL,56095,38985,1.4388867513146082,0.35990744636095917
sub4,240.0,True,2.0,F,14769,11546,1.2791442923956349,0.24495534866045982
sub4,240.0,True,2.0,M,41326,27439,1.5061044498706222,0.40389733149131096
sub430,270.0,True,0.5,ALL,8844,7891,1.120770498035737,0.1138930385419779
sub430,270.0,True,0.5,F,3307,3043,1.0867564903056195,0.0831496062992126
sub430,270.0,True,0.5,M,5537,4848,1.1421204620462047,0.13269138180067405
sub430,270.0,True,1.0,ALL,17810,15695,1.1347562918126792,0.1262498134606775
sub430,270.0,True,1.0,F,6686,6107,1.0948092353037497,0.090518252169155
sub430,270.0,True,1.0,M,11124,9588,1.1602002503128912,0.14831981460023175
sub430,270.0,True,2.0,ALL,35719,31050,1.1503703703703703,0.13985532208060628
sub430,270.0,True,2.0,F,13447,12021,1.1186257382913236,0.11198366577666091
sub430,270.0,True,2.0,M,22272,19029,1.1704240895475326,0.15704220236798141
sub5,300.0,True,0.5,ALL,5492,4935,1.1128672745694022,0.10683801668744605
sub5,300.0,True,0.5,F,2390,2273,1.051473823141223,0.05018228608192151
sub5,300.0,True,0.5,M,3102,2662,1.165289256198347,0.15267175572519084
sub5,300.0,True,1.0,ALL,11381,9868,1.1533238751520065,0.1424067014918349
sub5,300.0,True,1.0,F,4931,4475,1.101899441340782,0.09695938762492026
sub5,300.0,True,1.0,M,6450,5393,1.1959948080845542,0.17850206873258465
sub5,300.0,True,2.0,ALL,23394,19235,1.2162204315050689,0.19512538412817565
sub5,300.0,True,2.0,F,10098,8739,1.1555097837281154,0.14429049211657907
sub5,300.0,True,2.0,M,13296,10496,1.266768292682927,0.23537323470073973
t150,150.0,False,0.5,ALL,656,504,1.3015873015873016,0.2620689655172414
t150,150.0,False,0.5,F,37,30,1.2333333333333334,0.208955223880597
t150,150.0,False,0.5,M,619,474,1.3059071729957805,0.2653247941445563
t150,150.0,False,1.0,ALL,1203,1032,1.1656976744186047,0.15302013422818792
t150,150.0,False,1.0,F,71,64,1.109375,0.1037037037037037
t150,150.0,False,1.0,M,1132,968,1.1694214876033058,0.15619047619047619
t150,150.0,False,2.0,ALL,2271,2116,1.0732514177693762,0.07066332345566446
t150,150.0,False,2.0,F,139,123,1.1300813008130082,0.12213740458015267
t150,150.0,False,2.0,M,2132,1993,1.0697441043652784,0.0673939393939394
t165,165.0,False,0.5,ALL,2021,1665,1.213813813813814,0.19316332067281605
t165,165.0,False,0.5,F,79,72,1.0972222222222223,0.09271523178807947
t165,165.0,False,0.5,M,1942,1593,1.219083490269931,0.19745403111739745
t165,165.0,False,1.0,ALL,3898,3583,1.08791515489813,0.08421334046250502
t165,165.0,False,1.0,F,153,156,0.9807692307692307,-0.019417475728155338
t165,165.0,False,1.0,M,3745,3427,1.0927925299095418,0.0886781929726715
t165,165.0,False,2.0,ALL,7342,7598,0.9663069228744406,-0.03427041499330656
t165,165.0,False,2.0,F,274,350,0.7828571428571428,-0.24358974358974358
t165,165.0,False,2.0,M,7068,7248,0.9751655629139073,-0.025146689019279127
t195,195.0,False,0.5,ALL,6370,5701,1.1173478337133835,0.11084417198243725
t195,195.0,False,0.5,F,870,861,1.0104529616724738,0.010398613518197574
t195,195.0,False,0.5,M,5500,4840,1.1363636363636365,0.1276595744680851
t195,195.0,False,1.0,ALL,12813,11536,1.1106969486823857,0.10489137130888332
t195,195.0,False,1.0,F,1767,1804,0.979490022172949,-0.02072248669840381
t195,195.0,False,1.0,M,11046,9732,1.1350184956843403,0.1264799306959284
t195,195.0,False,2.0,ALL,24620,23147,1.0636367563831166,0.061674377708459814
t195,195.0,False,2.0,F,3552,3647,0.9739511927611736,-0.026392554521461314
t195,195.0,False,2.0,M,21068,19500,1.0804102564102565,0.07730230723723132
t225,225.0,False,0.5,ALL,10524,9656,1.0898922949461474,0.08602576808721507
t225,225.0,False,0.5,F,2401,2370,1.0130801687763713,0.012995179207713268
t225,225.0,False,0.5,M,8123,7286,1.1148778479275323,0.1086378090726199
t225,225.0,False,1.0,ALL,20744,19406,1.0689477481191385,0.06665006226650062
t225,225.0,False,1.0,F,4809,4677,1.0282232200128287,0.027830487033523088
t225,225.0,False,1.0,M,15935,14729,1.0818792857627808,0.07865901382728933
t225,225.0,False,2.0,ALL,40445,39151,1.0330515184797324,0.03251419669330117
t225,225.0,False,2.0,F,9308,9489,0.9809252819053641,-0.01925839229664308
t225,225.0,False,2.0,M,31137,29662,1.0497269233362552,0.04852053487721838
t255,255.0,False,0.5,ALL,9720,8915,1.0902972518227707,0.08639656560236114
t255,255.0,False,0.5,F,3208,2975,1.0783193277310925,0.07536794436357755
t255,255.0,False,0.5,M,6512,5940,1.0962962962962963,0.09187279151943463
t255,255.0,False,1.0,ALL,19477,17947,1.0852510168830445,0.0817657118426678
t255,255.0,False,1.0,F,6381,5992,1.0649198931909212,0.06287884910692637
t255,255.0,False,1.0,M,13096,11955,1.0954412379757423,0.09109416789748913
t255,255.0,False,2.0,ALL,38525,36096,1.067292774822695,0.06510231704211951
t255,255.0,False,2.0,F,12450,12112,1.0279062087186261,0.02752218874684472
t255,255.0,False,2.0,M,26075,23984,1.0871831220813877,0.08354142112307478
t285,285.0,False,0.5,ALL,6824,6534,1.044383226201408,0.043419673603832906
t285,285.0,False,0.5,F,2715,2671,1.0164732309996256,0.016338655774229483
t285,285.0,False,0.5,M,4109,3863,1.0636810768832514,0.06171600602107376
t285,285.0,False,1.0,ALL,13807,12961,1.0652727413008256,0.06320980274955171
t285,285.0,False,1.0,F,5436,5315,1.0227657572906868,0.022509533996837503
t285,285.0,False,1.0,M,8371,7646,1.0948208213444939,0.09052881313604295
t285,285.0,False,2.0,ALL,27460,25620,1.0718188914910227,0.0693293142426526
t285,285.0,False,2.0,F,10974,10467,1.0484379478360561,0.047292570309220655
t285,285.0,False,2.0,M,16486,15153,1.087969379000858,0.08426309301811057
t315,315.0,False,0.5,ALL,3771,3676,1.0258433079434168,0.0255136296495233
t315,315.0,False,0.5,F,1738,1705,1.0193548387096774,0.019169329073482427
t315,315.0,False,0.5,M,2033,1971,1.0314561136478946,0.030969030969030968
t315,315.0,False,1.0,ALL,7673,7295,1.0518163125428375,0.05050774986638162
t315,315.0,False,1.0,F,3532,3384,1.0437352245862883,0.042799305957200696
t315,315.0,False,1.0,M,4141,3911,1.0588084888775249,0.057128663686040734
t315,315.0,False,2.0,ALL,15295,14597,1.0478180448037269,0.046701458584236584
t315,315.0,False,2.0,F,6985,6763,1.0328256690817685,0.03229560663369217
t315,315.0,False,2.0,M,8310,7834,1.0607607863160582,0.058969276511397425
t330,330.0,False,0.5,ALL,3046,2901,1.0499827645639435,0.04876408273078863
t330,330.0,False,0.5,F,1438,1453,0.9896765313145217,-0.010377032168799724
t330,330.0,False,0.5,M,1608,1448,1.1104972375690607,0.10471204188481675
t330,330.0,False,1.0,ALL,6187,5687,1.0879198171267803,0.08421761832575375
t330,330.0,False,1.0,F,2967,2838,1.0454545454545454,0.044444444444444446
t330,330.0,False,1.0,M,3220,2849,1.1302211302211302,0.12226066897347174
t330,330.0,False,2.0,ALL,12423,11250,1.1042666666666667,0.09910024078063617
t330,330.0,False,2.0,F,6046,5563,1.0868236563005573,0.08321130157636317
t330,330.0,False,2.0,M,6377,5687,1.1213293476349568,0.11438992042440319
t360,360.0,False,0.5,ALL,1627,1500,1.0846666666666667,0.08122801407099456
t360,360.0,False,0.5,F,865,829,1.043425814234017,0.04250295159386069
t360,360.0,False,0.5,M,762,671,1.135618479880775,0.1270062805303559
t360,360.0,False,1.0,ALL,3262,2918,1.1178889650445512,0.11132686084142394
t360,360.0,False,1.0,F,1764,1608,1.0970149253731343,0.09252669039145907
t360,360.0,False,1.0,M,1498,1310,1.1435114503816795,0.1339031339031339
t360,360.0,False,2.0,ALL,6601,5673,1.1635818790763264,0.15121394818315137
t360,360.0,False,2.0,F,3513,3133,1.12128949888286,0.11435449894673488
t360,360.0,False,2.0,M,3088,2540,1.215748031496063,0.1947405828002843
