bin_lo_min,bin_hi_min,bin_mid_min,n,n_F,n_M,n_U,density_per_min
120.0,120.5,120.25,2,0,2,0,4.0
120.5,121.0,120.75,1,0,1,0,2.0
121.0,121.5,121.25,3,1,2,0,6.0
121.5,122.0,121.75,5,0,5,0,10.0
122.0,122.5,122.25,4,0,4,0,8.0
122.5,123.0,122.75,11,1,10,0,22.0
123.0,123.5,123.25,10,0,10,0,20.0
123.5,124.0,123.75,24,0,24,0,48.0
124.0,124.5,124.25,26,0,26,0,52.0
124.5,125.0,124.75,43,0,43,0,86.0
125.0,125.5,125.25,56,0,56,0,112.0
125.5,126.0,125.75,68,0,68,0,136.0
126.0,126.5,126.25,80,0,80,0,160.0
126.5,127.0,126.75,69,0,69,0,138.0
127.0,127.5,127.25,78,0,78,0,156.0
127.5,128.0,127.75,87,0,87,0,174.0
128.0,128.5,128.25,76,1,75,0,152.0
128.5,129.0,128.75,83,0,83,0,166.0
129.0,129.5,129.25,87,0,87,0,174.0
129.5,130.0,129.75,93,1,92,0,186.0
130.0,130.5,130.25,93,0,93,0,186.0
130.5,131.0,130.75,110,1,109,0,220.0
131.0,131.5,131.25,85,0,85,0,170.0
131.5,132.0,131.75,82,1,81,0,164.0
132.0,132.5,132.25,76,0,76,0,152.0
132.5,133.0,132.75,86,0,86,0,172.0
133.0,133.5,133.25,83,0,83,0,166.0
133.5,134.0,133.75,79,0,79,0,158.0
134.0,134.5,134.25,86,0,86,0,172.0
134.5,135.0,134.75,113,1,112,0,226.0
135.0,135.5,135.25,89,0,89,0,178.0
135.5,136.0,135.75,120,5,115,0,240.0
136.0,136.5,136.25,100,3,97,0,200.0
136.5,137.0,136.75,104,3,101,0,208.0
137.0,137.5,137.25,117,5,112,0,234.0
137.5,138.0,137.75,122,7,115,0,244.0
138.0,138.5,138.25,95,9,86,0,190.0
138.5,139.0,138.75,143,16,127,0,286.0
139.0,139.5,139.25,153,14,139,0,306.0
139.5,140.0,139.75,139,10,129,0,278.0
140.0,140.5,140.25,156,19,137,0,312.0
140.5,141.0,140.75,170,25,145,0,340.0
141.0,141.5,141.25,149,22,127,0,298.0
141.5,142.0,141.75,187,24,163,0,374.0
142.0,142.5,142.25,177,19,158,0,354.0
142.5,143.0,142.75,227,27,200,0,454.0
143.0,143.5,143.25,219,30,189,0,438.0
143.5,144.0,143.75,248,33,215,0,496.0
144.0,144.5,144.25,278,31,247,0,556.0
144.5,145.0,144.75,312,51,261,0,624.0
145.0,145.5,145.25,290,42,248,0,580.0
145.5,146.0,145.75,322,29,293,0,644.0
146.0,146.5,146.25,324,37,287,0,648.0
