sex,bin_lo_min,bin_hi_min,bin_mid_min,n,density_per_min
F,120.0,120.5,120.25,0,0.0
F,120.5,121.0,120.75,0,0.0
F,121.0,121.5,121.25,1,2.0
F,121.5,122.0,121.75,0,0.0
F,122.0,122.5,122.25,0,0.0
F,122.5,123.0,122.75,1,2.0
F,123.0,123.5,123.25,0,0.0
F,123.5,124.0,123.75,0,0.0
F,124.0,124.5,124.25,0,0.0
F,124.5,125.0,124.75,0,0.0
F,125.0,125.5,125.25,0,0.0
F,125.5,126.0,125.75,0,0.0
F,126.0,126.5,126.25,0,0.0
F,126.5,127.0,126.75,0,0.0
F,127.0,127.5,127.25,0,0.0
F,127.5,128.0,127.75,0,0.0
F,128.0,128.5,128.25,1,2.0
F,128.5,129.0,128.75,0,0.0
F,129.0,129.5,129.25,0,0.0
F,129.5,130.0,129.75,1,2.0
F,130.0,130.5,130.25,0,0.0
F,130.5,131.0,130.75,1,2.0
F,131.0,131.5,131.25,0,0.0
F,131.5,132.0,131.75,1,2.0
F,132.0,132.5,132.25,0,0.0
F,132.5,133.0,132.75,0,0.0
F,133.0,133.5,133.25,0,0.0
F,133.5,134.0,133.75,0,0.0
F,134.0,134.5,134.25,0,0.0
F,134.5,135.0,134.75,1,2.0
F,135.0,135.5,135.25,0,0.0
F,135.5,136.0,135.75,5,10.0
F,136.0,136.5,136.25,3,6.0
F,136.5,137.0,136.75,3,6.0
F,137.0,137.5,137.25,5,10.0
F,137.5,138.0,137.75,7,14.0
F,138.0,138.5,138.25,9,18.0
F,138.5,139.0,138.75,16,32.0
F,139.0,139.5,139.25,14,28.0
F,139.5,140.0,139.75,10,20.0
F,140.0,140.5,140.25,19,38.0
F,140.5,141.0,140.75,25,50.0
F,141.0,141.5,141.25,22,44.0
F,141.5,142.0,141.75,24,48.0
F,142.0,142.5,142.25,19,38.0
F,142.5,143.0,142.75,27,54.0
F,143.0,143.5,143.25,30,60.0
F,143.5,144.0,143.75,33,66.0
F,144.0,144.5,144.25,31,62.0
F,144.5,145.0,144.75,51,102.0
F,145.0,145.5,145.25,42,84.0
F,145.5,146.0,145.75,29,58.0
F,146.0,146.5,146.25,37,74.0
F,146.5,147.0,146.75,46,92.0
F,147.0,147.5,147.25,28,56.0
F,147.5,148.0,147.75,38,76.0
F,148.0,148.5,148.25,36,72.0
F,148.5,149.0,148.75,32,64.0
F,149.0,149.5,149.25,34,68.0
F,149.5,150.0,149.75,37,74.0
F,150.0,150.5,150.25,30,60.0
F,150.5,151.0,150.75,34,68.0
F,151.0,151.5,151.25,22,44.0
F,151.5,152.0,151.75,37,74.0
F,152.0,152.5,152.25,29,58.0
F,152.5,153.0,152.75,30,60.0
F,153.0,153.5,153.25,21,42.0
F,153.5,154.0,153.75,29,58.0
F,154.0,154.5,154.25,26,52.0
F,154.5,155.0,154.75,46,92.0
F,155.0,155.5,155.25,38,76.0
F,155.5,156.0,155.75,50,100.0
F,156.0,156.5,156.25,39,78.0
F,156.5,157.0,156.75,51,102.0
F,157.0,157.5,157.25,36,72.0
F,157.5,158.0,157.75,37,74.0
F,158.0,158.5,158.25,42,84.0
F,158.5,159.0,158.75,51,102.0
F,159.0,159.5,159.25,48,96.0
F,159.5,160.0,159.75,51,102.0
F,160.0,160.5,160.25,47,94.0
F,160.5,161.0,160.75,44,88.0
F,161.0,161.5,161.25,51,102.0
F,161.5,162.0,161.75,45,90.0
F,162.0,162.5,162.25,59,118.0
F,162.5,163.0,162.75,48,96.0
F,163.0,163.5,163.25,57,114.0
F,163.5,164.0,163.75,64,128.0
F,164.0,164.5,164.25,74,148.0
F,164.5,165.0,164.75,79,158.0
F,165.0,165.5,165.25,72,144.0
F,165.5,166.0,165.75,84,168.0
F,166.0,166.5,166.25,96,192.0
F,166.5,167.0,166.75,98,196.0
F,167.0,167.5,167.25,82,164.0
F,167.5,168.0,167.75,101,202.0
F,168.0,168.5,168.25,98,196.0
F,168.5,169.0,168.75,130,260.0
F,169.0,169.5,169.25,122,244.0
F,169.5,170.0,169.75,147,294.0
F,170.0,170.5,170.25,117,234.0
F,170.5,171.0,170.75,119,238.0
F,171.0,171.5,171.25,142,284.0
F,171.5,172.0,171.75,142,284.0
F,172.0,172.5,172.25,134,268.0
F,172.5,173.0,172.75,163,326.0
F,173.0,173.5,173.25,175,350.0
F,173.5,174.0,173.75,191,382.0
F,174.0,174.5,174.25,189,378.0
F,174.5,175.0,174.75,234,468.0
F,175.0,175.5,175.25,250,500.0
F,175.5,176.0,175.75,247,494.0
F,176.0,176.5,176.25,272,544.0
F,176.5,177.0,176.75,290,580.0
F,177.0,177.5,177.25,365,730.0
F,177.5,178.0,177.75,353,706.0
F,178.0,178.5,178.25,413,826.0
F,178.5,179.0,178.75,433,866.0
F,179.0,179.5,179.25,453,906.0
F,179.5,180.0,179.75,406,812.0
F,180.0,180.5,180.25,295,590.0
F,180.5,181.0,180.75,337,674.0
F,181.0,181.5,181.25,321,642.0
F,181.5,182.0,181.75,343,686.0
F,182.0,182.5,182.25,334,668.0
F,182.5,183.0,182.75,344,688.0
F,183.0,183.5,183.25,397,794.0
F,183.5,184.0,183.75,395,790.0
F,184.0,184.5,184.25,437,874.0
F,184.5,185.0,184.75,436,872.0
F,185.0,185.5,185.25,414,828.0
F,185.5,186.0,185.75,535,1070.0
F,186.0,186.5,186.25,500,1000.0
F,186.5,187.0,186.75,510,1020.0
F,187.0,187.5,187.25,552,1104.0
F,187.5,188.0,187.75,607,1214.0
F,188.0,188.5,188.25,624,1248.0
F,188.5,189.0,188.75,637,1274.0
F,189.0,189.5,189.25,635,1270.0
F,189.5,190.0,189.75,690,1380.0
F,190.0,190.5,190.25,598,1196.0
F,190.5,191.0,190.75,689,1378.0
F,191.0,191.5,191.25,719,1438.0
F,191.5,192.0,191.75,734,1468.0
F,192.0,192.5,192.25,735,1470.0
F,192.5,193.0,192.75,802,1604.0
F,193.0,193.5,193.25,890,1780.0
F,193.5,194.0,193.75,895,1790.0
F,194.0,194.5,194.25,897,1794.0
F,194.5,195.0,194.75,870,1740.0
F,195.0,195.5,195.25,861,1722.0
F,195.5,196.0,195.75,943,1886.0
F,196.0,196.5,196.25,904,1808.0
F,196.5,197.0,196.75,939,1878.0
F,197.0,197.5,197.25,1014,2028.0
F,197.5,198.0,197.75,1019,2038.0
F,198.0,198.5,198.25,1067,2134.0
F,198.5,199.0,198.75,1128,2256.0
F,199.0,199.5,199.25,1146,2292.0
F,199.5,200.0,199.75,1116,2232.0
F,200.0,200.5,200.25,1048,2096.0
F,200.5,201.0,200.75,1142,2284.0
F,201.0,201.5,201.25,1128,2256.0
F,201.5,202.0,201.75,1158,2316.0
F,202.0,202.5,202.25,1221,2442.0
F,202.5,203.0,202.75,1259,2518.0
F,203.0,203.5,203.25,1258,2516.0
F,203.5,204.0,203.75,1382,2764.0
F,204.0,204.5,204.25,1335,2670.0
F,204.5,205.0,204.75,1381,2762.0
F,205.0,205.5,205.25,1400,2800.0
F,205.5,206.0,205.75,1419,2838.0
F,206.0,206.5,206.25,1471,2942.0
F,206.5,207.0,206.75,1552,3104.0
F,207.0,207.5,207.25,1520,3040.0
F,207.5,208.0,207.75,1641,3282.0
F,208.0,208.5,208.25,1710,3420.0
