goal,sex,outcome,n,mean_milestone_kick
sub3,ALL,hit,142758,0.011036306905751445
sub3,ALL,miss,87822,0.01553994178049886
sub3,F,hit,8174,0.01085103813227149
sub3,F,miss,9451,0.01603554900180581
sub3,M,hit,134584,0.0110475592608191
sub3,M,miss,78371,0.015480174980935603
sub330,ALL,hit,501949,0.019738821961283962
sub330,ALL,miss,194956,0.04245429965974713
sub330,F,hit,63985,0.02042852102003892
sub330,F,miss,37700,0.031275041425560306
sub330,M,hit,437964,0.0196380593545984
sub330,M,miss,157256,0.04513437568501067
sub4,ALL,hit,1110709,0.03913016941490326
sub4,ALL,miss,245885,0.1011944689408643
sub4,F,hit,209700,0.03522795501566832
sub4,F,miss,63272,0.09084098423808655
sub4,M,hit,901009,0.040038367179320244
sub4,M,miss,182613,0.10478175836776246
