goal,sex,kick_bin,n,hit_rate,mean_milestone_kick
sub3,F,Q1_low,5485,0.4789425706472197,-0.028426980666438458
sub3,F,Q2,7916,0.4794087923193532,0.015758152389280976
sub3,F,Q3,3599,0.43373159210891915,0.050311349157068364
sub3,F,Q4_high,625,0.3056,0.1445732293357305
sub3,M,Q1_low,79226,0.6163128265973291,-0.03852931044503249
sub3,M,Q2,77586,0.6913876214781017,0.01562484405089052
sub3,M,Q3,42241,0.6220970147487038,0.05192020972358436
sub3,M,Q4_high,13902,0.41979571284707234,0.1688328246900307
sub330,F,Q1_low,27367,0.6399678444842328,-0.029120143692320587
sub330,F,Q2,41278,0.6598187896700421,0.01635100685886652
sub330,F,Q3,25866,0.609912626614088,0.05218914123713759
sub330,F,Q4_high,7174,0.4821577920267633,0.17539138044026448
sub330,M,Q1_low,203019,0.7458760017535304,-0.04103580378557431
sub330,M,Q2,189154,0.7879822789896064,0.01601476926748512
sub330,M,Q3,132462,0.7335160272380004,0.053471331484037175
sub330,M,Q4_high,70585,0.5712828504639796,0.19717057564046853
sub4,F,Q1_low,64938,0.7781730265791986,-0.03209777100291795
sub4,F,Q2,96498,0.8163899769943419,0.016740724192084975
sub4,F,Q3,77900,0.7645186136071888,0.05361602186413598
sub4,F,Q4_high,33636,0.6193066952075158,0.2802718357884808
sub4,M,Q1_low,339522,0.8477447705892401,-0.043685437760001375
sub4,M,Q2,306368,0.8867962711510341,0.01620916656708751
sub4,M,Q3,251637,0.8438266232708227,0.054397977723677646
sub4,M,Q4_high,186095,0.6940379913485047,0.2761336615736962
