goal,checkpoint_km,sex,n_on_pace,n_hit,hit_rate,mean_finish
sub3,20,ALL,201260,140107,0.6961492596641161,174.71975065421177
sub3,20,F,11961,7943,0.6640749101245715,175.08126689518716
sub3,20,M,189299,132164,0.6981759016159621,174.69690797803122
sub3,30,ALL,178658,141090,0.7897211431897816,172.09904127812172
sub3,30,F,10106,8024,0.7939837720166237,172.2724866415991
sub3,30,M,168552,133066,0.789465565522806,172.08864188301928
sub330,20,ALL,660032,493921,0.748328868903326,197.1691739693429
sub330,20,F,87338,62657,0.7174082300945751,201.52323291885168
sub330,20,M,572694,431264,0.753044383213374,196.50516351955267
sub330,30,ALL,602318,496859,0.824911425526051,194.05157026686908
sub330,30,F,76825,63088,0.8211910185486495,198.54805662219331
sub330,30,M,525493,433771,0.825455334324149,193.3942017305654
sub4,20,ALL,1389717,1098205,0.7902364294313159,218.91077531132828
sub4,20,F,269933,206143,0.7636820988912063,225.13353931037204
sub4,20,M,1119784,892062,0.7966375658162645,217.4107276641448
sub4,30,ALL,1279881,1102737,0.8615933825097802,214.9611729918641
sub4,30,F,242018,207290,0.8565065408358056,221.3516252923336
sub4,30,M,1037863,895447,0.8627795768805709,213.47099125799835
