goal,sex,outcome,n,mean_positive_split,mean_bank_ratio,mean_milestone_kick
sub3,F,slipped,4018,0.10486218693055728,0.15398987550494764,0.019759439013873125
sub3,F,hit,7943,0.03099218635093163,0.04633333077795042,0.010178375209488043
sub3,M,slipped,57135,0.14878362667768077,0.2268720631996451,0.022271757080262338
sub3,M,hit,132164,0.03765823237029686,0.05787046146202621,0.009956637301516852
sub330,F,slipped,24681,0.12605257804806624,0.18119944150536377,0.03435314829529423
sub330,F,hit,62657,0.04007374558772148,0.05782161734273821,0.019492482998451056
sub330,M,slipped,141430,0.18326346345844402,0.2726964501851591,0.047234819432500325
sub330,M,hit,431264,0.05624339154850587,0.08517464871584583,0.017615259290890566
sub4,F,slipped,63790,0.15244396422516038,0.21654873968789337,0.054547943140392886
sub4,F,hit,206143,0.049783095521611954,0.07073592405822864,0.028623074533613405
sub4,M,slipped,227722,0.2217570037580637,0.3214463839887384,0.07084634916392635
sub4,M,hit,892062,0.06977365028879962,0.10397396413406769,0.03100844978945242
