sex,bank_bin,n,mean_positive_split,htw_rate,mean_finish_time,mean_bank_ratio
F,<-5%,23713,-0.049783195225000104,0.01425378484375659,255.79473073841353,-0.08748359456387093
F,-5–0%,65639,-0.008682025818643052,0.005027498895473727,245.01750102835206,-0.02051960879320474
F,0–5%,119754,0.021364698436778636,0.006045727073834694,247.33795335994344,0.02583732363856524
F,5–10%,127847,0.05500418594044646,0.011904855022018506,258.52162311200107,0.07492701976328649
F,10–15%,117330,0.08956239393123973,0.03093837893121964,272.2711349754254,0.12440585605541303
F,15–25%,176116,0.13933042907262877,0.21243952849258443,291.8604960177762,0.19585984266622317
F,>25%,151854,0.2502047328928687,0.8131692283377455,318.47183928861494,0.36151907793845384
M,<-5%,57590,-0.05313813860312032,0.02153151588817503,234.0325201134456,-0.09426897678714166
M,-5–0%,146207,-0.009176234832774318,0.008658956137531034,217.48239459579,-0.020154399410436525
M,0–5%,261866,0.019382420329024656,0.009703436108544064,216.46198717410178,0.025334535875974687
M,5–10%,249228,0.0517290106430463,0.017766864076267513,225.30207346954063,0.0744565185739192
M,10–15%,213216,0.08527164955357054,0.049503789584271346,236.04186114863177,0.12431940032043368
M,15–25%,331141,0.13575960952348845,0.3607315312812367,252.14411489365554,0.19714349393770128
M,>25%,471359,0.2772627308911985,0.9374871382534331,280.19620738474634,0.40054034132615524
