city,seg_from_km,seg_to_km,elev_gain_m,elev_net_m,n,mean_pace,mean_delta_pace,htw_rate
Amsterdam,0.0,5.0,3.8,-2.9,152914,5.457918416015975,,0.2447323332069006
Amsterdam,5.0,10.0,8.9,2.5,152914,5.364027972149923,-0.016835148316746977,0.2447323332069006
Amsterdam,10.0,15.0,4.2,0.6,152914,5.4055278348178275,0.007691778631823705,0.2447323332069006
Amsterdam,15.0,20.0,6.2,-6.3,152914,5.505972660013689,0.01794238625461485,0.2447323332069006
Amsterdam,20.0,25.0,1.2,2.3,152914,5.563578024248924,0.009159708102086075,0.2447323332069006
Amsterdam,25.0,30.0,1.4,-1.8,152914,5.800798880416443,0.04121172648723181,0.2447323332069006
Amsterdam,30.0,35.0,4.6,4.3,152914,6.1627347833858686,0.0612279973467035,0.2447323332069006
Amsterdam,35.0,40.0,3.2,-1.9,152914,6.240848450763174,0.0172753977600452,0.2447323332069006
Amsterdam,40.0,42.195,1.1,0.9,152914,6.116775143479689,-0.015137422245684245,0.2447323332069006
Auckland,0.0,5.0,46.2,20.0,2435,5.5706885694729635,,0.37412731006160166
Auckland,5.0,10.0,14.1,-10.0,2435,5.430023271731691,-0.02430252356359692,0.37412731006160166
Auckland,10.0,15.0,5.7,-15.5,2435,5.5504941820670775,0.02141236322862991,0.37412731006160166
Auckland,15.0,20.0,28.0,-1.4,2435,5.738637919233402,0.03156888445859137,0.37412731006160166
Auckland,20.0,25.0,7.9,-2.0,2435,5.867175906913073,0.022850993859850996,0.37412731006160166
Auckland,25.0,30.0,20.6,6.1,2435,6.517195071868583,0.10189473510160461,0.37412731006160166
Auckland,30.0,35.0,7.9,2.0,2435,6.131034907597535,-0.04569526223558217,0.37412731006160166
Auckland,35.0,40.0,15.2,-5.4,2435,6.701852156057495,0.09459151602804748,0.37412731006160166
Auckland,40.0,42.195,8.7,2.3,2435,6.322623596968408,-0.04966085519486993,0.37412731006160166
Austin,0.0,5.0,69.3,58.8,7625,6.128306448087432,,0.3787540983606557
Austin,5.0,10.0,17.4,-67.1,7625,5.890150382513661,-0.03834682941346162,0.3787540983606557
Austin,10.0,15.0,44.6,22.5,7625,6.271751256830601,0.06381480173315482,0.3787540983606557
Austin,15.0,20.0,66.1,2.2,7625,6.407700983606557,0.0220487704811811,0.3787540983606557
Austin,20.0,25.0,36.9,23.5,7625,6.691835628415301,0.0439576269041832,0.3787540983606557
Austin,25.0,30.0,45.0,0.2,7625,6.954376830601094,0.038118780602087544,0.3787540983606557
Austin,30.0,35.0,11.7,-43.7,7625,7.148213770491804,0.02993447605734735,0.3787540983606557
Austin,35.0,40.0,0.0,1.5,7625,7.471157158469945,0.049015684051851596,0.3787540983606557
Austin,40.0,42.195,26.4,19.1,7625,7.298758977805992,-0.015739278992764765,0.3787540983606557
Barcelona,0.0,5.0,17.6,5.1,52756,5.714399373215053,,0.24715672151034954
Barcelona,5.0,10.0,4.5,-19.2,52756,5.241530884322795,-0.07156821383692338,0.24715672151034954
