sex,temp_bin,temp_col,n,htw_rate,mean_finish,mean_positive_split,mean_temp
F,<=5,temp_c,58433,0.2270805880238906,283.29734254045945,0.09896504585570544,3.5330686427190114
F,5-10,temp_c,280455,0.19110017649890357,271.749386829735,0.09731727211749217,7.80456329892496
F,10-15,temp_c,339090,0.23156389159220267,279.73220983613004,0.10788997908126094,12.580519036244066
F,15-20,temp_c,50733,0.24759032582342855,286.60697047943813,0.12691972014380343,19.05871523465989
F,20-25,temp_c,4999,0.1836367273454691,286.8447022737881,0.09089500376095543,22.267653530706138
M,<=5,temp_c,111166,0.33118039688393935,251.21283351024596,0.11242658057167548,3.2623994746595186
M,5-10,temp_c,578779,0.2989794031918919,240.74562213441286,0.10928457489210058,7.854288078869482
M,10-15,temp_c,776936,0.3504741703306321,245.36765299844518,0.12284507759188437,12.519656059186342
M,15-20,temp_c,98906,0.45236891594038786,257.71984577949434,0.1703657941744692,18.494141912523002
M,20-25,temp_c,15588,0.34302027200410573,274.0606780857069,0.12935094825062274,22.525628688734923
