htw_distance,htw_slowdown,all,M,F
5.0,0.1,0.6744016269489492,0.6840859714463067,0.6545555732230879
5.0,0.2,0.41672315794962717,0.4516604593420236,0.3451264111941485
5.0,0.25,0.3169682432080096,0.35626163873370575,0.23644458578470345
5.0,0.3,0.2340303488553997,0.27191961514587215,0.15638416282397838
5.0,0.33,0.193121969025395,0.22815797641216637,0.1213229448242964
5.0,0.4,0.12160400479741357,0.1478895096213532,0.0677373191286373
5.0,0.5,0.06286176148511237,0.07964773432650528,0.02846239465733821
5.0,0.75,0.014939771601397507,0.019242706393544383,0.006121799968198441
5.0,0.9,0.007691505449236064,0.009815332091868405,0.0033391636190173318
10.0,0.1,0.5151483548000209,0.5204453755431409,0.504293210367308
10.0,0.2,0.2561923137091307,0.2817349472377405,0.203847988551439
10.0,0.25,0.173202273556865,0.1997594661700807,0.11877882016218795
10.0,0.3,0.11313031235333994,0.1359016139044072,0.06646525679758308
10.0,0.33,0.08531052823695051,0.10443823711980137,0.046112259500715534
10.0,0.4,0.04747875058664024,0.05982309124767225,0.02218158689775799
10.0,0.5,0.02012827866715336,0.025993171942892614,0.008109397360470663
10.0,0.75,0.003624133076080722,0.004694289261328368,0.0014310701224359993
10.0,0.9,0.0013557907910517809,0.0017458100558659217,0.000556527269836222
15.0,0.1,0.322938937268603,0.32025915580384856,0.32843059309906186
15.0,0.2,0.11156593836366481,0.12434047175667287,0.08538718397201463
15.0,0.25,0.06356572978046618,0.07499224084419615,0.040149467323898874
15.0,0.3,0.03439015487302498,0.04236499068901303,0.01804738432183177
15.0,0.33,0.025368931532565052,0.03169615145872129,0.012402607727778662
15.0,0.4,0.011602440423423893,0.014858783364369956,0.0049292415328351085
15.0,0.5,0.003415549877457371,0.004422718808193668,0.0013515662267451105
15.0,0.75,0.0003650205975908641,0.0005043451272501552,7.950389569088885e-05
15.0,0.9,5.2145799655837725e-05,7.759155803848541e-05,0.0
20.0,0.1,0.1301037701413151,0.1265518311607697,0.13738273175385593
20.0,0.2,0.026229337226886373,0.02995034140285537,0.018603911591667993
20.0,0.25,0.011732804922563487,0.01392768466790813,0.007234854507870886
20.0,0.3,0.0047974135683370705,0.005702979515828678,0.0029416441405628875
20.0,0.33,0.003180893779006101,0.003801986343885785,0.0019080934965813325
20.0,0.4,0.0014079365907076185,0.0017458100558659217,0.0007155350612179996
20.0,0.5,0.0002607289982791886,0.00034916201117318437,7.950389569088885e-05
20.0,0.75,0.0,0.0,0.0
20.0,0.9,0.0,0.0,0.0
