odds_ratio,chi2,p,dof,expected,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),years_from_pb,index,significant
0.3333333333333333,,,1,,1,0,0,0,0.0,,,,-17,-17,
3.0,,,1,,0,1,0,0,,0.0,,,-16,-16,
0.3333333333333333,,,1,,1,0,0,0,0.0,,,,-15,-15,
0.3333333333333333,0.75,0.3864762307712325,1,"[[1.33333333 0.66666667]
 [0.66666667 0.33333333]]",2,1,1,1,0.5,1.0,0.7071067811865476,,-14,-14,False
1.0,,,1,,2,0,1,0,0.5,,0.7071067811865476,,-12,-12,
8.0,1.7422222222222221,0.1868575026630366,1,"[[3.125 1.875]
 [1.875 1.125]]",5,3,4,1,0.8,0.3333333333333333,0.4472135954999579,0.5773502691896258,-11,-11,False
2.0,0.388888888888889,0.5328840277868037,1,"[[3.42857143 4.57142857]
 [2.57142857 3.42857143]]",8,6,4,2,0.5,0.3333333333333333,0.5345224838248488,0.5163977794943223,-10,-10,False
6.6,1.9047619047619049,0.16754627748861328,1,"[[4.375 0.625]
 [2.625 0.375]]",5,3,5,2,1.0,0.6666666666666666,0.0,0.5773502691896258,-9,-9,False
0.84375,0.0352588587882706,0.8510542696892509,1,"[[9.20833333 7.79166667]
 [3.79166667 3.20833333]]",17,7,9,4,0.5294117647058824,0.5714285714285714,0.5144957554275266,0.5345224838248488,-8,-8,False
5.2,3.7495652173913046,0.05282124943909047,1,"[[10.45454545 12.54545455]
 [ 4.54545455  5.45454545]]",23,10,13,2,0.5652173913043478,0.2,0.5068698018697019,0.42163702135578396,-7,-7,False
3.5555555555555554,3.510708898944194,0.06097336071746679,1,"[[20.86363636 30.13636364]
 [ 6.13636364  8.86363636]]",51,15,24,3,0.47058823529411764,0.2,0.5041008302500836,0.4140393356054126,-6,-6,False
1.8764705882352941,2.180809960388448,0.13974090271362827,1,"[[29.36585366 54.63414634]
 [13.63414634 25.36585366]]",84,39,33,10,0.39285714285714285,0.2564102564102564,0.49131878451841643,0.44235903005475674,-5,-5,False
1.7897727272727273,1.6850626456660192,0.19425310194497564,1,"[[27.04255319 34.95744681]
 [13.95744681 18.04255319]]",62,32,30,11,0.4838709677419355,0.34375,0.5038193627589668,0.48255870443481425,-4,-4,False
1.3097426470588236,0.5530839031860478,0.45706034369915716,1,"[[54.93251534 66.06748466]
 [19.06748466 22.93251534]]",121,42,57,17,0.47107438016528924,0.40476190476190477,0.5012381364396444,0.496795772414547,-3,-3,False
1.2993655828707376,1.344514470112943,0.24623939869759917,1,"[[107.76905312 199.23094688]
 [ 44.23094688  81.76905312]]",307,126,113,39,0.36807817589576547,0.30952380952380953,0.4830701315942561,0.4641428351580701,-2,-2,False
2.2333333333333334,34.63897621357283,3.968797126879276e-09,1,"[[288.7863315 576.2136685]
 [136.2136685 271.7863315]]",865,408,335,90,0.3872832369942196,0.22058823529411764,0.4874110977899138,0.4151523767015042,-1,-1,True
1.7663976212046124,35.70262509970931,2.298540764685352e-09,1,"[[ 573.14253773 1964.85746227]
 [ 234.85746227  805.14253773]]",2538,1040,641,167,0.25256107171000786,0.1605769230769231,0.4345668937158797,0.3673169030454503,0,0,True
2.093009300930093,28.13974240007265,1.12864259426193e-07,1,"[[344.43800905 443.56199095]
 [138.56199095 178.43800905]]",788,317,384,99,0.4873096446700508,0.31230283911671924,0.5001563878004169,0.46416530135888523,1,1,True
2.2443543717429066,11.892476622125146,0.0005636113093424546,1,"[[137.61336516 172.38663484]
 [ 48.38663484  60.61336516]]",310,109,153,33,0.4935483870967742,0.30275229357798167,0.5007667156235072,0.46157113243314596,2,2,True
1.4980842911877394,1.2548311365563094,0.26263175841856334,1,"[[64.88622754 61.11377246]
 [21.11377246 19.88622754]]",126,41,68,18,0.5396825396825397,0.43902439024390244,0.5004125282331553,0.5024331043932555,3,3,False
1.7718518518518518,2.1820774879869607,0.13962587538983617,1,"[[48.14074074 48.85925926]
 [18.85925926 19.14074074]]",97,38,52,15,0.5360824742268041,0.39473684210526316,0.5012870034160216,0.4953553834402849,4,4,False
1.5681818181818181,1.804385143570535,0.17918325519158024,1,"[[64.94594595 70.05405405]
 [24.05405405 25.94594595]]",135,50,69,20,0.5111111111111111,0.4,0.5017382719429904,0.4948716593053935,5,5,False
2.611111111111111,5.449812810564292,0.019570423546948944,1,"[[41.1512605 41.8487395]
 [17.8487395 18.1512605]]",83,36,47,12,0.5662650602409639,0.3333333333333333,0.4986022189969834,0.47809144373375745,6,6,False
1.7307692307692308,0.5428571428571429,0.46125103996872896,1,"[[14. 14.]
 [ 5.  5.]]",28,10,15,4,0.5357142857142857,0.4,0.50787450018337,0.5163977794943223,7,7,False
20.428571428571427,7.384615384615385,0.006578413612826346,1,"[[13. 13.]
 [ 3.  3.]]",26,6,16,0,0.6153846153846154,0.0,0.4961389383568338,0.0,8,8,True
1.1428571428571428,0.014074074074074093,0.905565166777331,1,"[[7.89473684 7.10526316]
 [2.10526316 1.89473684]]",15,4,8,2,0.5333333333333333,0.5,0.5163977794943222,0.5773502691896257,9,9,False
0.5,0.45000000000000007,0.502334954360502,1,"[[6.66666667 5.33333333]
 [3.33333333 2.66666667]]",12,6,6,4,0.5,0.6666666666666666,0.5222329678670935,0.5163977794943223,10,10,False
0.14285714285714285,,,1,,3,0,0,0,0.0,,0.0,,11,11,
21.0,4.0,0.04550026389635857,1,"[[2.25 0.75]
 [0.75 0.25]]",3,1,3,0,1.0,0.0,0.0,,12,12,False
0.3333333333333333,,,1,,1,0,0,0,0.0,,,,13,13,
0.42857142857142855,,,1,,3,1,0,0,0.0,0.0,0.0,,14,14,
3.0,,,1,,1,0,1,0,1.0,,,,15,15,
3.0,,,1,,0,1,0,0,,0.0,,,16,16,
