cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,4,0,4,0,32.5,,2.886751345948129,,120.0,120.0,
0.4591742289142583,3.5862653725622744,0.0006679107058352154,60.99999999999999,62,2,62,2,31.85483870967742,30.0,4.072485744295907,0.0,150.0,150.0,True
0.3019470690748352,0.9204281271826216,0.37091839392827736,16.120460552366723,252,16,252,16,31.825396825396826,30.625,3.8962222280905863,5.123475382979799,180.0,180.0,False
0.10838748672418508,0.781212772347236,0.43689131862408587,83.32583431357176,487,68,487,68,31.457905544147845,31.029411764705884,3.906017059202366,4.281060644960507,210.0,210.0,False
0.008895686984185113,0.07827581842288148,0.9377363616586609,122.50630285847495,551,92,551,92,30.63520871143376,30.597826086956523,4.1947319669488,4.247972451351805,240.0,240.0,False
-0.10634738774537367,-1.0437489958744977,0.29767704022628205,234.34107567608214,356,132,356,132,29.424157303370787,29.886363636363637,4.346587538693311,4.345125771899983,270.0,270.0,False
-0.11953351208443609,-1.0354791685966291,0.3013822299357451,266.96443776119247,187,127,187,127,28.128342245989305,28.700787401574804,4.74903486861417,4.847376905826655,300.0,300.0,False
0.023576646714873858,0.15009694849288063,0.8809205565019194,130.11192765494252,109,60,109,60,28.623853211009173,28.5,5.395109223529126,4.9830220222848975,330.0,330.0,False
-0.1439365764644698,-0.7355528697901508,0.46373402513254497,99.45302708456418,56,50,56,50,27.053571428571427,27.8,4.933815204031507,5.454823740581938,360.0,360.0,False
-0.023805371830451432,-0.06156240423824311,0.9517013647641244,15.436259250215777,20,8,20,8,28.0,28.125,5.477225575051661,4.580626906564522,390.0,390.0,False
,,,,4,0,4,0,26.25,,7.5,,420.0,420.0,
,,,,3,1,3,1,28.333333333333332,30.0,7.637626158259733,,480.0,480.0,
,,,,1,0,1,0,30.0,,,,570.0,570.0,
