cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,4,0,4,0,7.89625,,3.046912029689513,,120.0,120.0,
-0.8469461561859888,-6.6148609418620055,1.0591938239286022e-08,61.0,62,2,62,2,8.95153225806452,12.195,3.860865823721206,0.0,150.0,150.0,True
0.5370900733978924,1.9123934465539112,0.07323231831316791,16.60769282781949,252,16,252,16,9.054801587301586,6.9359375,3.9215215459532997,4.320296756300428,180.0,180.0,False
0.07924722347586276,0.561261929946116,0.5761394358873448,82.55238098083004,487,68,487,68,9.416714579055439,9.08889705882353,4.073356479730181,4.569547794798348,210.0,210.0,False
0.35456335376091797,3.3008028511501326,0.0012488279520226934,128.23138029876546,551,92,551,92,9.997495462794918,8.44375,4.4212693454458725,4.137758034515528,240.0,240.0,True
0.4553166959480983,4.590013156659741,7.057347466017544e-06,247.14719197767005,356,132,356,132,11.34070224719101,9.314431818181818,4.518116201748465,4.2608845642806275,270.0,270.0,True
0.4093614023162472,3.6354342325375253,0.00032841011611772964,289.13882386106906,187,127,187,127,12.185267379679141,10.205433070866137,5.040962415914383,4.517521269686756,300.0,300.0,True
0.23135823697441912,1.539819727170047,0.125759410888824,146.64051597744347,109,60,109,60,12.178256880733942,10.936916666666669,5.761502439409986,4.552049556236112,330.0,330.0,False
0.6273408554009461,3.204010372475291,0.0018237457002889597,99.03719058427514,56,50,56,50,12.889732142857143,9.9097,4.495148841669899,5.021193594380215,360.0,360.0,True
0.2721986607824876,0.6275391675836842,0.5420109935028691,12.054337435842053,20,8,20,8,13.11575,11.64625,5.274558917702578,5.721850818198101,390.0,390.0,False
,,,,4,0,4,0,9.8475,,5.957992531046007,,420.0,420.0,
,,,,3,1,3,1,13.861666666666666,12.195,7.637626158259733,,480.0,480.0,
,,,,1,0,1,0,12.195,,,,570.0,570.0,
